0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.39348433966e-09	-1.15416963485e-09	-3.792235938930001e-09	-2.2650544023899997e-09	-1.55865215356e-09	1.2643880944199999e-09	-5.466695608509999e-10	-1.02977589974e-09	-5.95108116582e-10	2.81641382418e-09	3.1056084628600003e-09	-5.20601837597e-10	-9.44616101125e-10	-2.00787264913e-09	-9.75285637343e-10	-1.6607964742599999e-09	-1.03923344256e-10	-4.825471123060001e-10	-5.415251079080001e-10	-1.6445416039899999e-10
YearsOfEd2	-1.4532252694800001e-09	-2.67858488923e-09	-2.92816673884e-10	-3.89873745359e-11	-1.08159183156e-09	9.222304414460001e-10	-3.1457368677700003e-09	-3.4734398641800002e-09	-1.80087811711e-09	-9.93890205907e-10	2.2937517457699998e-09	2.58659383874e-09	1.3273256200400001e-09	-4.59182615398e-10	1.2129781600899999e-09	1.86879050112e-09	7.234670191939999e-10	-7.971778698699999e-10	-4.75608403248e-10	-9.24841289466e-10
T2D2	1.64341471391e-10	-1.3530230214000002e-09	9.254646360950001e-11	-3.85888770042e-10	4.93903563079e-10	-3.13434430144e-10	3.6771638711099995e-10	-7.31358818773e-10	6.915079080730001e-10	1.32209115537e-10	-6.98738203263e-10	1.92713287068e-10	5.37330447669e-10	-1.07966462258e-09	-4.326589815769999e-10	-5.131622651039999e-10	-1.7012493988499999e-09	4.5047382788000004e-10	4.05416132716e-09	1.1294743334e-09
SkinColor	-2.4406610388799997e-09	3.26120717539e-09	-2.69622373925e-09	-4.04830105275e-09	-1.97133034505e-09	-5.46941751329e-09	-1.0575849248e-08	2.41418906606e-09	-2.55045700653e-10	-3.73555614314e-09	3.6716446636600004e-09	1.3627047484799999e-08	7.426331328919999e-09	-2.45999365615e-09	3.70106387331e-10	-3.0709668356800002e-09	-7.54611385982e-09	4.91000611255e-09	2.63415509763e-09	1.7540477755699999e-09
Balding	1.9344355272999997e-09	1.22150358641e-08	1.39716947974e-08	1.0956398451000001e-08	-2.47119952813e-09	-1.41152707016e-08	-5.84294666789e-09	-9.89527909958e-09	-5.51448626308e-09	-5.72212572946e-10	8.26244321582e-09	1.4025967491799999e-08	3.6714231844000006e-09	1.52119106174e-08	-8.98594995256e-09	3.1985250975600003e-11	-5.18108460444e-09	-4.84261103825e-10	-4.63882238903e-09	-1.19277954198e-08
HairColor	-1.99733804298e-09	1.0816278368100001e-09	8.65677343248e-10	3.956739895699999e-09	-2.01460800747e-10	2.68952920973e-09	-9.98190941622e-09	-3.6146335546899998e-09	-9.98495780166e-10	3.1416573871199997e-09	8.821943284799998e-09	9.60779990468e-09	5.91881100366e-10	-2.50957842614e-09	-8.21393495246e-10	3.1331923278700003e-09	-1.2672180314899998e-08	1.17328677938e-08	-2.24472245467e-09	1.89141061218e-09
FVC	-6.6186705258e-09	-1.8599469923099998e-10	1.01757760262e-09	-2.1125007308800003e-09	-1.44187335193e-09	3.64090590577e-09	3.26579392016e-09	6.29800940527e-09	5.87312613525e-09	-6.26053061491e-10	3.15114012852e-09	-5.924128230750001e-10	-1.04183580849e-09	-5.9398064491e-09	-7.66905784533e-09	-3.12011585411e-09	4.29504646453e-09	2.73520943492e-09	5.73477064415e-09	5.26825263405e-09
ASD	4.4016331310099994e-09	3.2533582687599997e-08	3.48214151326e-08	-1.0347326929700001e-08	-1.5730788608e-08	-8.81263670106e-09	-1.59244553982e-08	-1.19765292473e-08	-3.4012699563500002e-09	1.8870255728599998e-08	6.68639295316e-09	1.38160316159e-08	2.48373025293e-08	2.5729501572e-08	-3.15205750627e-08	-1.15271282042e-08	-4.97822395383e-08	8.97466589171e-09	2.0165527992400002e-08	-6.05957282809e-09
Sunburn	7.72406475881e-10	3.79145136286e-09	-4.3202625694199997e-10	-3.1376320344900003e-09	-7.56411375237e-09	-3.42970421222e-09	-5.94822930698e-09	1.74445944992e-09	2.34494613524e-09	-1.56904269034e-09	8.07317122706e-10	7.20513686559e-09	3.10583820174e-09	1.00661254678e-09	7.13359394619e-10	-3.29990004496e-09	-3.9282212676700005e-09	2.27541403235e-09	-1.6591200906500001e-09	-4.64523520652e-09
Schizophrenia	3.97606930953e-10	-1.16706778274e-08	-8.45331915347e-09	-5.9848686947400005e-09	-5.54617653133e-09	5.4277184143200005e-09	-7.2814765572400006e-09	-7.0228090657399994e-09	1.099102765e-08	1.29652814246e-08	7.91686644369e-09	-2.4125078457199997e-09	-1.26791014895e-09	-1.0430426798e-08	-7.18328102355e-10	-1.3787905202300001e-08	5.16351179816e-09	-3.00639247558e-10	-3.82933437214e-09	5.8581891258900006e-09
Anorexia	7.99156943308e-09	-1.7569287370200003e-08	7.115699048179999e-10	1.03713894665e-08	-1.45052058444e-08	-3.42888405027e-09	6.67995502051e-09	1.1440632297200001e-10	-1.60849519251e-09	-1.8295289516399998e-09	1.0051778679e-08	8.2424458271e-09	5.66630631146e-09	-8.1356373683e-09	-1.24365951549e-08	-6.49446226725e-09	-1.2092712192799999e-08	-8.32965537955e-09	-9.42801542088e-09	-1.03179659509e-08
SmokingStatus	-1.50533551804e-09	-6.381923387020001e-11	-3.9107353546500005e-11	-2.12638764061e-09	-1.86348408924e-09	7.39471099048e-10	2.86021630361e-10	-6.657816753190001e-10	8.60008417969e-10	-1.82969450283e-10	1.33276282454e-09	1.06257226534e-09	-1.0385306432900001e-09	-1.9234639629999998e-09	-1.25467221533e-09	1.50443919054e-09	-1.7664489405400001e-09	-3.2158027727e-09	-1.50690570483e-09	-1.50438927016e-09
FirstBirthAge	-5.089757506659999e-10	-1.6782683504299998e-09	2.15361538644e-10	-1.3567192014699998e-09	-2.63820991813e-09	6.1033122221e-11	-7.33506526418e-10	-1.47830540646e-09	1.31484830008e-09	1.61284744393e-09	3.57483187046e-10	1.97460642295e-09	-3.35542149248e-09	-1.062195505e-09	9.45287881243e-10	-9.27552998223e-10	-3.0197071968199997e-09	6.225620146580001e-10	-1.01163126153e-09	-2.02248755032e-09
Tanning	-2.9288024673099997e-09	3.59331036513e-09	-2.0937609273499998e-09	-4.62226472682e-09	-5.19107822336e-09	-1.0707876337300001e-09	-9.54465044497e-09	2.62243652471e-09	3.872093939769999e-09	-1.26372845704e-09	4.09774769973e-11	1.04166535785e-08	2.32101783717e-09	-8.642042506000001e-10	-1.0185832151000001e-10	-4.68923830065e-09	-7.85467594199e-09	-2.22405612906e-09	-1.5645945002499999e-09	-2.3822222248100003e-09
NumChildrenBorn	-4.4320142463999995e-10	7.59138855987e-10	-3.4974284284099996e-10	-6.26336337035e-10	-8.797854975980001e-10	-1.1458649621600001e-10	2.73418849898e-10	-9.400126001080002e-10	1.19540613457e-09	2.42553770077e-10	9.11612818803e-10	1.01772345194e-09	-1.18220858012e-10	-1.68871659974e-09	-5.95424511525e-10	2.7769969339999997e-10	1.5446862677400001e-10	2.47610965447e-09	-9.37807289697e-10	-1.0419526479599999e-09
DepressiveSxs	-3.07195819186e-09	-2.02321663655e-09	1.7180122074499997e-09	-1.89326158603e-09	-1.1540563609799998e-10	-4.4130806435000004e-10	1.2129783659700001e-09	6.29842299746e-10	2.16349592484e-10	1.39670590931e-10	1.84163205922e-09	4.800257897800001e-10	-3.77064170516e-11	-1.02904394879e-09	-2.09679834136e-09	1.29540609792e-09	-2.9308416083e-10	9.96987791872e-12	-2.96414995052e-10	2.57487754247e-09
BMI2	2.39471234941e-09	-2.2435305047e-10	-6.66494160937e-09	-3.69568191575e-09	-9.262721857660001e-10	-4.55013208821e-10	1.52294323493e-09	5.14138557435e-09	7.57695173214e-09	-4.8336862336099997e-11	-2.58680409262e-09	-8.912562898039999e-10	-3.06382250266e-09	-4.04518352527e-09	8.22059494462e-11	-3.9319470182899995e-09	-1.86761474488e-09	4.539327356220001e-09	5.21970050122e-09	4.98739580745e-09
Neuroticism	-5.326271261710001e-10	3.95551557116e-09	2.79529812229e-09	9.97080097799e-11	-5.7495618726e-10	1.0014787873199999e-09	3.18556076866e-10	-2.95115977505e-09	-4.72589420149e-09	-1.16218708047e-09	9.29281378611e-10	3.6204526273100006e-09	3.11510539278e-09	2.45362584391e-09	-1.6933318767900002e-09	-8.3669670736e-10	-2.50070641637e-09	-1.3463368509700001e-09	-9.73744682408e-10	2.0395855060800002e-09
