0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.89063708007e-09	6.74305705303e-10	3.7393629953e-10	-3.29069526154e-09	-3.12370333024e-09	-1.7040851911600002e-09	-1.84729529421e-09	-4.975530841009999e-10	-5.77866201047e-11	4.71617902703e-09	4.3731070511399995e-09	-3.53231348575e-10	6.175507501029999e-10	-2.54547000599e-09	-3.14253739461e-09	-1.6531087746200002e-09	-1.84834183438e-09	-1.62991939113e-09	-9.716953101660001e-10	-2.16133473466e-09
YearsOfEd2	-1.87613559198e-09	-3.72809109578e-10	-2.98507458812e-09	-1.0622970541699999e-09	6.61242085809e-10	3.5386474198199995e-10	-2.61051479127e-09	-3.4087359943800004e-09	-5.38978518624e-10	1.40956400811e-09	1.42151210998e-09	3.2544457527900003e-10	5.20824900158e-10	-4.50942953877e-11	6.81464503825e-10	9.443529880589998e-10	2.19346187237e-09	-2.2270902398000004e-09	-2.66448829347e-09	1.38565282873e-09
T2D2	-2.3106570358799999e-10	1.1082247171900001e-09	1.91483539304e-09	1.3517108509999999e-09	1.71966531091e-09	2.30186450893e-10	-1.39888727074e-09	-2.54012366844e-09	1.03367816469e-09	1.5326854391200001e-09	5.33258098216e-10	-5.781395421799999e-10	-7.99143026717e-10	3.9303058135199997e-10	-1.4281433642200001e-09	1.5544723149e-09	-2.83302223858e-10	-9.353624910069999e-11	3.9200926384099995e-11	2.3840960871199997e-09
SkinColor	-1.75676123433e-09	4.13695253217e-09	-4.8920544256999996e-09	2.44322101991e-09	-2.2395510571999998e-09	-5.79023374191e-09	-9.21791064893e-09	4.0304859037e-09	-1.5430694775499999e-09	-4.165164385149999e-09	1.37019423069e-09	9.168360908e-09	2.16434265907e-09	1.10344866832e-09	-1.6661280723099999e-09	-3.9692423180799995e-09	9.08664192747e-09	-1.36020565882e-08	-7.86960115195e-09	-7.60534289367e-09
Balding	9.927812502900002e-10	4.9233045835199996e-09	2.34226567736e-09	4.359278205129999e-09	-6.10094942038e-09	-1.02040339359e-08	-3.97335207358e-09	-5.71612989532e-09	-4.8383188206200004e-09	2.14847825692e-09	8.627524317730001e-09	9.842509775689999e-09	3.67016803746e-09	1.32735884774e-08	-8.28153475063e-09	-6.975461780310001e-09	-9.27751462226e-09	-4.85927086807e-09	-7.441874353219999e-09	-4.1058120172e-09
HairColor	-2.57142138152e-10	3.5452231425300004e-09	-4.31532524586e-09	8.213300738099999e-09	-2.79265253431e-09	3.52642943702e-09	-8.40512253026e-09	-2.5328002421e-09	-1.59929198425e-09	-1.11180008485e-09	3.18130221983e-09	5.4154365866e-09	1.03689539623e-09	-2.10649661901e-09	-1.8644005826200003e-09	-1.4474677377e-09	6.54864609322e-09	-8.775921383600001e-09	-6.7405083672600005e-09	-1.0670470500700002e-08
FVC	-3.6179839900300003e-09	-4.53171566694e-09	-4.06485001576e-10	-1.4402555541099999e-09	-2.17164406342e-09	1.97016967373e-09	3.0863337209000003e-09	3.00818230114e-09	3.9022780771700005e-09	1.9594042929e-09	4.45691205101e-09	-1.2879790057399999e-09	-5.95501373961e-09	-3.29337233149e-09	-6.19340700509e-09	-9.92950037697e-10	6.5699798439999996e-09	-3.9758751226e-09	-1.42342035742e-09	7.15889945404e-09
ASD	1.30978421713e-08	4.15748373563e-08	2.8380595805400002e-08	1.5990650992200003e-08	-3.05814990577e-08	-4.32779305114e-08	-4.76393678596e-09	1.69255818302e-08	8.466773556199999e-09	-1.3840666039700002e-08	3.16365286401e-09	2.7285445676499998e-08	-1.4925664605700002e-08	4.831147889069999e-08	-2.56425664742e-08	-7.40791441525e-09	8.40985368546e-09	1.0753182203899998e-08	-6.15841267432e-09	1.29809465971e-08
Sunburn	1.1131711205199999e-09	3.2122364894099997e-09	7.513991457889999e-10	-2.39047855286e-09	-6.22041450717e-09	-4.74327438944e-09	-4.11652452477e-09	2.72725026788e-09	-1.4520945969799999e-09	-1.0228324724200001e-10	2.10083076579e-09	6.3639271325800005e-09	2.52009897029e-09	-5.04455360131e-10	-4.61876968216e-09	-5.27130318469e-09	-1.89740214721e-09	-6.0068020375e-09	-3.48292256071e-09	-2.3918537854e-09
Schizophrenia	-7.18480144769e-09	-2.0230095489199998e-09	-4.198642600199999e-09	2.8242568320100003e-10	-3.7841192235e-09	6.10275017347e-09	-1.01627787722e-08	-8.34484316901e-09	2.7822289341600003e-09	1.0492118815200002e-08	-4.15600919805e-09	-3.1194887871100002e-09	1.05966882496e-08	5.49643882883e-09	-6.11791962703e-09	-1.1545996552700001e-08	-4.52348123931e-09	4.745666596230001e-09	6.93161156618e-09	2.17188617377e-09
