0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.59252983869e-09	-2.45395901459e-09	-2.6274674525199998e-09	-2.0477254852400002e-09	-2.2386358683400003e-09	1.17709610834e-09	-1.1895026683299999e-09	-1.5511221515e-09	8.460463215500001e-10	4.1695429225e-09	3.10850230191e-09	-5.21285020695e-10	-9.672088365810001e-10	-8.765722036149999e-10	-2.9844051648899998e-09	-2.00251586677e-09	8.67220395722e-10	1.12774877918e-09	-4.4755215475699993e-10	2.58184994774e-09
YearsOfEd2	-2.09814722987e-09	-2.17752172288e-09	-2.3946562087099998e-09	1.0021322589500002e-09	-1.1165043821699999e-09	-1.52170760931e-09	-2.88471933725e-09	1.5825173217799998e-10	1.6826136781300001e-09	1.30121295342e-09	2.31286917791e-09	2.18122823217e-09	-2.13344467199e-09	-3.11880667386e-10	-8.058711412010001e-10	-1.20530979554e-09	8.261915441449999e-10	-5.26961839533e-10	-1.44489374319e-09	3.2083762968099996e-10
T2D2	2.1295972572e-09	1.8126640444200001e-09	1.00651133539e-09	1.3843279672800002e-09	-7.429684278869999e-10	-6.635114862700001e-10	-6.74646356207e-10	-1.09657527698e-09	-8.323649912199999e-11	1.59880802888e-09	1.97528040418e-11	-3.12177254923e-10	-3.46737855314e-10	1.14565317589e-09	-3.61609007684e-10	-5.17747639535e-10	7.81284172657e-10	6.14378900466e-11	-1.82232213782e-10	5.8549845098e-10
SkinColor	-1.1263351682700002e-08	-2.41563625626e-09	-7.36798634471e-09	-1.91719845528e-09	-6.00353406106e-09	-8.35691678173e-09	-1.1991164825799999e-08	-1.82269354218e-10	-2.05308820003e-09	-4.77907499345e-09	3.2799372766999998e-09	1.07841569415e-08	3.0039196402499998e-09	5.94878444179e-09	1.05844814267e-08	-2.71323040216e-09	-9.054923530220001e-09	-8.65748581883e-09	-1.1001781911e-08	-7.40387171901e-09
Balding	5.1533274667900004e-09	2.55052906193e-09	1.13430128465e-09	1.20474872737e-09	-5.67896657424e-09	-1.29549569305e-08	-3.79188455427e-10	6.25743715073e-09	-1.88212442487e-09	-3.03440320364e-09	5.45319942562e-09	5.76741700417e-09	4.39081777566e-09	3.2501945256900003e-09	-1.00074778947e-08	-3.7118124292599998e-09	8.7664541748e-09	-7.53606989855e-10	-3.5384110112900003e-10	-7.027118503e-09
HairColor	-1.12226248165e-08	2.99212381207e-09	-5.69111359322e-09	-9.849745144789999e-09	-1.2108848776600001e-08	-9.937282306640001e-09	-1.49900671441e-08	-3.00763813753e-09	5.58996872399e-09	8.46091246043e-10	-5.56587318469e-10	6.13685491879e-09	1.0061580804100002e-08	1.2881004385600001e-08	2.9905364570000002e-09	-4.72828641468e-09	-1.2081831510799999e-08	-1.6813446524000002e-08	-1.6184421946799998e-08	-1.3963676358700002e-08
FVC	-3.09514641003e-10	1.17198970261e-09	2.075035657e-09	2.69601641873e-09	-5.172931658739999e-09	6.1003559325e-10	4.28983418389e-09	1.08706870664e-09	5.16996478538e-09	8.862234877119999e-10	2.71935046677e-09	-4.96510584632e-09	-1.33370867127e-09	2.64660328968e-09	-5.575881987780001e-09	-7.792046741699999e-09	1.31204887117e-09	2.8731519536999995e-09	7.95895445939e-09	5.3426150634199996e-09
ASD	-6.696842433169999e-09	6.977208084669999e-09	-3.5527556292900005e-09	2.15965528222e-08	-2.0752811746099998e-08	1.28855659478e-09	-2.03856606923e-09	4.71100297447e-09	1.6971775306699998e-09	3.5118369449e-09	4.49065243998e-08	-2.31436256229e-09	-4.12989333691e-08	3.51848930895e-08	-1.82254574896e-08	1.42072839963e-08	-1.76695934699e-08	2.32421193833e-08	-7.126163292899999e-09	-1.62077204081e-08
Sunburn	-1.38730246298e-09	2.06932693228e-09	-9.202715391239999e-10	-3.6350566968500005e-09	-7.62403843648e-09	-3.79694910778e-09	-4.2736492985399995e-09	3.09545703564e-09	-4.3060489518499996e-12	-2.87934250756e-09	2.7127286456700002e-09	4.3599181555e-09	2.63862238622e-09	1.68779740803e-09	3.30749043957e-09	-3.8015573530500004e-09	-4.22270441262e-09	-8.465364987339999e-10	-6.81321385016e-09	-4.9517275236999995e-09
Schizophrenia	-8.51549342238e-09	-6.1173090898500004e-09	3.2176893981999997e-09	-2.0197679037e-09	2.0343184316e-09	3.79059081352e-09	-1.0026839593500001e-08	-2.1031751142900003e-09	1.84866188357e-10	3.4896237474299996e-09	1.1452791354000001e-08	-5.8424895425800005e-09	1.48833947185e-09	-5.99173814952e-09	2.7042029930999997e-09	-8.01693378308e-09	-5.533822725720001e-09	3.62028533807e-09	7.5103372263e-09	8.81043914429e-09
