0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.1677040869700002e-10	-3.20066169002e-09	-9.952821318810001e-10	-6.607710881990001e-10	-2.07606987089e-09	3.38311522938e-10	7.94957279012e-10	4.0843726600300003e-10	1.4391186688100001e-09	3.2029632108199998e-09	3.66511537754e-09	-7.07105678831e-11	-6.869908715990001e-10	-8.95102028699e-10	-4.22447281902e-09	-1.02764425877e-09	1.16360890768e-09	-3.1518119505599996e-10	1.27268064478e-09	3.04307518975e-09
YearsOfEd2	4.05211655187e-09	-2.06422743195e-09	-4.6541020264399996e-09	-5.00682147257e-09	-2.61700293594e-09	2.2002760405499997e-09	-8.995410416729999e-10	1.05984497662e-09	-1.5593474675899999e-09	1.1753365858100002e-10	-7.29829941281e-10	2.04881577052e-09	1.74372728014e-09	-4.2406351738700003e-10	-1.8320363906199998e-09	-5.81493987367e-10	8.17580511768e-10	1.67288626492e-10	-5.84502849871e-10	-2.0861529708099997e-09
T2D2	2.17485033778e-09	2.07582431643e-09	5.7595579167399995e-12	-2.58181098241e-09	-2.90981090145e-09	-2.40062186458e-10	4.93503036809e-10	1.09441246997e-09	3.8443788840099994e-09	2.6520852760099998e-09	2.8622728714099996e-10	-1.6848353561299999e-09	-2.14244138089e-09	-1.9536796425799998e-09	-2.38812482186e-09	-7.35009249842e-10	-5.04746663115e-10	-5.90457197683e-10	8.9006917394e-11	2.21389544741e-09
SkinColor	-4.20668656251e-09	-2.87172354287e-09	-5.20870158094e-09	-7.69337663367e-09	-4.96057444948e-09	7.404410780679999e-09	-9.42242838842e-09	-5.21579693181e-09	-5.5276808016800004e-09	2.40290739349e-09	4.93087327449e-09	5.09169871127e-09	-3.89735594212e-09	1.76580827705e-09	6.1316922013499995e-09	1.7369540558400001e-09	-8.18115560767e-09	-8.395462792110001e-09	-8.46193934106e-09	-8.06024182078e-09
Balding	-9.491681141660001e-09	-3.12571227447e-09	-1.8943977302200003e-09	2.14281102029e-09	5.09212640535e-09	-7.65128999159e-09	5.3216823781400005e-09	6.935770484829999e-09	2.0779819812899998e-09	9.59010019517e-09	1.007879028e-08	1.74032152222e-09	-3.32953163702e-09	-3.6300368144599995e-09	-1.07565736874e-08	-4.4548324030400005e-10	-6.02809417871e-09	-5.71972859727e-09	-8.74046926743e-09	-1.0961213287700001e-08
HairColor	-8.37092106208e-09	-6.0416507577699994e-09	2.07786747429e-09	4.88440945685e-09	1.9032120285e-09	-6.28070386956e-09	-1.1392353851100001e-08	-2.0940464962e-09	1.0820729281199998e-09	-2.8041166910100003e-09	6.69476863527e-09	5.09611580133e-09	-2.9500498536999997e-09	1.94993307825e-09	3.22753680359e-09	4.15198155843e-09	-6.85619619876e-09	-5.70427067448e-09	-1.24752918646e-08	-4.49637241853e-09
FVC	-3.9325934392099995e-09	3.84974057125e-09	1.55556261817e-09	-3.98727206441e-09	-3.3480922917e-09	6.96872405787e-10	6.63139047616e-09	5.3015101239600006e-09	6.35793511075e-09	1.04075089576e-09	6.430777230759999e-10	-2.84577055191e-09	-2.40916584333e-09	-5.00971913433e-09	-7.81802257937e-09	-2.44732589538e-09	-1.6007686133099999e-09	2.31149351399e-09	9.56081039798e-09	3.57071461893e-09
ASD	-1.1129286577200001e-08	-2.0375567488599998e-08	-2.99636794836e-09	-3.35022131267e-09	-2.5442573601599997e-08	6.41030024217e-09	4.0010066466600004e-08	-3.7587505552599997e-08	6.01696663519e-09	1.303447226e-09	4.58241519372e-08	2.6362525028499998e-09	6.53777226302e-09	-1.4401540642000002e-09	-5.059223155e-08	-4.6313064440599996e-08	-2.0292335924e-08	2.62454382312e-08	-1.49760315142e-08	-5.7337217977e-08
Sunburn	4.10978964048e-09	3.59472954067e-09	-2.97403196874e-09	-4.07372842025e-09	-3.6091376724600004e-09	9.00648236305e-10	-3.2325712928300002e-09	-1.1678075028200001e-09	-3.14467540745e-09	1.64381166839e-09	2.9112526711899998e-09	1.80077235449e-09	-2.40607869503e-09	-2.21637036635e-09	2.85369576187e-09	-3.54839828182e-09	-4.312031333820001e-09	-2.08274602654e-09	-3.61278758663e-09	-1.86646269342e-09
Schizophrenia	-1.3902766487199999e-09	-1.1568313589799998e-08	-3.2019215757300003e-09	3.01587412444e-09	-1.09017304166e-09	-1.88944947219e-08	-1.16230669983e-09	5.99370753757e-09	-1.57215217092e-09	3.0982299130999997e-09	-2.05654178377e-09	-1.63561196884e-09	9.10367753678e-09	-5.38932087243e-10	1.4625069048899998e-10	-1.47240990456e-08	-2.4427242818700002e-09	-2.12331688088e-09	5.48894761583e-09	-1.7591322593499999e-09
