0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.48674252357e-09	-2.7559310003e-09	-5.11807932413e-09	-3.44198567315e-09	1.1337566432000001e-10	5.545515364260001e-10	8.53685488922e-10	1.2319838087000002e-09	-1.3969220245899999e-09	6.531195184999999e-10	1.84664578084e-09	2.43917498342e-09	-2.30589408957e-09	-8.29561786307e-10	-2.66837345095e-10	5.73886131867e-10	-2.82860331362e-10	-2.0266789211599997e-09	-8.9431132694e-10	4.90357519501e-10
YearsOfEd2	1.77811045046e-09	4.3695342863e-10	-2.7000416970099997e-10	-4.98068574333e-10	-3.05470474169e-09	-1.61166205527e-09	-4.25435923726e-09	-3.46116577611e-09	2.0153098198800003e-09	4.50748384369e-09	5.11554865058e-09	-1.8031445735399998e-09	-8.02342694687e-10	-3.73557737065e-10	-2.8826033777700004e-10	-3.2078112169e-09	-2.66643133391e-09	-9.15340545656e-10	-1.91655145939e-09	-7.47378193347e-10
T2D2	1.7260949114500002e-09	7.63045400725e-10	2.1232171150199997e-09	1.24854476801e-09	-9.234184013530001e-10	-1.55929331548e-09	-6.98594451507e-11	2.91347352641e-10	5.1382802763e-10	8.00630265043e-10	-9.78369762483e-10	2.7195189830499997e-10	-1.38707694157e-09	1.7430710842099998e-10	1.3404956345899998e-09	2.6002465814899997e-11	4.55860946523e-10	1.9230140622699998e-09	3.5899180505000002e-09	3.12397944606e-10
SkinColor	-2.6219736805300003e-09	-4.95925581597e-09	-8.1868299665e-09	-4.13886653635e-09	1.0169103697100001e-09	-4.31705037172e-09	-6.68915578674e-09	7.91328130767e-10	3.05591177064e-09	-2.00147495038e-09	5.50232696713e-09	7.9803308741e-09	1.2570364905e-09	-1.1116450724100002e-11	2.62007597871e-09	-1.7359473910599998e-09	-5.62543610005e-09	-1.97735277903e-09	3.53977354057e-09	9.62096452544e-10
Balding	6.5460332234e-09	6.13310880101e-09	1.44500070874e-09	-6.705032063969999e-10	-1.04509872413e-08	-1.8376459851700002e-08	-4.45267849214e-09	4.70375954395e-09	1.34220592002e-09	4.21414827942e-09	7.18349047104e-09	6.990267404530001e-09	-2.41027666409e-09	6.973967514399999e-09	-5.9579702973800005e-09	7.28192172589e-09	-4.4010284975400004e-09	-8.93795075619e-09	-1.1001455033299998e-08	-9.26093786388e-09
HairColor	1.05673744305e-08	2.48729420625e-09	-6.3224159647600005e-09	-1.2121943351600001e-08	2.88533129898e-09	-9.44485853535e-09	-2.1631085178299997e-10	-3.5717062497100003e-09	3.7406575341e-09	-8.26158911124e-10	2.3936197566799998e-09	9.16876725382e-09	2.07726204214e-09	8.45757108898e-10	2.4396709404800003e-09	4.91181285423e-09	1.45539513234e-09	2.6233170509300003e-09	4.74393799984e-09	3.77519920528e-09
FVC	2.5080894825e-09	5.42666140032e-10	2.4179960674600003e-09	6.22646683412e-10	3.38524073507e-10	2.05504712958e-09	5.0342752873400006e-09	4.6881788239600006e-09	5.8511722223300004e-09	-6.761104077380001e-10	-4.28744188488e-09	-3.26511397896e-09	-6.67739912659e-09	-1.56702546479e-09	-3.93000695058e-09	-4.85618548038e-09	3.4152928023800002e-09	3.72083409337e-09	5.91697601763e-09	6.81001778036e-09
ASD	-5.51394679306e-10	3.62989510266e-08	9.66665512875e-09	3.3376711115400006e-08	-2.14642799155e-08	1.71236580561e-08	-2.0944257100299998e-08	-1.85604030427e-08	2.71192161139e-08	4.4950282093699995e-08	-4.51359770541e-09	-1.61680809514e-08	2.7231767858200002e-08	-2.38939374321e-08	-2.11070859743e-08	8.36985136843e-09	-1.98509882509e-08	-1.8926622368700002e-08	1.70625696188e-08	1.44497321804e-08
Sunburn	1.63158635494e-10	5.997733626469999e-10	-2.2293154874699997e-09	-3.51675041932e-09	-6.08787403607e-09	-3.85999508364e-09	-1.0905643793400001e-09	6.08053756215e-09	6.1124770529700005e-09	-1.05437634188e-10	2.72985237142e-12	2.36346521408e-09	1.58896098236e-09	-2.4148372899500003e-09	-3.2261365974100002e-09	-3.05433873625e-10	-2.4439803859000002e-09	-2.4544626271899998e-09	5.81334489942e-10	2.6244122325399998e-09
Schizophrenia	-3.7929604458400006e-09	-2.55884515104e-09	1.69674886063e-09	-1.26921565475e-09	-1.2450099694599998e-09	1.93140151594e-10	-4.12654854966e-09	-1.39656519471e-09	1.0333533025399999e-08	1.1039440631e-08	1.02904360323e-09	-1.1688287008900001e-08	-4.3411214366000004e-09	-6.646223619899999e-09	1.0828847357e-08	-2.0549722999900002e-10	7.142655835369999e-10	8.44782130671e-09	7.003527339749999e-09	-2.97730143314e-09
