0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.91324219601e-09	-2.51721367676e-09	-2.3959320093e-09	-2.3407898116900002e-09	2.43597147617e-10	-3.60191267134e-11	-2.37469852795e-09	5.671582530489999e-10	1.3406052870799999e-10	4.28881062512e-10	3.43792914812e-09	5.34083652377e-10	-2.2501449991e-09	-1.06188008855e-09	3.1475482943599996e-10	-2.54192297538e-09	-1.24433584989e-09	-3.6223065255199994e-10	-1.89291130343e-10	2.25189927761e-09
YearsOfEd2	-1.86873599648e-09	-3.7160682378200002e-09	-2.82643385924e-09	-1.54334780915e-09	-1.2648242594000001e-09	7.038434409199999e-11	-2.39346258645e-09	-3.14189938826e-09	-7.169222126710001e-10	1.17941131324e-09	3.97330536825e-09	2.08603151153e-09	7.237915819400001e-10	-3.87239384878e-10	-1.81730599423e-09	-1.67444837207e-09	1.46323867646e-09	-2.23201950357e-09	-1.22007676362e-09	-1.6523152363399998e-09
T2D2	4.07638030249e-10	1.25897579005e-09	2.60229000814e-09	-7.836251178230001e-10	-1.1343605820900001e-09	-3.50692091444e-10	-1.60727563324e-09	-1.1852921953e-09	1.04329632021e-09	2.1525085957899998e-09	5.69040484372e-10	-4.67243548903e-10	-4.813368835599999e-10	-1.05980273159e-09	1.6381676014100002e-10	-3.6641150807300003e-10	-1.0135364043099999e-09	1.12383046393e-09	5.4847513289600006e-11	1.43658193473e-09
SkinColor	9.13411772684e-09	4.53708572057e-09	4.31209162372e-09	-6.9104324097800004e-09	-1.7203453869699999e-09	-4.94233274141e-09	-1.04606054585e-08	2.4128568303399998e-09	-3.4533873250799997e-09	-5.1632259141000005e-09	-3.13493751437e-09	4.21265014708e-09	-1.17354892171e-09	-2.80615028215e-09	2.3619573092299998e-08	-5.85192483544e-09	-1.02786739403e-08	-7.214567151809999e-09	1.00138912797e-09	6.22709911048e-10
Balding	8.100798619840001e-09	4.044849718330001e-09	5.17723659473e-10	-3.53667499907e-09	-7.791444748370001e-09	-3.9692828234800004e-09	2.13180503147e-09	-7.42740003336e-10	-5.05261573819e-09	1.02053858665e-09	1.06049576345e-08	5.86809527841e-09	-1.0315632066e-09	3.03911564334e-09	-4.1829271528899996e-09	3.04942333728e-11	-4.0292079754400004e-11	3.8155357877899995e-09	-8.7981350202e-09	-1.3562263634e-08
HairColor	1.58512525416e-10	3.5393457839000003e-09	9.663136920550001e-09	-1.09956739301e-08	-7.48309440562e-09	-9.212486657350001e-09	-3.70334476501e-09	-7.64692267917e-09	-6.25262383334e-09	2.51398426147e-09	2.93036059624e-09	1.11777674748e-08	-7.620804534319999e-10	-2.39942506873e-09	1.59817661924e-08	-5.59882196277e-09	-6.81633120027e-09	-5.18646279796e-09	1.89226910049e-09	-2.91727227549e-09
FVC	2.8106540284599997e-10	3.28504954437e-09	-2.25999106928e-09	-4.06522831824e-09	-2.147776708e-09	3.06559366362e-09	3.92194122706e-09	4.55286751712e-09	1.5657236012699999e-10	5.110835306e-10	2.97395094853e-09	2.87134564532e-09	-4.0378702492200004e-09	-3.59454692043e-09	-8.91050602723e-09	-3.18521749444e-09	8.072607014e-09	2.30298418629e-09	4.70316975393e-09	8.53314859876e-09
ASD	-5.737347384430001e-08	1.71851827976e-08	8.293330923450001e-09	-2.14047817758e-08	-3.0181728267500004e-08	-7.05598335979e-09	-3.3457143975300003e-12	-5.17369984086e-10	1.6630804585e-08	3.20888679503e-08	1.59723832555e-08	-2.1645479676400003e-08	-6.01135374444e-09	-1.84714498135e-08	-2.81207025478e-08	-2.8695465292299998e-08	1.13105432083e-08	2.8557061728400003e-08	-4.92031878775e-08	-1.64511285481e-08
Sunburn	4.0845772347900005e-09	6.49337427256e-09	2.9818832582199996e-09	-4.3318311133199995e-09	-7.45563462577e-09	-4.01993028575e-09	-3.13037337141e-09	3.6503116799199997e-09	4.07627065941e-09	7.44872573055e-10	-6.54922037967e-10	6.76247988279e-10	-9.38333378718e-10	-3.37518740982e-09	-3.83678868367e-10	-1.7532352229299999e-10	-4.47281393397e-09	-2.5653480719099997e-09	4.76490423589e-10	2.96057357242e-09
Schizophrenia	-2.8168226112900004e-10	9.1226262644e-09	-1.1268236606299999e-08	-4.60222505483e-09	-7.24676141803e-09	6.10346115689e-09	-8.32716692366e-09	-1.0198624940100001e-08	1.2205587305e-09	1.0245901587200002e-08	7.817937391529999e-09	3.4037910895900005e-09	-5.19208586278e-09	-1.7015725157499998e-09	-6.26948951139e-09	-2.5367870534699997e-09	2.50966164392e-09	8.177626027529999e-09	7.50184951328e-09	4.7141791026e-09
Anorexia	-3.42046388069e-09	-7.813116709479999e-09	-1.1486852379e-08	4.41925338085e-09	-9.952406479909999e-09	-1.34050219785e-08	1.5244626022e-08	1.61346825022e-09	1.1535230140599999e-09	2.24889160229e-09	1.16326176324e-08	1.3488642570500001e-08	-1.0163070548799999e-08	-1.38081179782e-08	-5.6770297089900004e-09	-1.21947696631e-08	-7.849601240189999e-09	-8.67603049619e-09	-5.2774142653e-10	-1.04046564472e-08
SmokingStatus	-3.01818588576e-09	-2.45260694384e-09	-1.94684756996e-09	-1.4546368368200001e-09	-1.0781903832399999e-09	6.7419960303e-10	4.86747857433e-10	-3.15485477047e-10	2.27828836545e-09	1.73539134014e-09	1.45087087242e-09	-2.93244251398e-10	-1.8956869337600002e-09	-2.79127199705e-09	-8.09301061326e-10	-4.8114066407e-10	-3.71789972182e-10	-3.77162239274e-09	-1.9014834429e-09	-2.6937874949999998e-09
FirstBirthAge	2.0097999342599997e-09	5.6121329003e-10	-1.21744465142e-10	-3.28147272216e-11	-1.21516406771e-09	-3.07443184985e-09	1.99217850255e-11	-1.89818064344e-09	1.9111331691799998e-09	2.63762809664e-09	1.71852817132e-09	2.3582908649799998e-09	-1.91727536786e-09	-1.28926752993e-09	-2.0847192419400002e-10	-2.2424864983799997e-10	-2.1319438240200002e-09	-1.11702165685e-09	-1.1495728076199999e-09	-3.01072161149e-10
Tanning	5.4994795148199994e-09	5.3717695715e-09	3.6127745185900003e-09	-4.4889016447400005e-09	-3.53721281797e-09	-5.44336890699e-09	-4.56348426549e-09	3.33355151223e-10	3.88081901707e-09	-1.91073133757e-09	-2.07942500694e-09	2.61435774979e-09	1.50436135163e-10	-2.87105134025e-09	9.198400302200002e-09	-4.8700185713200005e-09	-9.23611782677e-09	-6.43870762821e-09	1.45398493253e-09	-3.61990935305e-09
NumChildrenBorn	-1.0723113877999998e-09	-5.71032975278e-11	-5.533543516340001e-10	-1.42627957985e-09	-6.305939965800001e-10	-5.76146321075e-10	2.6435897595599997e-10	-1.64567562493e-09	-1.91180501008e-10	1.35222362019e-09	3.9442226431199995e-10	1.8147272850900001e-09	3.74332614265e-10	-1.43996164935e-09	-1.46555085628e-09	-1.28404196674e-09	-4.25375516873e-10	1.32393774604e-09	-6.37000916554e-10	-4.4714126672099995e-10
DepressiveSxs	-2.50335147835e-09	-1.66580535015e-09	6.86399749021e-10	-4.96617769831e-10	1.25463662272e-09	-2.17165558598e-10	7.03662843171e-10	-8.20062357245e-10	3.52594246505e-10	5.13174462838e-10	-3.9197442819499996e-11	2.16319595628e-09	1.46378987735e-09	-2.98297495076e-09	5.68802526084e-11	1.2405727767300001e-09	-4.708778902999999e-10	-4.74121762175e-10	4.40781418722e-10	1.3330144335200001e-09
