0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.36202724546e-09	-1.84661354922e-09	-3.1585333446899998e-09	-4.97118496558e-09	-4.34827974836e-10	1.4823196435e-10	-3.88546079469e-10	-3.42305277789e-10	-2.28185831876e-09	1.34787429228e-09	4.1856398288300004e-10	1.94882298867e-09	-8.742144193710001e-10	3.04636577161e-09	5.30984673394e-10	-1.41531439233e-09	-2.64522485167e-09	-1.6978506534000003e-09	-1.44135055962e-09	-1.6000439355000001e-09
YearsOfEd2	-1.1901231843599999e-09	-3.25613977533e-10	-1.7815353851300002e-09	-1.94197573556e-09	-2.53645647207e-09	-1.68288520797e-09	-3.39493876765e-09	-3.27853153553e-09	7.038693603489999e-10	3.4636647719099997e-09	3.6188026787699997e-09	8.093166838939999e-10	2.68543372573e-10	-7.68580484864e-10	-8.03435862923e-10	-2.6082843021999996e-10	1.53425475197e-09	-1.90665649297e-09	-1.07650926925e-09	3.8654837022800003e-11
T2D2	1.5096921111500001e-09	1.1494546974500001e-09	1.90188180861e-09	2.17299269954e-09	-2.3047174668000002e-11	-1.35392251433e-09	-9.2250523828e-10	-5.746391402540001e-10	7.16650999183e-10	2.86250212682e-09	-8.57177161641e-10	-7.50148656191e-10	-3.30268445556e-11	-1.48838135692e-10	6.69868575621e-10	-1.08277288626e-09	4.79379593061e-10	2.10688318134e-09	3.12481101751e-09	8.41941116055e-10
SkinColor	1.01549712654e-08	-1.0738135100400001e-09	-6.7219785532100004e-09	-7.588567850130001e-09	-3.8939078379800004e-10	-5.37853079072e-09	-8.908074420819999e-09	-9.89080815246e-10	-6.99987360542e-10	-8.04102994499e-09	-2.33020447719e-09	1.13091100735e-08	6.34777353821e-09	6.37535014305e-09	1.0726392803799999e-08	-3.282314668e-09	-6.70793741939e-09	-6.07213439246e-09	1.38314119425e-09	9.73410134901e-10
Balding	3.452630696e-09	8.35883399247e-09	3.20463238448e-10	2.8142914203e-09	-6.7291191186999995e-09	-1.51775030901e-08	-2.01559941531e-09	6.94677585584e-10	-1.09270963895e-09	-3.45733660382e-11	1.1835736676000001e-08	1.3881057180200001e-08	-7.769740252770001e-09	1.7919866321800002e-09	-6.83011814232e-09	7.19118194075e-09	3.4582487448e-11	-2.64041270898e-09	-6.733769810430001e-09	-5.266402926650001e-09
HairColor	1.27975358448e-08	8.29206020804e-09	-6.9775904723199996e-09	-8.22443982887e-09	-1.76900155366e-09	-8.43451737158e-09	3.22043391528e-09	-5.51803545221e-09	-5.41833608015e-09	-8.86722994769e-09	-1.8565111338599998e-09	1.4089712865399998e-08	4.8661520655100005e-09	3.19166041339e-09	4.94446033718e-09	3.16893695029e-09	-8.85871116034e-09	-1.7592417669399998e-09	1.4233801840900002e-08	7.8252256217e-09
FVC	2.11918310722e-09	-7.759574711000001e-10	-1.73733067537e-09	-3.33513156237e-09	-1.80997208072e-09	2.1109767755800003e-09	7.185198964030001e-09	2.77961945605e-09	3.80830463149e-09	1.4310511465600002e-09	-3.3513127027699997e-10	-4.65632632188e-09	-3.6037113033200004e-09	-2.71390325885e-09	-4.69910054022e-09	-4.70786970492e-09	-1.72310852475e-09	8.86407843609e-10	7.95397544212e-09	7.65904052828e-09
ASD	1.45542448546e-08	3.6348337628300003e-08	2.66520441518e-09	1.34317007682e-08	-8.88466021471e-09	-3.49156064021e-10	-3.6488632290799997e-09	5.02466997575e-09	2.42443229441e-08	1.52674530781e-08	8.45866672759e-09	-9.656431785070001e-09	5.17496962406e-10	-1.59880404902e-08	3.27052537292e-10	4.57342058376e-09	-1.0743704416e-08	2.41872409722e-08	-2.27951053424e-09	2.9971650169099996e-08
Sunburn	3.5757437822499997e-09	9.3435279569e-10	-2.53505581297e-09	-4.23952436695e-09	-6.915217713060001e-09	-4.4346592942e-09	-9.44160025237e-10	3.3007679229000003e-09	2.48965408948e-09	-1.75139724109e-09	-5.448492731440001e-10	2.5473217457699998e-09	1.8166847986400002e-09	-4.66548336687e-11	-2.8920958636799997e-10	-1.85902587862e-09	-7.90885743045e-10	5.565392986819999e-10	2.23647511992e-09	5.17306856443e-10
Schizophrenia	-9.942221416850001e-10	-4.0230079585e-09	-1.72446440398e-09	-4.2983646636699995e-09	-1.0225593173200001e-08	-5.40367137934e-09	3.4384334116899997e-09	-8.51242535573e-09	8.993859540530001e-09	6.44775050207e-09	5.37360005912e-09	-1.1867706111299998e-08	-8.557871353039999e-09	7.3748899872999995e-09	1.2280578362e-08	-3.97867660322e-09	-2.64538962322e-09	2.42128159117e-09	7.09083079314e-09	-7.9051361486e-09
Anorexia	-3.2291084431e-09	-1.62025127338e-08	-7.3400299369800005e-09	3.05620641615e-09	-1.86916135914e-08	-1.8999683897299998e-08	2.5296165375799997e-08	6.410551580219999e-09	-3.55921846923e-09	-3.8155278820100005e-09	1.12586393506e-08	-3.74473027745e-09	-4.54691041332e-09	-1.2046542447200001e-08	-3.30619146827e-09	8.934979930299999e-10	-9.47433078378e-09	4.62864108699e-09	-3.8357450415e-09	-6.66177465007e-09
SmokingStatus	-4.7762116624399995e-09	-2.86258699868e-09	-1.56675484005e-09	-1.6863597331300001e-09	8.760171916130001e-10	-1.34278832511e-09	-5.25010050942e-10	-2.7725597750100003e-09	-2.7710093980299996e-10	1.1308976119200001e-09	1.4148349117e-09	3.034602906e-09	-1.0365145357799999e-09	-1.5007400388399999e-09	-5.2072689723199995e-12	-1.7875585940900002e-09	-3.15255645793e-10	-1.0119856651699998e-09	-1.98074344191e-09	-3.5282987696400003e-09
FirstBirthAge	1.07292619138e-09	-4.48368442617e-10	-5.38556144087e-10	-1.8273887187800001e-09	-2.95053881621e-09	-8.589343498630001e-10	-1.91892615561e-09	-1.02909601325e-09	1.77810496006e-09	3.81611067943e-09	6.383923810650001e-10	8.2619965253e-11	-2.0848994334000004e-09	-1.2396035222e-09	-2.9246261213500004e-10	-8.97567403648e-10	-1.86815386545e-09	-2.52587639543e-09	-3.85714291549e-10	2.92150744065e-09
