0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	2.80253077948e-10	-4.9861236592e-10	-2.96335568359e-09	-2.16097078516e-09	-6.546292698069999e-10	-1.84007263618e-09	-2.6270379190900003e-09	-4.38017300963e-10	2.11745308263e-10	2.27868774131e-09	4.13570454633e-09	1.39241512422e-09	8.920303126910001e-10	-2.78374246424e-09	-2.22089147243e-09	-2.5572226820399998e-09	-2.01556971007e-09	-2.97550519918e-09	-7.48508350896e-10	2.06241316859e-09
YearsOfEd2	9.828759960860001e-10	9.87486791964e-10	1.22247363355e-09	-1.9472469123700002e-09	-2.9338603326299997e-09	-1.41541056794e-09	-4.98975016766e-09	-1.0336095732999999e-09	2.71051318064e-09	2.2172304848599998e-10	3.50918174335e-09	1.1459532990700002e-09	-3.38225966194e-10	1.07619862936e-09	4.15071075669e-11	-5.02563089487e-10	-6.05714647498e-10	-2.34061128545e-09	-2.0811228991799998e-09	1.61510085406e-09
T2D2	1.21667397335e-10	-1.16956050686e-09	1.63292623609e-09	5.83857150967e-10	-8.86018959403e-10	-1.05352168383e-09	1.06381423393e-09	-1.1450464040999999e-09	2.94810088973e-10	2.22028446099e-09	-7.387909787200001e-10	-1.34140863987e-09	-8.834166829489998e-10	3.33041598682e-10	5.391382717540001e-10	1.14016181822e-10	1.60582640226e-09	2.25208699892e-09	8.750807278830002e-10	1.43764381186e-09
SkinColor	-3.93497609938e-09	-4.18735802545e-09	-5.96632739916e-09	-1.19991159725e-09	-2.63641068919e-09	-7.97321746526e-09	-9.04770423275e-09	5.03796929643e-09	7.61187467961e-09	1.02593537395e-08	3.54393729083e-09	1.59607556577e-09	-2.5769906536899998e-09	-4.87481724865e-09	-3.81558856676e-09	-2.4810100368500003e-09	-9.50285675611e-09	-6.59940383847e-09	5.571477787980001e-10	1.44395216444e-10
Balding	2.80032585135e-09	3.5427060595299996e-09	-1.95386125448e-09	4.00495569175e-09	-1.00479846163e-08	-1.38343703032e-08	1.7721235684000001e-09	3.885247594740001e-09	6.8847304309300005e-09	3.06584743585e-09	6.88345828079e-09	1.10062245213e-08	-6.741810954189999e-09	-3.15425578958e-10	-3.81738875539e-09	3.1216720456e-09	-3.903722748650001e-09	-2.84540811879e-09	4.10346915288e-09	-1.4162454137700001e-08
HairColor	-2.4543234387400003e-09	-6.25923818507e-09	-3.86966496928e-09	-5.86567990944e-09	1.08760055642e-09	-3.764858500500001e-09	-5.02601534253e-10	4.61040370409e-10	1.19226635531e-08	2.15416383389e-09	-3.71595490756e-09	-4.82098897662e-10	2.48475835548e-09	-2.47403862255e-09	-4.67061668555e-10	9.06948950527e-09	-5.24214498574e-09	-8.64903121135e-09	-1.4672959339000002e-09	-2.18057945675e-09
FVC	-4.40489635607e-09	1.1659251487199999e-09	3.8685623823600004e-09	-1.38559036434e-09	-8.00425769276e-09	1.7705223501099998e-10	2.75967083947e-09	5.20073984033e-09	4.19034036448e-09	2.75343739842e-09	1.9297630167e-09	-3.72451368589e-09	-1.07866675535e-09	8.58196363783e-11	-6.611352861899999e-09	-2.0045275645500002e-09	-2.55130006291e-09	-3.08445455177e-09	1.70957918506e-09	5.44523168974e-09
ASD	1.45419433803e-08	-7.2929393557500005e-09	-6.2537733868e-09	-1.1434661955e-08	-3.0564517166900003e-09	6.42081146126e-09	-2.42355807156e-09	-1.05012198752e-08	1.9431245842800002e-08	3.18168627051e-08	-1.9856231932999998e-09	-8.49247358774e-09	-3.33132935586e-08	3.3266572334400003e-08	-6.65241010898e-09	8.64161014283e-09	-1.27288820727e-08	-5.14800451969e-08	-1.81729725294e-09	9.41622483687e-09
Sunburn	-3.6591349826700003e-09	-1.56695370638e-09	-4.42404631929e-10	-3.936277699140001e-09	-4.9575192342299996e-09	-3.5193188590000004e-09	-2.8569591882e-09	5.0079563917099995e-09	6.8036859100500005e-09	2.43466632959e-09	3.2143773381099998e-09	2.82968039222e-09	-2.28715356278e-09	-5.42545488976e-09	-5.010805201389999e-09	-2.8842717107099997e-09	-3.9915142672e-09	-4.71626591156e-09	-1.3920465081900001e-09	2.7556310765e-09
Schizophrenia	8.07945267891e-09	1.42376185919e-08	-5.01309647635e-09	-4.04706553008e-09	6.823245026890001e-09	-6.24357320755e-09	-5.92120908974e-09	-1.2861406787200001e-08	-4.28726713569e-09	1.2252838734799998e-08	6.16074646458e-09	-9.859519849580001e-09	3.88819374873e-09	1.92488101202e-09	1.00220776688e-08	-8.05283640466e-09	5.7616018384800006e-09	-1.73104189861e-09	7.6300102097e-09	5.19545855168e-10
