0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.12142546235e-09	-2.29518649527e-09	-2.40690800024e-09	-1.8168987003800002e-09	-8.28127260395e-10	-2.1607489235e-10	-2.0492500829399997e-09	-7.443928769280001e-10	-1.47391669078e-09	1.69500141269e-09	2.59587897022e-09	2.89141094044e-10	-5.899720812640001e-10	1.74842249693e-10	-1.07094088508e-09	-1.14170941502e-09	1.57298906567e-09	-3.4581410072499996e-10	-2.20176950964e-09	8.553139233780001e-10
YearsOfEd2	-1.55606848652e-09	1.2876223167000001e-09	3.96110621399e-10	-2.91861414231e-09	-3.1419065293900002e-09	-1.4085975886600002e-09	-3.61796910061e-09	-1.75643147276e-09	1.3118506270199998e-09	1.65200703485e-09	2.4033390883699996e-09	2.37951334357e-09	8.04865413037e-12	1.37368426005e-09	-1.52310586559e-09	-3.07079720274e-10	-3.28692822046e-09	-5.13289455523e-09	-3.00238973904e-09	1.3783612633200001e-10
T2D2	-1.37255493759e-09	8.712962154169999e-10	1.13796656781e-09	5.22914666407e-10	1.57694917783e-10	5.17609186416e-11	1.1694829672e-09	-1.63107141091e-09	3.87302762608e-10	7.9234058292e-11	-8.70283530433e-10	-1.29616232499e-09	1.3146560544000002e-09	2.25481033999e-10	1.4837691633899998e-10	5.95085149819e-10	1.2386750648e-09	2.54345123776e-09	5.52567444613e-10	1.1526353045e-09
SkinColor	-2.0896093337000002e-10	1.7350073125100002e-09	-3.995791786069999e-09	-5.507065166309999e-09	-1.17341026954e-09	-9.36742481769e-09	-1.16287068655e-08	6.82867121818e-10	-1.79618967495e-09	-1.7054522975e-09	6.316435625600001e-09	1.40706632053e-08	-1.259475264e-09	-3.02947502373e-09	5.787414842490001e-09	-2.68627499692e-09	-1.14195776346e-08	-5.85358375034e-09	1.06281494758e-09	3.92048816133e-09
Balding	2.59019845916e-09	3.6062886677299997e-09	-2.37341246765e-09	-3.80831746587e-09	-3.4506623862499997e-09	-2.59518469307e-09	2.4120785489500003e-09	-5.159097198210001e-09	-5.86095863907e-09	-3.92385515919e-09	6.6042688733999995e-09	1.1829433130700001e-08	1.51599798535e-09	9.30146359792e-09	-5.65350366215e-09	-2.43506506477e-09	5.08606754e-09	3.3242298527e-09	-9.56012607855e-09	-1.32575866965e-08
HairColor	4.34385914401e-09	5.35388956203e-09	-1.15238259012e-09	-9.12427793827e-09	-1.8251070234e-09	-8.69036175947e-09	-2.76819253124e-09	-1.11848171124e-08	-1.7065929149700001e-10	3.8216824742e-09	4.62766137679e-09	1.30426101654e-08	9.9232013881e-10	-4.5573087827799996e-09	5.08548439152e-09	-3.29913154475e-10	-1.39328868865e-08	-3.38080869388e-09	3.45134596175e-09	6.4302736379699996e-09
FVC	1.44704773762e-10	-8.7340119964e-10	1.25391560968e-09	1.2706247625900001e-09	1.11487572391e-09	-3.10523636504e-10	6.0711720769599996e-09	3.1435813409e-09	3.00605610616e-09	7.962341677410001e-10	8.07722610232e-10	-4.4199020190099995e-09	-1.0022110152999999e-09	-6.34865447032e-10	-7.132629837279999e-09	-1.7711251551399998e-09	3.32257225071e-09	1.3426700332000001e-09	5.78872284129e-09	6.88439699235e-09
ASD	-1.83390249741e-08	4.4490734902e-08	-8.58648158943e-09	8.678365939489999e-09	3.1592780103e-09	-8.57086199601e-09	-1.28859220032e-09	3.37731136958e-08	2.6691497002599998e-09	1.1823336425e-08	1.4879243003999999e-08	-3.39531837037e-08	4.62055106742e-09	7.20087598861e-09	-2.5676960831299998e-08	-8.87937378433e-09	1.55300012625e-08	2.3176436477700002e-08	-2.53457732875e-08	3.8675112354900005e-08
Sunburn	-6.79675289041e-10	1.0559606093e-09	-1.3667145869799999e-09	-2.6890667780499997e-09	-6.17800568286e-09	-5.95907925796e-09	-2.24346415191e-09	3.48126309389e-09	4.06545131381e-09	-7.23850886382e-12	-1.0944322459e-09	3.30915185127e-09	4.70941632828e-10	-3.17653992676e-09	-1.6523357614499999e-09	-1.94871459604e-09	-4.8448833812200005e-09	-7.9644507978e-10	2.1385396754299997e-09	2.47816930202e-09
Schizophrenia	-6.5785809159400005e-09	-1.01835400266e-08	-1.62861406485e-09	-4.30930143005e-09	7.05133877933e-09	8.11822059092e-09	-3.12366239474e-10	-7.52436277889e-09	4.03850699672e-09	4.42530392848e-09	-2.4473360974100003e-09	-2.8563990236499998e-09	9.77310127908e-10	-8.043538979780001e-09	1.36101058297e-09	-3.9109850173199994e-09	-1.53626240849e-09	3.4206112736299997e-09	1.2699961996e-08	5.8095629423e-09
Anorexia	2.14840908455e-09	-1.3265829619e-08	-1.0041859199200002e-08	8.76256747221e-09	-6.2952898042499994e-09	-5.65064065722e-09	7.61747367034e-09	3.37934812132e-10	-3.4146794016099998e-09	5.30368044266e-10	7.5301050538e-09	8.89480461564e-09	-6.64039288165e-09	-9.57198145351e-09	-1.7149263840100002e-09	6.41853834278e-09	6.92562507087e-09	-1.14098916109e-08	-1.78725574656e-08	-9.20457164767e-09
SmokingStatus	-3.2303828651e-09	-2.36053765995e-09	-1.43718776525e-09	-1.9049502790800003e-09	5.04910415037e-10	-1.12014262596e-09	2.2533668470400002e-09	-3.24191302555e-09	8.445197966769999e-10	4.5561051133699993e-10	2.26192368576e-09	2.92659530113e-10	-7.08375127957e-10	-2.83050729076e-09	1.15547557409e-09	-7.682406899289999e-10	8.845932072210001e-10	-1.32399772448e-09	-2.42154839049e-09	-2.24381483624e-09
FirstBirthAge	8.59490044552e-10	1.80812139256e-09	2.5979956755499997e-10	1.54378304453e-09	-1.63632164813e-09	-1.3274291952e-09	-2.17302414899e-09	-1.99932105472e-09	1.49070866355e-09	2.26775036943e-09	-9.66965733876e-10	6.67716884114e-10	6.582175622719999e-10	7.408735487089999e-10	1.32942595472e-09	-2.30938895171e-09	-2.24928271204e-09	-2.73601465425e-09	-1.9725338756799997e-10	-2.33511801525e-10
Tanning	-4.53830600098e-10	8.678081556189999e-10	-8.93227645181e-10	-1.73702678805e-09	-4.26305565729e-09	-6.978829101980001e-09	-4.44628269608e-09	-1.01361027344e-09	2.6196130129099997e-09	-1.02372514627e-09	1.2065315190300002e-09	9.182456586700002e-09	-3.65348300767e-10	-1.0717571107999998e-09	1.12465765364e-09	-2.91752598385e-09	-7.507107319480001e-09	-6.11989738787e-09	1.16158285638e-09	1.36090120897e-09
NumChildrenBorn	-1.92734778814e-10	-2.2103853654099996e-10	-2.08476490572e-09	2.88789994923e-10	-2.26040405456e-10	-2.9348049727799997e-10	-8.813323265580001e-10	-3.1590385273700003e-10	2.61540714881e-10	1.63615040887e-09	-1.2320251363e-09	2.32055085741e-09	2.75813215686e-10	-2.22468199406e-09	-1.23427182237e-10	-5.20362235125e-10	-2.40667768405e-10	2.5353259862500002e-11	1.92978811664e-10	-1.27312175204e-09
DepressiveSxs	1.65399903354e-09	2.4898843311799998e-09	2.26342413373e-10	-4.1838618942699997e-10	-1.33173521073e-09	-9.2821955048e-10	-1.60294645664e-09	-6.181635827480001e-10	-6.23194647034e-10	3.65096279239e-09	1.9234814395799997e-09	1.16877587049e-09	-9.75331592973e-10	-1.3347759564200003e-10	-1.50578191238e-09	-3.51877458343e-10	-1.02961143772e-09	-2.27099117033e-09	-1.9158184346e-10	1.43633330748e-09
BMI2	3.7996210025799996e-09	2.9409111091e-09	-2.15445210062e-09	-5.63483405058e-09	-5.0776357879600005e-09	-1.03479407368e-09	5.713998553009999e-10	-1.30757878696e-09	4.17013337427e-09	1.65972364174e-09	2.5083991098999998e-09	1.3602479133600001e-09	-8.595773752979999e-10	-5.23278737619e-09	6.83728138647e-10	-3.28549548766e-09	2.15164949186e-10	-7.13428146727e-09	-2.2881173091999997e-09	1.94599276272e-09
Neuroticism	-1.22247280187e-09	3.2036692027800003e-09	1.74706147284e-09	1.6643287721799998e-09	1.72348378354e-09	2.9851590408399998e-09	-2.62904561731e-09	-3.13401097511e-09	-3.26712012275e-09	-1.53829291714e-09	1.2705905779899999e-09	2.55008632521e-09	1.41645034497e-09	2.25402887252e-09	-2.6108964687900006e-10	-3.05144030969e-10	1.01770589204e-09	-3.11379844946e-09	-1.8852884715100002e-09	5.55723936291e-10
MenarcheAge	1.01659448356e-09	2.09622859356e-09	8.78436711168e-09	-3.7009925680299996e-09	1.49965548312e-09	-3.97357503623e-09	-1.08844557796e-09	-8.52920968895e-10	3.41401269288e-09	6.75850009602e-09	-3.5087230487499995e-11	-1.3112688979900001e-09	4.98346550942e-10	-4.13925558469e-09	5.79451002843e-10	-3.24511415872e-09	-1.9836362252e-09	-4.726727642399999e-09	2.8918689440400003e-09	1.6094853083e-08
Heel_T_Score	-4.05993842424e-09	-7.99076397944e-09	-9.828754925719998e-10	1.00201564249e-08	5.635067253710001e-09	-6.23779362905e-09	-6.392758186240001e-09	-9.95947825233e-10	8.11505565702e-09	1.09554299125e-08	7.00007818924e-09	4.34535281048e-09	9.979483784209999e-09	-5.667215749009999e-09	-1.59031631242e-08	-1.1997999427700001e-08	-4.38534165356e-09	-4.07369523425e-09	7.56123474774e-09	-7.33891576348e-09
Eczema	-2.94268901616e-09	-1.9586471328899998e-09	1.38685702622e-09	6.2538574278e-10	-1.79261627012e-09	-3.0995881360800002e-09	-9.52662922412e-10	-1.14728244354e-09	1.01611938714e-09	5.88283221573e-10	-1.70683510163e-09	3.42564547907e-09	6.11748346547e-10	2.25917418584e-09	5.854825359740001e-10	-1.08827545984e-09	-1.91013277304e-09	-3.0179350788499998e-09	2.4486360335600002e-11	-8.15517528202e-11
SystolicBP	-5.60177330345e-09	2.53378396137e-09	-3.0087536484900003e-09	3.6396266815800004e-09	2.61034890656e-09	-7.07871586403e-09	-7.104331430949999e-09	-4.22860912501e-09	-2.39907526251e-09	-1.02835045031e-09	6.03150316212e-09	6.864180230699999e-09	6.68199123333e-09	3.41446296256e-09	-5.219345714639999e-10	-5.421852233340001e-09	-8.15444549106e-09	-3.1624283890500003e-09	-2.2532798235999999e-10	3.34122360183e-09
AutoimmuneDz	-5.53744877676e-11	1.1425081917000001e-10	-5.574296933930001e-11	7.51123794341e-10	5.53464814793e-11	-8.5466348242e-10	-1.2465491294100001e-10	-2.56601504832e-10	3.80876281536e-10	-1.7610922017099999e-10	-4.0379739114e-11	-2.2283255386200002e-10	1.6856521898299997e-10	1.45522459424e-10	1.24906244794e-09	2.9476976982299996e-10	1.0311546624e-10	3.0753602177900003e-10	1.1173373352999999e-10	-7.519190307599999e-10
MenopauseAge	-6.27524568869e-09	-6.392293130049999e-10	-2.3693199067200002e-09	-1.735193302e-10	1.02102286415e-08	2.5206475938700003e-09	-1.94474226028e-09	8.66152336764e-09	5.72920184859e-09	6.372174397440001e-10	-3.71780905505e-09	-3.8899596131499995e-09	-2.80255371969e-09	-2.2944193713000003e-09	-2.97950699669e-09	-8.903982629910002e-10	-9.57069503414e-10	3.74847598267e-09	4.66954421052e-09	1.11867733749e-08
WaistHipRatio	1.4354904315099998e-09	9.05255433181e-09	8.52409449986e-09	-1.95811018056e-09	-9.7123989633e-10	-2.48443559162e-09	5.29645742697e-09	6.05627482426e-09	-1.77479898761e-09	-1.91563016321e-09	-1.31300105332e-10	-2.90132120975e-09	3.78424301104e-09	-9.175268850999999e-10	-5.7300100085299995e-09	-1.7930835831500001e-09	1.20097272951e-09	8.18267668793e-09	4.13874343727e-09	1.67873434723e-09
RBCCount	-5.80746564569e-09	8.13712809479e-09	1.56193352559e-08	3.83011933092e-09	-4.51907915268e-09	2.09602991335e-09	-6.5534034323e-09	4.873163633649999e-09	3.75193934371e-09	-7.98694952829e-10	-1.23803444001e-09	4.871290687180001e-10	-5.52423554254e-10	-1.8503376305399999e-09	-9.511457603199999e-10	1.5143576601299998e-08	-1.90849376343e-09	-7.475102426289999e-09	-2.90953485778e-09	1.05828137714e-08
EosinophilCount	9.41078845682e-10	-4.27625597182e-09	-2.36392945491e-09	1.0695249827299999e-08	-5.99627732267e-09	-8.25874260009e-09	-7.741542750810001e-10	1.9998986519699998e-09	7.92320236687e-09	4.589685213889999e-09	3.32437505233e-09	-1.3882895945999998e-09	-1.7602274772999997e-09	-2.7937082373000003e-10	-5.240745739519999e-10	9.41565921568e-10	1.1168970149e-09	-4.5351045409199995e-09	2.29893174753e-09	1.7209822355300002e-09
Resp_ENT_Dz	-1.57516670802e-09	-1.5697061802300001e-09	8.9116532324e-10	3.76552933981e-09	-1.7717768325300001e-09	-2.8316312771899996e-09	-2.0476714311e-10	-6.78264472525e-10	2.7497609370400002e-09	2.87703406598e-09	1.02011096798e-09	1.45330713e-09	-7.76828265273e-10	3.95327453015e-10	-1.9028830903700002e-09	-1.90907798444e-09	-2.48464027194e-09	-3.2253467635099998e-09	-3.04887425557e-10	-5.855153600409999e-10
RA	-7.67898434236e-09	-8.48130365496e-09	-2.65199764894e-09	-1.35183391641e-08	1.02265435059e-08	2.02116858018e-08	9.627924940680001e-09	-6.08896274352e-09	-1.2625628118899999e-08	-3.6839481297799998e-09	1.9865620698700003e-08	-8.587154116069999e-09	-5.244306993810001e-09	-7.41492081875e-09	1.21752877321e-09	1.02213832896e-08	1.8306495391099998e-08	1.07538847411e-08	-2.20313127991e-09	-3.34098225587e-09
