0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.7957684346700003e-09	-2.5899445778400002e-09	-2.15347376163e-09	-2.6311061885299998e-09	-2.5187207369199998e-09	-1.8419570628199998e-09	1.16295621532e-09	9.838760929e-10	-3.34508398047e-10	1.67323583106e-09	2.54966700834e-09	5.75255971486e-10	-2.06480045557e-09	-1.97300240366e-09	-1.40783768508e-09	-1.81272111312e-09	-1.62844833075e-09	1.94164697683e-09	-1.4149572422299999e-09	-1.2878637274399999e-09
YearsOfEd2	-3.19671412331e-09	-5.175880130100001e-09	-3.6480174327699995e-09	-4.531366776250001e-09	-2.9822366482099998e-09	7.2229399941e-10	-3.21632661807e-09	2.55782767915e-09	5.38001984239e-09	5.72139364829e-10	-1.20287118073e-09	-3.31987817382e-09	1.2453421229800001e-09	4.01930631305e-10	-1.05141617051e-09	8.17250441814e-11	8.59520533652e-10	-2.43557009204e-09	-1.5092634180199998e-09	-1.75672421037e-09
T2D2	1.02245456179e-09	8.71935357614e-10	4.741577462880001e-10	-1.82394698385e-09	-1.32843774542e-09	3.13397230815e-10	1.18242922237e-12	5.58024076088e-10	1.9919171182e-09	1.9240294336199998e-09	-1.05241364076e-09	-1.51744336965e-09	-1.0925696357999999e-09	-1.12393179574e-09	-1.8597692325100001e-09	1.24682401138e-09	3.56093931996e-11	1.7276569346900001e-09	3.1046119270399997e-09	2.99802051689e-09
SkinColor	-2.7690488658e-09	-4.75190870667e-09	-3.4527173034100004e-09	-5.7794394080899995e-09	-3.884598133e-09	1.5218388533299998e-10	1.47451956349e-09	9.163956881780001e-10	-2.53002380546e-09	1.2231025690400002e-09	4.40023251082e-09	6.66493170612e-09	-3.4757505533e-09	-6.28231986068e-09	-4.34309836617e-09	3.75571220273e-09	-1.71188751472e-09	2.65441003113e-09	4.09452630729e-09	-4.92934655866e-09
Balding	-8.91661533558e-09	-2.38970004308e-09	-4.0830301484199994e-10	-1.16852433275e-09	-1.03249596935e-08	-1.68630395056e-08	-4.2262092421099996e-09	-1.99134700171e-09	-3.33877592881e-09	2.62395238293e-09	2.01972005805e-08	8.3317773004e-09	1.47233230043e-09	3.6431779520900004e-09	-8.767512196490001e-09	-5.96503317556e-09	3.50502538842e-09	-9.208698755299998e-09	-4.72883464185e-09	-1.2896957605299999e-08
HairColor	-6.04467842432e-09	-6.63129493205e-09	-2.07924160749e-09	-6.67128201355e-09	-1.3655945673e-09	5.31797801398e-09	-4.84397556471e-09	4.266325012569999e-10	4.31064057065e-09	4.79016780666e-09	5.37463522698e-09	4.659154044080001e-09	-6.81397905879e-09	-7.41774013044e-09	-1.0132676704999999e-08	1.4930515175999998e-09	8.65183646741e-09	-5.28948698104e-10	-2.54791211178e-10	-9.462904970819999e-09
FVC	-8.111361880510001e-10	3.28225391151e-09	2.2333799127300002e-09	2.9948428634e-09	1.01879908449e-10	2.8736763138300003e-09	1.01055281097e-09	6.11820921212e-09	5.18400053984e-09	-2.4909328713000003e-09	-1.02531312246e-09	-4.43936855507e-09	-2.70027525198e-09	1.07711768472e-09	-6.21898898908e-10	-3.2577588489300003e-09	-6.10037354449e-10	3.8952436943e-09	4.31599054704e-09	5.05439232792e-10
ASD	-2.5105016299e-08	8.40319112216e-09	3.11726735326e-08	1.16515533985e-08	-1.7635160395599998e-08	2.3660249293599998e-08	-7.78895192164e-10	1.2849157870200002e-09	3.6382994134300006e-08	-4.77189772203e-10	-2.41077083855e-08	-9.62315743273e-09	-9.09556824887e-09	1.0074366675299999e-08	-3.1210833044700004e-08	2.43541133377e-08	2.3716658362599998e-08	1.23667689797e-08	-2.24638219433e-09	2.29469312399e-09
Sunburn	-2.72678527531e-10	-1.19869034313e-09	-5.9403599881099995e-09	-5.7685966618e-09	-5.28468770758e-09	-3.96413359245e-09	-3.8918559052699995e-10	6.06494418295e-09	-3.7203678163400004e-10	1.2798058899199999e-09	5.263539853630001e-10	1.08957925303e-09	-1.5972088737e-09	9.61475449639e-10	-2.52001108946e-09	-4.1545914814400005e-09	-4.135388959000001e-09	-2.48210690634e-09	6.3108783149e-10	9.144917108110001e-10
Schizophrenia	1.47879902602e-09	-1.16060520413e-08	-6.40333355626e-09	-7.09241962339e-09	2.9955171030499997e-09	-5.09596640084e-10	-4.5686043781e-09	-5.69861211357e-09	2.53260922255e-09	1.0619061284899999e-08	1.3066449347600001e-08	-1.94933825898e-10	1.74340418843e-09	-9.33154437562e-09	-9.613390366249999e-09	-1.04103599955e-09	2.20935604392e-09	6.3268035228e-10	3.05380732778e-09	-1.3674682142899998e-08
