0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.1985380398600001e-09	-2.7207737036800002e-09	-1.1123352642999999e-09	-2.76404304364e-09	-5.62745400334e-10	9.333613253309999e-11	1.29519307687e-09	-2.31638972741e-10	-1.7924179673399999e-09	8.918596799839999e-10	1.6936108063900002e-09	1.61656375972e-09	1.80167255058e-10	-5.31745425089e-10	-1.56680110473e-09	-1.3188780279000001e-10	1.94289495674e-09	-3.7866495381099995e-10	3.02419867081e-10	2.1249897792e-09
YearsOfEd2	1.25841348092e-09	-2.13404566059e-09	-2.7730632711e-09	-3.21076414703e-09	-1.03546239402e-09	1.90181530297e-09	-2.08513257716e-09	-2.7875978987e-09	-9.4298119104e-10	-1.8402250544700001e-09	1.87197274637e-09	4.01959224031e-09	2.7607928301600002e-09	-1.1666905037699999e-11	-1.7936126801600002e-09	2.3355641938e-10	1.13350187764e-09	-1.8285574412599999e-09	1.86514252507e-09	-2.3291588419999995e-10
T2D2	9.634970206260001e-10	1.91105711449e-09	1.20898367962e-09	-1.67799370068e-09	-1.78813464673e-09	-1.5599929663899999e-09	5.79006238616e-10	-1.41643774228e-10	1.37472664829e-09	2.78186262865e-09	2.9820391485599996e-09	-5.27585537255e-10	-2.24477377167e-09	-1.90515040201e-09	-3.32799540438e-09	-1.4180134821900001e-09	-2.23633206931e-09	3.0239913696e-09	2.88425542202e-09	1.17140314132e-09
SkinColor	-5.14896899215e-09	-8.98737424135e-09	-7.28815347702e-09	-1.15978685202e-08	-4.40368845233e-09	-4.32536866657e-09	-2.56543500623e-09	4.3662965975900005e-09	-4.8138492832500005e-09	1.44674622529e-09	3.59686784313e-09	3.86159298236e-09	-3.91803068357e-09	-6.08096637319e-09	1.0147330874600001e-08	5.18372071794e-09	-7.68403559904e-09	1.4125487832499999e-09	-2.90090132968e-09	1.3740318100099998e-09
Balding	-7.59828670665e-09	2.58215980427e-09	8.32602101335e-10	6.221109144569999e-09	-1.0605251462e-08	-1.89966679982e-08	-3.3858579905599997e-09	7.93906255623e-09	-1.76751694593e-09	8.16598285917e-09	1.0217556348799998e-08	4.79471969237e-09	-1.23038464728e-09	3.00688268093e-10	-7.747072948379999e-09	-2.2875254223200002e-09	-9.3653991607e-09	-1.18249409e-08	-7.76338434182e-09	-1.2885236443500001e-08
HairColor	-6.32848022755e-09	-9.10118581056e-09	-7.40486592141e-09	-1.02659974055e-08	-5.48295111559e-09	1.04948736086e-09	-9.90380802743e-09	-3.61835218301e-09	-7.21120053797e-10	3.4854090302e-09	3.06056009851e-09	4.39720760106e-09	-2.09843839656e-09	-4.56536013013e-09	7.59777382552e-09	5.843882950550001e-09	-2.38605564744e-09	2.81822626622e-09	-8.39099603235e-09	-2.30381025742e-09
FVC	-5.45171427402e-10	1.13703753681e-08	2.5252342304700003e-10	-4.55677609855e-09	-3.6061475505599997e-09	-2.66008033848e-09	4.71280059719e-09	5.24811770095e-09	7.27525417456e-09	5.87336944611e-10	1.4947771646200003e-10	-1.91758681296e-09	-3.4888799191299997e-09	-1.16653178941e-09	-4.99096619779e-09	-3.16213179483e-09	3.52911699e-09	-4.06581732967e-09	4.48739057217e-09	-1.7250567705800001e-09
ASD	-4.38503309557e-08	2.29950670227e-09	3.38518816652e-09	1.1843358574899999e-08	-1.2802318527600001e-08	1.05831468236e-08	2.1595909220400002e-08	-4.6113551286300004e-09	2.01917320628e-08	3.7876820382e-08	2.43660278767e-08	1.33056760425e-08	-3.71566623251e-08	-4.0332843827599994e-08	-3.29282685278e-08	9.56549105713e-09	-2.69400179344e-09	2.9295619329299997e-08	-4.36757342712e-09	3.25960854521e-08
Sunburn	1.84082507736e-09	-1.8045361983399998e-09	-3.4872547838200004e-09	-6.63945305567e-09	-6.8753107808500005e-09	-3.3744580771099998e-09	-1.91024920182e-09	5.4267188662e-09	-1.5446002878200001e-09	-1.0893384169399999e-10	4.20121822866e-09	3.92505551809e-09	2.92298071964e-10	-2.5975800438700003e-09	-3.84896300586e-09	-1.5685208939300001e-09	-5.72723236202e-09	4.44823786972e-10	-3.37102414374e-09	4.11915392312e-09
Schizophrenia	-4.35124842092e-09	-3.5559773876999996e-09	-1.26558837611e-09	-1.2770216804000001e-08	2.72436730707e-09	5.65214985665e-09	1.67012313927e-08	5.17703175097e-09	3.6414943826499997e-09	-1.97627352897e-09	-2.5106853125e-09	-3.00941172225e-09	-6.21180101489e-09	-1.21263094425e-08	-4.03021792937e-09	-1.02961974486e-08	1.6754808079700002e-08	6.1328301526e-09	1.32656145899e-08	5.0418697971e-09
Anorexia	7.89022400011e-10	-1.503481624e-08	-1.36193018522e-09	-1.49494172963e-08	-1.1863642836900001e-08	1.41315542337e-08	1.05177637085e-08	1.57289848243e-08	6.2456428632e-09	-1.4855841663499999e-08	2.74402668973e-08	-3.4933408027900005e-09	-1.23951523084e-08	-1.68909513099e-08	-1.81500428928e-08	3.89633182132e-09	-2.1283249915000002e-08	-2.7768276593299996e-08	-7.87041596858e-09	5.46826230757e-09
SmokingStatus	-4.94854997465e-10	8.670630723230001e-10	1.5806534080499999e-09	-3.36430659858e-09	-1.00389612384e-09	-5.95584525342e-10	7.017472882339999e-10	3.57607406309e-10	3.65963812737e-09	3.2522274290999998e-09	9.34183552596e-10	-1.57837395287e-09	-2.14085236417e-09	-3.10368629883e-09	-1.40472272491e-09	-1.89769601792e-09	-1.6791511414799999e-09	-1.7576022017900001e-09	-1.5127004377e-09	-1.8347463406200002e-10
