0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-8.598516034810001e-10	-8.594594856489999e-10	-2.9459132643000002e-09	-2.25101186862e-09	-1.61979361913e-09	-5.64298559253e-10	6.77452144034e-10	1.7708395418099999e-09	3.4205546458099995e-10	3.01366817263e-09	2.9003601602600002e-09	2.63317600156e-10	-4.33701466491e-10	-2.58267217705e-09	-8.064342103160001e-10	-1.0498495257099998e-09	2.91521380064e-09	-8.81132819407e-10	-3.5535916990099997e-09	3.48846531858e-10
YearsOfEd2	-3.79005597974e-09	-3.73622230279e-09	-1.43577269388e-09	5.098908172880001e-10	-6.437633598159999e-10	-1.7774875247799998e-10	-5.78649610363e-10	2.14885500728e-10	1.43878509468e-09	-2.52637644665e-09	-8.6348134314e-11	2.43425753085e-09	2.6421826359900003e-09	-6.65673263691e-10	-1.07204658928e-09	1.35766406511e-09	2.06284344426e-10	-9.63446164223e-10	-2.0526793514e-09	-2.8618632395599997e-09
T2D2	1.04109787551e-09	9.81416742539e-10	8.57666494249e-10	2.4739070793499997e-10	-2.50917741403e-09	-1.5678045652100002e-10	6.869262021649999e-10	-1.60064262195e-09	1.58840965462e-09	2.4445142678800003e-09	2.92617897492e-09	-8.052557237860001e-10	-1.53801333433e-09	-1.18637524453e-09	-2.6081719064599996e-09	-1.01110414186e-09	1.0316298078199999e-11	2.74103118079e-09	1.90705962385e-09	2.12815079131e-09
SkinColor	2.6719600430399997e-09	-1.43900606045e-10	-9.06463021284e-09	-8.145282931659999e-09	-7.39065233689e-09	-4.08745116671e-10	-6.640800108780001e-09	1.12918459473e-09	-7.48478650438e-09	-1.4018010675699999e-09	1.006704731e-09	1.0155825903899999e-08	2.2158683356e-09	6.9078665490999996e-09	-5.49624791176e-11	-1.05302056687e-08	-8.499565251560001e-10	-1.1555870122600001e-08	-7.255951180480001e-09	-8.549541423960001e-09
Balding	-1.77357851455e-09	1.1571356075900001e-08	7.10988360642e-09	2.14048136877e-09	-1.31047284001e-08	-1.85712780346e-08	-6.27764654604e-09	1.7170032436299997e-09	-3.77962700005e-10	7.07376679689e-09	1.45183463861e-08	8.605422502399999e-09	2.03874323894e-09	5.8700054512900004e-09	-5.40035641735e-10	-3.40773818767e-10	-4.450197190910001e-09	-5.51758324776e-09	-3.5608896945600004e-09	-1.09363545876e-08
HairColor	-3.85512167113e-09	3.06193803333e-09	1.8250069160799998e-09	-1.22274471737e-08	-5.75071247243e-09	1.20506359627e-09	-1.4288360955899998e-08	-8.728286957750001e-09	-6.01248288809e-09	-2.8188022626e-09	4.98193278584e-09	2.26270074865e-08	1.08053173123e-08	3.36369477113e-10	-2.75109183117e-09	-8.52468171532e-09	-1.33384909528e-09	-9.72135029576e-09	-5.22972140238e-09	-1.3240894889399999e-08
FVC	-1.4735320156500001e-09	4.3178219179799995e-09	3.00962876055e-09	-2.62645133983e-09	-5.48727749221e-09	-1.97418675235e-09	3.06739311804e-09	3.94983972115e-09	9.1493313859e-09	-7.188594458360001e-10	-6.1403330645e-10	-5.77314980531e-10	-4.21615444926e-09	4.17136532899e-10	-5.25315274235e-09	-6.44459054392e-09	1.0269112433299999e-09	8.024483395019999e-10	6.07827194473e-09	-1.71378578609e-09
ASD	-4.15360601536e-08	-4.2458600075199995e-09	4.2227788554300006e-08	-6.25597892852e-09	-1.6147614907799997e-08	3.9801338603500005e-08	2.95774591068e-08	-3.5994747715499995e-08	-9.280004450309999e-09	5.34616266074e-09	4.0381113189999995e-10	-2.06496065986e-09	-2.0725115133e-08	-1.4780972936000002e-08	-1.19931098421e-08	-2.3971758889e-08	-3.63643176793e-08	2.1049175304099997e-08	3.2371550182099996e-08	2.6873604024799996e-08
Sunburn	2.28556802181e-09	1.45420495436e-09	-1.9076407099800003e-09	-6.13639488573e-09	-9.57917821254e-09	-6.1178789876e-09	-3.41820159694e-09	5.4304533030500004e-09	1.63981707749e-09	7.68190527638e-10	2.62767261082e-10	4.23948865863e-09	7.79234247864e-10	-2.7256609327e-09	-6.10226401993e-10	-8.43979784059e-09	-4.8918940729199996e-09	-3.4245182929799997e-09	-2.61727208638e-09	-3.32911468175e-09
Schizophrenia	-9.11448976207e-09	-4.5908096665e-09	-6.43605405323e-09	-1.2308317297299998e-08	6.567200320230001e-10	9.487371984890001e-09	1.32340489869e-09	2.61310345933e-09	1.23749861423e-10	4.23034474415e-09	-5.33246780388e-09	-3.0776611386e-09	-1.29389582028e-09	2.17903770412e-09	-7.64686914573e-09	-2.91394377529e-09	1.4308868694400001e-08	7.040516018989999e-09	1.74416455247e-08	-2.09357381167e-09
Anorexia	-6.15164086951e-09	4.0441883487899995e-09	-1.06713265749e-08	7.16329838628e-09	-3.3800407078199997e-09	-4.91140264161e-09	6.91271630512e-09	1.59496849209e-08	1.28696769368e-09	1.4410167349899998e-08	1.70050944106e-08	-8.67688130387e-09	-7.909569051029999e-09	-9.55558218971e-09	-1.53535734942e-08	-1.5687584850799998e-08	-8.65866532878e-09	-1.3416542231e-09	-2.78158686768e-09	4.0386998926e-09
SmokingStatus	-2.9684066922800006e-11	-5.67468344689e-10	-1.93846465531e-09	-1.39738362721e-09	-1.26717911055e-09	1.66676843796e-09	1.40095079734e-09	-5.06200380063e-10	1.93437138244e-09	2.23921657401e-09	9.66585230745e-10	-2.3888099807000003e-10	-1.34050775848e-09	-4.00706633782e-09	-2.9402936409600002e-09	-5.54414229928e-10	1.40878570106e-09	-2.57547691583e-10	-2.92317214032e-09	-9.16252623652e-10
FirstBirthAge	-2.48890811794e-09	-1.02951363885e-09	-6.97627047843e-10	-1.15334044924e-09	-6.419714812429999e-10	-3.12247405117e-09	-1.6577448120999998e-09	-1.43777466008e-09	2.64592230422e-09	3.61528850209e-09	2.12133033723e-09	-1.99447897643e-09	6.55010728224e-10	-1.9557625731400002e-10	-9.66178956643e-11	-2.70341359339e-09	-1.21936793037e-09	-1.1182126374e-09	-2.34545897348e-09	-4.60256631001e-10
Tanning	1.62440397049e-09	5.04521909879e-10	-6.52821943961e-09	-8.17334304569e-09	-8.58214665072e-09	3.00160545839e-09	-6.7007776677e-09	2.58943055331e-09	-1.4133115471200001e-09	-5.38261967361e-10	5.48006114691e-10	6.24840169908e-09	-4.77938006483e-10	2.99530832512e-10	-2.74694618056e-09	-8.80311381314e-09	-1.53832688994e-09	-8.06547211813e-09	-4.05633956586e-09	-1.01423685817e-08
NumChildrenBorn	-6.47659837455e-10	-6.29172324915e-10	-1.40452105348e-09	-1.20050411099e-09	-3.8309576274599994e-10	-5.626756745810001e-10	-1.7905967514199999e-09	-1.1229455144000001e-09	-1.94372674612e-10	1.27659938927e-09	1.6678799544000001e-09	5.06319428739e-10	6.83604723439e-10	-1.10010042151e-09	-1.09389470964e-09	-6.78288682142e-10	-1.28514919704e-09	1.4531480773600002e-09	-1.4567573313799998e-10	-2.63882754712e-10
DepressiveSxs	-1.66856701955e-09	-1.44458924106e-09	-2.59609471418e-09	-2.88706536403e-09	7.59180955634e-11	3.7985458325800004e-09	2.31805119371e-09	-2.3297067316300003e-09	4.15196308102e-10	4.0581927276e-09	8.787974015149999e-10	2.4620595049900004e-10	-2.3162939921400003e-10	-3.08843149717e-09	-4.38951186482e-09	2.3045479504500004e-09	4.31632988883e-11	1.37824019184e-09	-1.28678689272e-09	3.4044376919100003e-09
BMI2	2.9582419788000004e-09	4.10779094275e-09	-4.17238729513e-09	-4.97569002989e-09	-4.6829674148199995e-09	1.21785913155e-09	4.00001264811e-09	1.00990490394e-09	3.89257249116e-09	-2.72936410245e-09	8.55900760259e-09	-2.53770931257e-09	-2.4334559916200003e-09	-2.30031245771e-09	-1.30610868583e-09	-7.42079897182e-09	-2.41612361217e-09	2.9790330813000002e-09	-4.66182431576e-09	5.1001211454899995e-09
Neuroticism	-1.79286339318e-09	1.1963068507100002e-10	9.80543625615e-10	1.01638831503e-09	1.50014689627e-09	1.80142191006e-09	-4.0270409032999997e-10	2.9932726595e-10	-1.4129165227e-10	-5.12866247793e-10	-6.590265428909999e-11	2.72737027897e-09	-3.18117483371e-09	-7.178036507430001e-10	1.14965557381e-10	-7.190432874239999e-10	1.52472057844e-09	-1.40746695875e-09	-3.5619078065399996e-09	7.563834679010001e-10
MenarcheAge	3.751965037960001e-09	8.77466534618e-09	-4.8080556378700005e-09	-8.463325906929999e-09	-5.00196972902e-09	9.949193016239999e-10	5.54128063177e-09	2.8673911681899998e-09	4.2131437743e-09	3.4507499897299996e-09	2.48425401226e-09	-4.6329272595e-09	-2.3782393777600003e-09	-5.07915048184e-09	-1.42010647688e-09	1.89630849695e-10	3.97511380661e-09	1.23417837659e-10	2.53663204721e-09	1.06720419009e-08
Heel_T_Score	-9.57589280078e-09	-1.13655422427e-08	-1.7249998967099998e-08	-1.80518537252e-08	-1.5018097720799998e-09	-1.63985205585e-08	-7.39866182591e-09	6.3325530458499995e-09	1.59508648618e-08	7.81913754341e-09	1.37269732535e-08	1.04371271845e-08	-3.9711298159e-09	-3.4509615226899996e-09	-1.66879270299e-08	-1.7215061987099998e-08	-3.4433800751900003e-09	6.18782407168e-09	-7.70493280936e-09	-1.68622225219e-08
Eczema	-2.45762806665e-09	4.47182760667e-09	5.3982335171e-09	4.13200768317e-09	-2.60241516904e-10	-8.744089150789999e-10	-1.8604125695500002e-09	-2.4946423956099998e-09	-7.70008432413e-10	-1.3773830793e-09	-8.98134153816e-11	9.81247987711e-10	1.51575383931e-09	3.62373160198e-09	2.13525798537e-09	3.39271183048e-10	-3.16656989534e-09	-1.94897643042e-09	6.04274906888e-09	1.69196826613e-09
SystolicBP	-7.763410992930001e-10	1.8960525421799998e-09	2.09624205783e-09	3.6504222843900002e-09	-4.79641959759e-09	-1.04072372435e-08	-7.936644874459999e-09	-3.767976413939999e-09	1.32220431173e-09	9.15468462549e-09	4.42825410435e-09	1.03337464534e-08	5.95618293116e-09	3.60727081246e-09	-6.68088458962e-09	-5.64408929345e-09	-4.6079750386e-09	-5.67686139109e-09	-4.184820015e-09	3.06888024165e-10
AutoimmuneDz	2.32069761171e-10	2.05634875507e-10	6.834135879769999e-10	3.26355682259e-10	4.0019503352e-10	9.78751333778e-10	-7.48373164266e-10	-5.61313919584e-10	3.7206794529199996e-10	1.09421043282e-10	4.2518899011900007e-10	-7.16186264271e-11	-3.4210827319499997e-10	-7.40581004495e-10	3.34037127605e-10	2.21691025511e-09	1.2903279594200002e-11	-5.361999193459999e-11	3.3117322871e-11	6.898553290089999e-10
