0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.44153064016e-10	-8.78548541079e-10	-3.24208143997e-09	-5.78607381523e-09	-3.67001519384e-09	-1.53354203717e-09	-9.08113882809e-11	-6.946932144060001e-10	7.079411903939999e-10	3.25055304556e-09	3.3906875251699997e-09	3.4984152794500002e-09	2.09388773911e-09	-1.66031550013e-09	-3.5580850080799996e-09	2.03241072421e-10	-4.27910894378e-10	-2.69823909193e-09	3.12108601181e-09	-1.85041617174e-10
YearsOfEd2	-3.3480316264900004e-10	-5.11079761739e-10	-2.97177823719e-09	-3.29472402704e-09	-2.77880159007e-09	1.0335580444e-09	-1.89135936035e-10	3.04898499088e-09	5.99318859706e-09	5.514777527840001e-10	-6.406051433069999e-10	-2.25051103849e-09	-1.1494935000600002e-09	-3.33367852776e-09	-1.95975462174e-09	5.23877566986e-10	1.8155679004e-09	-2.57786354263e-09	-8.97378719495e-10	-2.03664332913e-10
T2D2	9.854513430289999e-10	2.0809597116300003e-09	-4.5529679328699995e-10	-3.12119846118e-09	-1.2635126186600002e-10	1.73103180699e-09	-2.06129462682e-10	-6.084636051810001e-10	1.00544269662e-09	3.88242062112e-09	-2.4462033708200003e-10	-3.26066063526e-09	-1.93624510191e-09	-7.547048765750001e-10	-1.7531897914900001e-09	4.5598195828800006e-10	-4.897315177849999e-10	4.37573931883e-09	3.21881904077e-09	7.976990396719999e-10
SkinColor	1.9759170455699997e-09	-7.835687167049999e-09	-3.49924938442e-09	-4.00371484691e-09	-8.63330540259e-09	-8.17199163778e-09	-1.69083545391e-09	6.50710806621e-09	-7.43879863203e-09	-6.19994951634e-09	4.59857989715e-10	1.13291934966e-08	4.68274562567e-09	-2.73256118403e-09	-3.84750944622e-09	-3.64431289876e-09	-5.92481481713e-10	2.38983622421e-09	-4.13103959382e-09	-2.26063218831e-09
Balding	-7.25546579457e-10	7.21689730411e-09	1.31915595803e-10	7.45324183661e-09	-3.4811119936899995e-09	-9.65895572732e-09	5.629314932039999e-11	3.9939572572899995e-09	1.14358804903e-09	8.926733515519999e-10	1.16775542318e-08	8.82665036173e-09	2.3241926457199996e-09	-1.3546303054e-09	-6.33821187497e-09	-1.43359575136e-10	-2.83673770253e-09	1.2652672591499999e-09	-6.788422397750001e-09	-3.5737318586499997e-09
HairColor	-6.11337098338e-09	-1.3805501035799997e-08	-5.18908905821e-09	-1.71346000101e-09	-1.1087653824299999e-08	-3.98986357377e-09	-1.16473377762e-08	3.14696413184e-09	1.9912838179699998e-09	-2.656558436e-09	4.09262430814e-09	1.3033603530299999e-08	1.2155415671999998e-10	-6.69010409851e-09	-6.0265179391400005e-09	-2.15574814392e-09	1.86536132557e-09	3.4061957015e-09	-1.00212502598e-08	-3.15776801809e-09
FVC	-2.7495707483399998e-09	2.90282992361e-09	-1.6864791963e-10	6.09442319364e-10	-2.54665948692e-09	1.8779257151e-09	2.76049435787e-09	4.936896345489999e-09	6.0936453265e-09	4.09134782536e-09	5.48295751945e-10	-2.34333552964e-09	-5.61451616619e-10	-5.43451588637e-09	-2.8132059622699997e-09	-9.62643683007e-10	-4.34515649146e-10	6.29677105424e-09	3.4576116389799997e-09	-3.06770361197e-10
ASD	-5.8145396347099996e-08	-6.077928079990001e-08	-4.29897954904e-08	-3.35454286631e-08	-3.63763369514e-08	4.00455473948e-09	-2.75726107524e-09	-1.90092728575e-08	3.54307154438e-08	8.792501885519999e-08	2.31614038339e-08	1.25778839484e-08	-2.98913771946e-08	-1.59787473098e-08	-3.32100630539e-08	-1.0561798099299999e-08	2.4034401237400003e-08	1.0731911353899998e-08	-6.87942125302e-09	-1.00920265243e-08
Sunburn	5.19307554714e-09	1.61483826053e-09	-2.38837323758e-09	-4.5297889052699995e-09	-6.1918112388400005e-09	-3.2584813126400002e-09	-2.6919505277600004e-09	5.19097267802e-09	-1.97943037207e-09	-2.27106003133e-09	3.22648708674e-10	4.72504847581e-09	9.56461027878e-10	-1.83694521987e-11	-7.32649155775e-10	-5.9914306485e-09	-5.62839818534e-09	-2.5232368044199998e-09	-4.04736962248e-09	3.2535024381700003e-09
Schizophrenia	3.17215279201e-09	2.24221152401e-09	-4.04357493748e-09	-5.79783366289e-09	7.38651421286e-09	1.49875400141e-09	-6.01640474476e-09	-3.13873792676e-09	-5.07135029949e-10	-2.14922922124e-09	2.10268736767e-09	3.5967179542499995e-09	6.13040965531e-09	1.11465911457e-09	-8.98666623686e-11	5.23698643447e-09	1.2126268069e-09	-4.5713317398699996e-10	4.3992478628300004e-09	5.004702119479999e-09
Anorexia	-7.068079878730001e-09	-1.4593591627399999e-08	-1.42934617139e-08	2.07095890719e-09	-7.27493342949e-09	-3.16886904478e-10	3.64582582835e-10	1.5009248906600002e-08	2.03837866735e-09	5.351538618860001e-09	9.390297256649999e-09	-7.75946537138e-09	3.21295101123e-09	-1.92489726345e-09	-1.5130709868700002e-08	-1.3714763959200001e-08	-3.44558440006e-09	-8.072406807240001e-09	-1.29448673653e-08	-1.41468370546e-08
SmokingStatus	-2.7623925317499998e-09	-1.52437655295e-09	-1.72459508026e-09	-3.21759992696e-09	-2.667648197e-10	-1.2927178425100001e-09	-3.17979735285e-10	-2.1066432961400002e-10	4.54537864372e-09	1.3999967679300002e-09	8.05133852758e-10	-7.45246577815e-10	-2.33871023977e-09	-2.7112106766199997e-09	-4.796489574519999e-10	-3.22960240388e-10	-1.28283714477e-09	-2.92024715542e-09	-7.698483885730001e-10	-2.21020662486e-09
FirstBirthAge	1.27875934633e-09	-2.6657869409e-09	6.11473922041e-10	1.3258869037799998e-09	-8.68359142477e-10	-2.3437700272799998e-09	1.6887915886199999e-09	1.49985752807e-09	3.4600751916e-09	5.851381626209999e-10	-5.57030170131e-10	-4.83761660042e-10	-4.5972024285699997e-10	-9.28103148899e-10	-1.5220905656000002e-10	-2.2495125030699998e-09	-1.8951349844300002e-09	-1.3238349472300001e-09	3.56953237803e-09	5.52005419704e-10
Tanning	2.46640515851e-09	-4.13486479982e-09	-2.94637544753e-09	-3.9383600835299994e-09	-8.88437797594e-09	-2.7621082964899997e-09	-2.26209336866e-09	7.1715500744e-09	-3.47121874133e-09	-3.4819340103600002e-09	-2.6811646722e-09	6.95579732588e-09	7.908019138669999e-10	-2.51490963772e-09	-3.58194714846e-09	-3.54465496083e-09	-3.76134442312e-09	-4.01125277953e-09	-5.29619714898e-09	3.3508475414299997e-10
NumChildrenBorn	1.0389264989399999e-09	-9.04564351155e-10	-1.7030181958e-09	-6.19853269441e-10	-1.38027467528e-10	-1.01592839616e-10	-8.804861961639998e-10	-3.74585037856e-11	-5.29351133405e-10	-6.04858960333e-10	-7.817676314930001e-10	1.1869398284000002e-09	1.57136180514e-09	2.45414119996e-10	5.434243296059999e-12	3.1005986160000006e-10	-6.40334907079e-10	-9.422653205330002e-10	9.18886314594e-10	1.09718973963e-09
DepressiveSxs	-2.76342578831e-09	-1.90152572674e-09	4.39198320492e-11	-9.026969931e-10	-2.60414964874e-09	-2.94153306081e-09	-4.77733170807e-10	2.94842094618e-09	1.18715329157e-09	5.32211792787e-10	2.1539365883200002e-10	6.78632458168e-10	-1.66513403816e-09	-2.50367301131e-09	-3.25508113682e-09	2.45318603132e-09	-6.963496195149999e-11	3.5840317550499997e-10	-9.04702631064e-11	9.133842849049998e-11
BMI2	-2.90300542066e-09	9.58963907178e-09	-1.79720758357e-09	-5.02682939823e-09	-1.34872149252e-09	3.6681245874300002e-09	6.56251014373e-09	1.58521723269e-09	3.72815474425e-10	-4.81837654e-09	-1.1561379917300001e-09	-6.915227197939999e-09	8.18681040434e-11	3.79277395455e-09	-6.69589699643e-10	4.89042281155e-10	9.59016169808e-10	2.16616820401e-09	4.7229870637e-09	-8.99956113992e-10
Neuroticism	-4.04017094145e-09	-9.19318772824e-10	5.81953203323e-10	-7.79211009789e-11	1.31786349015e-09	-6.37131765102e-10	-3.03538241104e-09	1.0637528749399999e-09	5.733168906449999e-10	1.63743246581e-09	5.7352816874600006e-11	2.0524063789299996e-09	9.85325284595e-10	-1.9820283943300003e-09	-1.41874840601e-09	1.40194282886e-09	3.27321972978e-10	-3.14013593938e-09	-2.00510567073e-09	-2.9002193306400002e-09
MenarcheAge	2.74371193725e-11	-2.39671463617e-09	-3.96241175344e-09	-1.6265413706700001e-09	-1.8030735474399998e-09	-2.1017695829799997e-09	2.57391893649e-09	4.85026031962e-09	5.3547416894199995e-09	7.90708439099e-09	1.3811169397199999e-09	-5.3417476474100005e-09	-3.11651694002e-09	5.304209106e-10	-8.737620225639998e-10	-7.40012819614e-10	2.58509080283e-09	2.97196661742e-10	4.73018034759e-09	-3.70257103028e-09
Heel_T_Score	6.98862616241e-10	-1.77660345188e-09	-6.63016546669e-09	-1.7320312186e-08	5.26046978911e-09	-1.4725137056299999e-08	-1.20852891242e-08	8.83343385434e-09	1.5658024483000002e-08	5.8120060283100005e-09	4.7083660745300005e-09	3.13133758525e-09	-5.11845486977e-10	-2.05003078319e-09	-7.30944361611e-09	-8.727339960330001e-09	-2.9053450763e-09	1.0967093414799998e-08	-1.10439096357e-09	-4.6148753649099995e-09
Eczema	1.38684271542e-09	-7.91837584247e-11	1.2783439839000001e-09	2.3106580240100002e-09	-1.233894285e-10	3.2223096035399998e-09	-1.5780369600800001e-09	-1.1178646229100001e-09	6.27646441455e-11	1.1982319374500001e-09	-1.88657743519e-09	6.86110673011e-10	-1.54512138945e-09	-1.27256066884e-09	1.483009936e-09	4.481476493860001e-09	-2.0186448804499997e-09	-2.0922463565000003e-09	-1.7121641059099998e-09	3.88350887311e-09
SystolicBP	-1.36093860288e-09	3.17103020031e-09	4.1419149954199995e-09	4.62443430863e-09	-4.6002052899400005e-09	-4.65414889802e-09	-4.6256894189e-09	-2.07328803376e-09	-2.41073387705e-09	4.31760211929e-09	8.42474643556e-09	7.47794829818e-09	4.63631525921e-09	-3.95251807019e-09	-5.5751429992e-09	-5.96891454332e-09	-4.75575290287e-09	6.99453232041e-09	4.6527559701700005e-09	-2.6897395147100003e-09
