0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.83320454808e-10	-1.7827853582600002e-09	-2.64334852972e-09	-9.76418347139e-10	-1.61085263614e-09	-7.42690390197e-10	-1.2915613137599998e-09	1.58925830785e-10	-8.76970279483e-10	2.71340234096e-09	4.28339735281e-09	1.92508560919e-09	3.37391008373e-10	-1.87510054663e-09	-4.63709441601e-09	-8.7752622919e-10	-1.35154377155e-09	-1.47055708755e-09	-8.7872867455e-10	4.27949026772e-10
YearsOfEd2	-4.4605814298800007e-10	-1.45696164699e-09	-3.9996114567800004e-09	-2.2674085922499998e-09	-2.79006586956e-10	4.2560260876699993e-10	-1.1744946758099998e-09	-1.0453520034399999e-09	-6.9402246449e-10	1.3087909493100001e-09	1.3611393686e-09	-1.32508599398e-09	1.66222243907e-09	9.783047026519998e-10	-2.02793883221e-09	-1.62648036674e-09	1.64575201213e-09	7.25950756773e-10	-4.03251801122e-09	-1.65363776462e-09
T2D2	1.40651866067e-09	-8.635356101959999e-11	5.12178155831e-10	-2.54868357244e-09	-1.5864433239299999e-09	-2.9574431073500004e-10	-4.2913617847600003e-10	2.50340273195e-09	2.7248651076400002e-09	3.58514602685e-09	-3.9463629683299996e-11	-2.4911103431200003e-09	-3.16121383114e-09	-2.43516032247e-09	-2.74638860544e-09	-1.34055240374e-09	-7.090748275489999e-10	1.89675730031e-09	2.18125934712e-09	2.69106204791e-09
SkinColor	2.09201214328e-09	-1.71400316938e-10	-7.84538652469e-09	-4.93785754543e-09	4.02461097615e-10	-7.69682099264e-09	-1.21485926045e-09	-1.7690735617400002e-09	-3.2748488058899997e-09	-8.142387127710001e-10	-1.1158934019300001e-09	-2.83268118614e-09	-2.0367313998100002e-09	7.91677244187e-09	1.17729994058e-08	-2.85897807221e-10	-2.74828694093e-09	2.7162964667399997e-09	-6.765193952850001e-09	-1.31877545672e-08
Balding	7.836923654519999e-10	8.16875816626e-09	3.76420679739e-09	-5.60988957207e-09	-6.77058843438e-09	-1.06222358364e-08	1.79982997473e-09	-1.16800158392e-09	-1.30288781898e-09	6.166519994120001e-09	6.0329368012599994e-09	5.07800052008e-09	-2.80637878314e-09	-2.89832443417e-09	2.4163789036699997e-09	9.84536856904e-10	-3.1775422186999998e-09	4.68729850729e-10	-2.0673941028900002e-09	-9.48441719669e-09
HairColor	-5.12867850929e-09	-6.2529868247500005e-09	-3.4540059625e-09	-3.4515033691600004e-09	9.181419162720001e-09	-5.21885922267e-09	-1.0508752313200001e-08	-2.95706538671e-09	-1.48385439229e-10	-3.49273011867e-09	-9.331710882750001e-10	3.31610874556e-10	-2.9275192704999998e-09	1.2871418643600001e-08	1.04778913125e-08	-1.09240289352e-09	-2.6112680304e-09	-1.60482777127e-09	-2.21719527128e-09	-1.1874753183399998e-08
FVC	-1.90091772278e-09	1.00029245868e-09	-2.12542369827e-09	-1.70417808278e-09	-2.96371147349e-09	2.59505244983e-09	5.62258688426e-09	3.85256856342e-09	3.6121009463699996e-09	-6.08846103048e-10	1.60858730474e-09	3.9476060102400004e-10	-1.25946565039e-09	-6.631909966100001e-09	-3.69083805236e-09	-5.73158380512e-09	5.64587703508e-09	3.1649487509599997e-09	3.84508593025e-09	3.02507466354e-09
ASD	-1.28909452294e-08	-3.40071791492e-08	1.01614847003e-09	-6.255121903050001e-09	1.0989343096200002e-08	2.0123814514200002e-08	2.0200560410900003e-08	-1.1659941683e-08	1.92225997104e-08	2.88465113217e-08	-2.7581729982599996e-08	-3.0459657563099995e-08	-3.9107651967000003e-08	-1.96487821517e-08	-3.63004102392e-08	1.3417747775e-08	3.89737280161e-08	2.66302248963e-08	3.22799075335e-08	-6.39237719604e-09
Sunburn	6.836820986149999e-09	4.412006538600001e-09	-4.09879675586e-09	-5.89629350518e-09	-6.6805891732699994e-09	-5.32403252301e-09	-1.1211297736199999e-09	2.71178831286e-09	-1.24720921832e-09	-2.1278410934799998e-09	-4.723592853240001e-10	1.26825291133e-09	-1.18443204902e-09	5.05945896554e-09	2.9942052785e-09	-6.59656282781e-09	-4.42381036814e-09	1.63188055516e-10	-4.39141884778e-09	-4.9629842023199995e-09
Schizophrenia	-6.2762289565800005e-09	-4.07852445105e-09	-1.37806615931e-08	-1.4377595622499999e-08	6.08430656955e-09	3.3863461583400006e-09	2.28643885125e-09	7.70680785872e-09	-1.50809416714e-09	2.11624212187e-09	1.27947565631e-08	-3.27228138905e-09	-9.1790768574e-09	-5.358308097540001e-10	-1.20307292184e-08	-7.14967034915e-09	-4.23163182321e-09	3.0890041042e-10	1.9711120405499996e-09	1.4694391240799999e-08
Anorexia	-3.03228062953e-09	-6.36331528962e-09	1.16911288721e-09	-5.4708402945299996e-09	-6.6136242102399995e-09	-1.98584899999e-09	3.27316279117e-09	1.27361819293e-08	9.85611288005e-10	9.837645804200001e-09	8.73185688512e-09	4.44624499576e-09	-1.66414114913e-08	-2.1700383076e-08	-1.1758082808700001e-08	1.53976428895e-08	-1.27386572239e-08	-2.14700158612e-08	-1.1478532427500001e-08	-1.58497626411e-09
SmokingStatus	-1.81066389842e-09	-5.50549171924e-10	-2.11235897858e-09	-1.96680639311e-09	2.4222265211900004e-10	-1.3583455763e-09	-1.87923090561e-10	-4.84575815186e-10	1.21647492968e-09	2.0274887856600002e-09	2.40746828003e-10	5.81371390723e-10	-1.75835144285e-09	-2.32439803208e-09	-1.2516331631300001e-09	-2.66339044957e-09	-2.69686024302e-09	-2.6930311718000002e-09	-2.95828742446e-09	-2.1970849507800002e-09
FirstBirthAge	-1.03371298117e-09	-1.75662047427e-10	-1.8431226364799998e-09	-1.2380198863500002e-09	-2.6108259661899997e-09	-2.140657653e-09	2.0906789953299997e-10	2.5848846031599997e-10	1.6108252865599999e-09	1.88405762999e-10	9.04335866865e-10	1.22805776421e-09	5.5683951301499993e-11	-6.16110031702e-10	-5.69022967805e-10	-1.5785508540899999e-09	-3.1833903144499997e-09	-3.6008780046400004e-09	-2.8010347805e-09	6.01716859455e-10
