0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.08498497029e-09	1.80731224606e-09	-1.23971812245e-09	-3.3039246921999997e-09	-1.8985459795899998e-09	1.31966583268e-09	-1.33299391745e-09	-1.6336005826e-09	-8.26693038479e-10	1.21267240032e-09	3.65806144297e-09	1.27948131788e-09	-1.41774782893e-09	-1.3139840328800001e-09	4.1825219971400004e-10	-1.3851246412999998e-09	-9.74012055363e-10	-1.88732094611e-09	-1.94276430327e-09	9.61998247777e-10
YearsOfEd2	2.02815080286e-09	-9.575528623510001e-10	-2.36632140477e-10	-1.2544463119700002e-12	-3.52517117336e-09	-1.82165846891e-09	-2.80804797729e-09	-6.99046765118e-10	1.61603735051e-09	2.3859311669e-09	6.75272519679e-10	2.1994810260299998e-09	-1.69971815647e-09	-6.42729258963e-10	2.9260770805900003e-10	-1.23699429118e-09	-3.62909456825e-10	-3.0688913901999998e-09	-1.2384421192e-09	-4.14792803587e-10
T2D2	2.48257225762e-09	1.09358558036e-09	6.827728499919999e-10	1.15640171079e-09	-2.1895434718999999e-10	-1.73246014441e-09	1.68131486217e-09	3.5887602100400004e-10	7.098150875819999e-11	4.97033227156e-10	-7.86512991381e-10	9.02369109013e-10	7.1508375321e-12	-1.0610693463000001e-10	-1.13756644681e-09	-7.54188478807e-10	2.38357697005e-09	4.83521192139e-09	5.4642377722e-10	6.61690477089e-10
SkinColor	-1.62213957367e-09	-5.20087197114e-09	-6.8632356507400006e-09	-7.563798695980001e-09	-6.00507158115e-09	-7.747310267110001e-09	-8.99363538056e-09	1.01088760897e-09	-5.5164831926e-10	-4.3882567768e-09	6.6745563521999996e-09	7.64000063352e-09	-1.9013073429e-09	1.49153183997e-09	1.7784538246099998e-08	-4.2919878567e-09	-8.061701299420001e-09	-7.12957682474e-09	2.1385016803000002e-10	-1.44046905581e-09
Balding	6.83782965661e-09	3.4595237746e-09	7.46403640679e-09	4.294949961819999e-09	-5.73969174314e-09	-1.05684316003e-08	-1.6883954606400001e-09	-9.194082977900001e-10	2.23205782232e-09	-1.2927494214999998e-10	3.5988337771e-09	9.45043052359e-09	2.18475071495e-09	3.88522150047e-09	-2.68003385499e-09	2.12983268131e-09	4.84645179763e-09	7.4413193293599994e-09	5.8501105590400004e-09	-1.54542407326e-09
HairColor	1.1825659033600001e-09	-2.65309443129e-09	-7.76895698566e-09	-7.58890703494e-09	-5.63192375084e-09	-6.76833682431e-09	-1.09329453312e-09	-7.3962688339e-09	2.05943646966e-09	2.74347439642e-09	3.79986503889e-09	4.78921076342e-09	-6.012854468849999e-10	4.7312111187e-09	9.31464731116e-09	-1.7335669014800001e-09	-6.337808228549999e-09	-1.01269216657e-08	-5.82533037798e-09	-4.07470989322e-09
FVC	-5.54975001377e-09	1.66855285548e-09	1.7658783412300002e-09	3.45207230127e-10	-1.79251892205e-09	3.6662314214500002e-09	5.09513423472e-09	3.1620694210900002e-09	4.80258878745e-09	-2.3205127993099998e-09	2.97742550702e-09	-1.35131257212e-09	-3.1349210531300002e-09	-1.2892851710300001e-09	-8.90167258302e-09	-2.03929480014e-09	6.46712154067e-09	-1.45931584397e-09	2.86884455652e-09	-7.07663232538e-10
ASD	-3.7762046790400006e-08	-1.58815931919e-08	-1.94396260178e-08	2.60420552595e-08	2.18118303839e-08	-1.11485146616e-08	-1.34679173199e-08	-5.091324894879999e-09	1.7248871140599998e-08	3.31806793438e-08	-3.3187574383599995e-08	1.95396247676e-09	3.2286701438200005e-08	-1.6864277680999998e-09	8.21004277174e-09	2.71161238556e-08	-3.5107332039300004e-08	2.7191163961800002e-09	-8.91008534928e-09	-1.26729133176e-09
Sunburn	9.23821418319e-10	-4.843701921280001e-10	-3.5894258532500003e-10	-4.00002598223e-09	-7.402183314929999e-09	-4.41251847125e-09	-1.32158318958e-09	2.66212580731e-09	1.07302389099e-09	-1.90101391941e-09	3.6030027946599996e-09	3.27795472779e-09	-4.2413556934400003e-10	-1.7326147047899998e-09	2.20473839731e-09	1.7638480164299997e-10	-2.8292706195099997e-09	-1.58169255169e-09	1.26952190921e-09	-1.38104353611e-09
Schizophrenia	7.303714636660001e-09	-1.00203535974e-09	-2.3408559716e-09	-1.75156879155e-09	6.444782288949999e-11	4.7971137421499995e-09	-6.921415600409999e-09	-7.81840721747e-09	-1.60504305153e-09	6.242526142360001e-09	6.1733386244099994e-09	-8.62477603748e-09	2.49875292553e-09	-5.57579509284e-12	-1.1472376112500001e-09	2.56731221549e-09	9.3195199735e-10	2.06786531476e-09	6.880966919589999e-09	7.96097844724e-09
Anorexia	-1.1476655814399999e-08	-2.41922713002e-08	-4.0849670033e-09	4.39944537655e-09	-5.1100317220299994e-09	9.35278473761e-09	1.90645178038e-08	7.34181256355e-09	2.9157572598700004e-09	-1.63393864993e-08	-2.55698544702e-09	3.47379610674e-09	-6.90029469366e-09	-2.42397432634e-09	-5.46947283661e-09	2.52655797219e-11	1.59680788248e-10	6.2640797859e-09	-2.41226004152e-09	-1.14219793359e-08
SmokingStatus	1.54043844267e-10	-1.4008271030799999e-09	-1.75571054888e-09	-2.17689787299e-09	-2.47135410486e-09	-1.52761239641e-09	-3.2790515279199995e-11	1.16907101997e-10	2.0702229791700003e-09	5.74907128214e-10	2.6284139695700002e-09	-6.23814250565e-10	-1.2291451034e-09	-2.3591092653000003e-09	9.162833791230001e-10	7.47180120003e-10	-8.494637980939999e-10	-3.0123187055799997e-09	-1.5608142005e-09	1.0444408136499999e-09
FirstBirthAge	-6.017489809719999e-10	-2.49633417366e-09	-5.50784096244e-10	-1.4747686764699999e-09	-2.3287680370499997e-09	-1.3724218816600001e-09	1.0107701624299999e-10	1.6457061902899999e-09	2.7119636499000002e-09	1.39204930144e-09	1.8258385395599998e-09	5.895813006159999e-10	-2.39846526161e-09	-2.21012972019e-09	-1.44858236991e-09	-1.0710307455600001e-09	-3.81274336871e-09	-1.17078445207e-09	3.57530861969e-10	-3.2219694192e-10
Tanning	1.99739418527e-09	-2.97270893845e-09	-5.61156294954e-09	-6.926423190539999e-09	-5.9536908842e-09	-4.69073689923e-09	-2.16901858082e-09	2.2122501065400002e-09	2.99399771278e-09	-4.80030642901e-09	4.9802059873199996e-09	4.0434427780900005e-09	-1.70355048257e-09	-6.90241128815e-10	8.009981019740001e-09	-1.9246411576e-09	-8.16983151214e-09	-2.58561694368e-09	1.53382466852e-09	-4.26460832294e-09
