0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.9193120071e-09	-1.45113737407e-09	-3.4470590110299997e-09	-1.65718501781e-09	-7.8100474671e-10	2.69779490008e-10	2.81733905279e-10	1.69537835801e-10	-1.58957278223e-09	1.8297249253899998e-09	2.94317604986e-09	3.87754201711e-10	4.1149523508900003e-10	-2.0796864302900003e-09	5.93410397167e-10	-1.9926863626999999e-10	1.252517972e-10	3.7828642568199996e-10	4.8569216584e-10	1.2538986919399999e-09
YearsOfEd2	-1.7123145732299998e-09	5.99485825978e-10	-8.849644116569999e-10	-6.97512627905e-10	1.6046449726e-09	2.45192478419e-10	-4.26769633422e-09	-5.39529213755e-09	-7.583583978529999e-10	1.25934343413e-09	4.5168924576e-09	3.4640450789000006e-09	2.52551142145e-09	-8.67625807468e-10	2.45496856054e-10	1.81238284491e-09	1.69311868144e-10	-5.78232910722e-10	-2.01961965506e-09	-8.30665776783e-10
T2D2	-1.15038407652e-09	-3.04111535628e-09	5.12888838256e-10	1.0673176988399998e-09	9.9499870388e-12	4.99908767395e-10	1.53859480692e-10	-2.4487680495700003e-09	5.6426410712e-10	2.00772980577e-09	9.5177303077e-10	-6.0467590799e-10	-1.72457197643e-09	-9.76093142338e-10	-9.85853771808e-10	1.88265353053e-09	2.5760127982099996e-10	1.64315213557e-09	4.4118772949400005e-10	2.09964085147e-09
SkinColor	-3.35382819106e-09	-2.16184094477e-10	-4.870101544609999e-09	-1.2227459024499999e-09	-4.702755128540001e-09	-5.2171082172200006e-09	-8.012146650470001e-09	-7.562610338389999e-10	2.56523650866e-10	-3.25762276795e-09	1.70914092609e-09	7.72418644108e-10	-3.4570260023900002e-09	-2.47647641418e-09	2.3413541699799998e-09	3.856599991570001e-09	-3.3151146065e-09	-3.3573122303000003e-09	1.70881757386e-09	1.81880690332e-09
Balding	1.95057953761e-09	4.50396927766e-09	1.12993996715e-08	5.30661546953e-09	-7.85763460767e-09	-1.16804444281e-08	-5.38418227328e-09	1.5726937779300001e-09	2.33746695229e-09	6.885422048739999e-10	-1.32577499674e-09	1.57818641208e-08	9.33844455171e-10	5.4510943649999995e-09	-2.3812915534299998e-09	1.37197227913e-09	-1.6513768714000001e-09	6.949002905780001e-10	-2.11987250512e-09	-1.01798304145e-08
HairColor	3.09462843464e-09	-5.79048257669e-09	-7.81111540509e-09	-4.0043967129099995e-10	-3.22541182116e-09	-3.92591380696e-09	2.04517176505e-09	-5.41534137466e-09	5.5025935953e-10	2.84248540354e-09	-1.7441621689e-09	1.7081987364999998e-09	-2.5494810861499998e-09	-4.99965017003e-09	-3.291156616e-09	1.27010243479e-08	-4.27083189679e-09	-6.17598366995e-09	2.8003174337099998e-09	-1.6812684478599998e-09
FVC	-1.72872652638e-09	-5.31694373598e-10	5.16902861135e-10	-5.87543189485e-09	-2.60853267271e-09	1.47023295555e-09	-4.97609121605e-10	2.50103173943e-09	5.6343373281099995e-09	5.3323841523500005e-09	3.73920338028e-09	-3.1721229348700002e-09	-2.5972727602200002e-09	-4.50332000029e-09	-1.02683064458e-08	-1.72278839913e-09	-4.8838034224e-09	-2.23060947496e-09	1.5973706346100001e-09	3.6026860833899996e-09
ASD	-1.3601295523600001e-08	2.48722181487e-08	2.1054709581e-08	2.26900097635e-08	-4.4131745188e-09	3.9477819310000005e-09	-3.88467046528e-08	2.34512233936e-08	1.7630767472e-08	-1.40434862616e-08	1.5052223006400002e-08	1.84355175011e-08	3.37736045159e-09	2.35355425804e-08	-2.47144330724e-09	-2.34748893252e-08	-1.10062940852e-08	-1.3374235626200001e-08	-3.40781756896e-08	-4.4312577479400005e-09
Sunburn	-8.87750839459e-10	1.94821029648e-09	-8.80471103613e-10	-2.76454700318e-09	-5.3392761404e-09	-3.96658283292e-09	-3.1320805499699998e-09	2.10979768889e-09	2.31941977745e-09	-1.0914454519400001e-09	-1.86274628417e-10	3.5535217878700003e-09	2.4323250361299998e-09	-5.25583068735e-10	-7.469546839130001e-10	-4.2004296815300007e-10	-2.80737286952e-09	-2.76445549818e-09	2.90926366779e-09	2.63028297066e-09
Schizophrenia	-3.59924876108e-11	-6.87287186642e-10	-6.96530733554e-09	-1.79776850875e-08	-5.984984758649999e-09	9.13209751631e-09	2.84133452257e-10	2.1723802546100004e-09	9.048200580650001e-09	2.8026983418e-10	5.572505539e-09	2.7473630975900003e-09	1.40154672206e-09	-7.0247572588699996e-09	-6.4100839623800006e-09	-3.6248496137199996e-09	3.6328219598899998e-09	-3.0742135772e-10	1.04689563819e-08	1.54136770461e-08
