0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.83711013037e-09	-5.10689016853e-10	-2.0752803498e-09	-7.043338334769999e-10	6.087195494459999e-10	-3.11446826944e-10	-8.722863915969999e-10	-2.99166035305e-10	-2.0597845399700003e-09	1.59440391315e-09	1.82436351619e-09	1.61451003299e-09	9.31486690775e-10	-1.0309510973300001e-09	-2.10294138609e-09	-2.47537050705e-09	-4.2616939939e-11	-7.57573727843e-10	6.96732506933e-10	1.87747735927e-09
YearsOfEd2	6.802625114590001e-10	1.3776524431999999e-11	-3.62521140551e-10	-1.2587327307700001e-09	-2.52982092851e-09	9.2529755451e-10	-1.2395586641200001e-09	-2.41565647258e-09	-1.28751825027e-09	7.222869432900001e-10	1.1182482160399999e-09	1.74535009032e-09	-1.9396200669400001e-10	-7.87136068354e-11	-1.25351311613e-10	2.7358536665399997e-09	1.1464852781500001e-09	-1.48855971818e-09	-3.9037815494900006e-09	-2.10186297907e-09
T2D2	-4.14421452384e-10	-1.11157873484e-09	5.21710017316e-10	6.55854794638e-10	7.949934160210001e-10	-4.6206756825e-10	2.38395555038e-09	-1.6384629578600001e-09	-1.18409332101e-09	-6.312668284680001e-10	1.5325947943e-09	-1.36544199603e-09	-8.70045283876e-10	1.3501441182700001e-09	-2.8349829588999997e-10	3.02483138811e-10	-3.45501643254e-10	1.52675591613e-09	1.84241406376e-09	2.07095663117e-09
SkinColor	-6.91505738508e-09	4.75755872252e-09	-3.6249088624899997e-09	-2.8473202955e-09	-2.99896821523e-09	-1.01219239786e-08	-6.47928839438e-09	-1.2065598954500002e-09	-7.71665225792e-09	-4.85291478918e-09	7.99537916825e-09	1.5586488681799998e-08	8.40396861207e-09	2.7772306910300002e-09	3.23456095561e-09	-6.53221573295e-09	-8.91111184914e-09	1.34517542557e-09	4.07789368023e-09	-1.9534777089299998e-09
Balding	4.720531172689999e-09	5.64115672533e-09	8.21521522595e-09	-3.35243592134e-09	-1.49383621391e-08	-7.67117515461e-09	-5.22487732702e-09	-4.4266453748400005e-09	1.70576964693e-09	3.6460427503399998e-09	5.84469839436e-09	9.91326274502e-09	2.4898802469300004e-09	1.51702269762e-10	-6.9982121625599996e-09	-1.99750501369e-09	-3.30945475505e-10	2.75197599833e-09	-8.23505392667e-09	-8.68567451004e-09
HairColor	-4.449704729770001e-09	3.4495011355800004e-09	-2.18427806389e-09	-1.2692258026600001e-08	-6.71844353586e-09	-9.741783474299999e-09	-2.74384931516e-09	-7.483498975560001e-09	-7.39593319362e-09	-4.54929999746e-09	1.29465556769e-08	2.11431512175e-08	7.194143643539999e-09	9.64610304334e-10	1.8766443543299997e-09	-2.78616794403e-09	-1.25372548923e-08	1.0909282811200001e-09	-7.13816505187e-09	-1.0510975244399999e-08
FVC	4.22962294322e-09	3.9358094596299996e-09	5.2558769349e-09	6.51135312462e-10	-3.17564472188e-09	1.33402041799e-10	2.38040560361e-09	1.84294386882e-09	8.666263338610001e-10	3.71180638922e-09	5.03143077749e-09	-7.20624901097e-10	-2.8455059535e-09	-5.10721801665e-09	-5.7550525779e-09	-1.51980239522e-09	2.7118927104400002e-09	-1.71550468641e-09	4.6918048689499995e-09	4.74299091341e-09
ASD	-3.89524132738e-09	3.9083296488300004e-08	1.7959822566900004e-08	-4.7857299389300004e-09	-5.0884520305300004e-08	8.43563219352e-09	6.06608509963e-09	9.581871959520001e-09	5.12313006246e-08	-1.8425570938e-08	1.57080966515e-08	-1.6606087151800002e-08	-2.6938286156599997e-09	9.985732280230001e-09	-1.1350444589299999e-08	-3.61048828275e-08	-9.90975627755e-09	-3.7113721465800003e-09	-1.19360711653e-08	9.251259409110001e-09
Sunburn	-9.00505538373e-10	4.34298661799e-09	1.3482796803099998e-09	-3.35096897658e-09	-5.69034643708e-09	-5.52693516528e-09	-4.8799153151299995e-09	1.95778401083e-09	-5.52943379521e-10	-3.6877800455399996e-09	2.0904753023e-09	7.07387217537e-09	4.85912897201e-09	3.04930544058e-09	-3.32103290783e-10	-3.1466306818000005e-09	-4.60456530333e-09	-2.63724815664e-09	-6.845008816800001e-10	2.00360525955e-10
Schizophrenia	-6.33574182175e-09	-1.0721924326799999e-08	4.0450650589900003e-10	2.3745318434e-09	-1.40110215196e-10	8.98652078629e-09	-2.8634733613400002e-09	-1.22137652667e-08	1.3145341289599999e-09	3.9614516407e-09	-5.49972456404e-09	4.061306484480001e-09	-1.5047926439000002e-09	5.22293680548e-09	-3.97266471577e-09	-1.07010993452e-09	1.79240747854e-09	8.45416484944e-09	-1.7252085944899999e-09	-5.34323280568e-10
