0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.8652082118e-09	-2.20280029561e-09	-2.50980722731e-09	6.35355970748e-11	-1.01075797182e-09	-1.30441390353e-09	1.84129611465e-10	-6.11057392738e-10	-2.3586403900800003e-09	2.3790394504700002e-09	3.92840108527e-09	1.1935533765000001e-09	1.06731044161e-09	-1.71275020775e-09	-1.53726468647e-09	-9.96426295465e-10	-2.09085988827e-09	7.64385413254e-10	-1.80950045282e-09	7.80757110637e-10
YearsOfEd2	-1.3182441551099999e-10	-1.69056919272e-10	-5.67636501161e-09	-3.4463077164399996e-09	-3.739583976210001e-09	4.10710675394e-10	-2.3264340731600003e-09	1.16806121096e-09	2.76270670647e-09	1.40269884849e-09	9.087274519500001e-10	-4.52914339267e-10	-2.88483256098e-10	5.39323492765e-10	-1.86357932478e-09	1.47509328739e-10	1.70766602756e-09	-1.5710134875e-09	-3.81275025097e-09	-2.12583736813e-09
T2D2	8.44747534246e-11	6.413069522909999e-10	9.40905513549e-10	-3.25425980779e-10	-3.59008509384e-10	-1.05564463498e-09	1.32113850218e-09	1.4228956523e-09	2.3838079952800003e-11	1.41499262946e-09	-8.10266229875e-10	-3.8688153254400003e-10	-1.36688019867e-09	-5.67648233911e-10	-1.64197826765e-09	1.96938744549e-09	6.228946591340001e-12	3.46474028464e-09	2.04518634594e-09	1.95486398046e-09
SkinColor	-5.74233539193e-09	1.0882858347100001e-09	4.6914015933300004e-09	-2.4005039696199997e-09	2.4940317918000003e-09	-3.68475776465e-09	-5.8290682169399995e-09	7.66915440699e-09	1.43256873784e-09	-5.651745944569999e-09	-4.15791821877e-11	7.50669342461e-09	6.8270611157100005e-09	-3.890153547199999e-09	2.83819497101e-10	6.32640184476e-09	5.652684911709999e-10	1.4190520613799999e-08	4.3246917145400005e-09	2.95876111027e-09
Balding	1.76804141957e-09	3.78946727131e-09	1.0833960500600001e-09	9.15941575041e-09	2.90970366774e-09	-1.29119483312e-08	-2.26370185155e-09	4.22946493529e-09	2.57783053635e-09	8.92570910315e-09	3.44442427823e-09	3.0583897458e-09	8.327711489110001e-09	-1.0637225088e-08	-7.664600008939999e-09	2.6162963033300002e-09	5.37997954883e-10	-6.81341760977e-09	-1.3693785065600001e-08	-1.68560189215e-08
HairColor	-1.5852735491499999e-09	-8.2673865e-09	-2.97953169721e-09	-3.62616969731e-09	4.28165238822e-09	5.69911089733e-09	-1.04247181688e-08	-3.57743973201e-10	3.47004765709e-09	5.65239147101e-09	2.62756207528e-09	1.4583283357799998e-08	-1.2654515301899999e-09	-8.484977888779999e-09	-3.15616075971e-09	1.64836443022e-08	6.7351089292e-09	5.08453660644e-09	-2.29702238307e-09	-1.3095607753900002e-09
FVC	-3.8854613724200005e-09	1.37646560831e-09	-1.5267071238099999e-09	-2.0651347413e-09	-4.12051983211e-09	1.64882937653e-09	4.30850881032e-09	1.7579414666900001e-09	4.82525786419e-09	1.57307446021e-10	2.1593976267099997e-09	-3.4868120021899996e-09	-1.27602335297e-09	-1.10012366433e-09	-6.996602059729999e-09	-2.84853992586e-09	1.1856967134400001e-09	3.1680217819499998e-09	5.267545510809999e-09	4.40836409202e-09
ASD	2.13306957564e-08	7.48344372889e-09	8.3718077688e-09	-3.0968263744e-08	-1.11335647058e-08	4.63943852052e-09	-1.13819916643e-09	1.59479442331e-08	4.11011489112e-08	1.0410578145000001e-08	1.95514757887e-08	-3.71813499975e-09	-3.16063337082e-09	-2.076014554e-08	-1.04344072168e-08	-1.58852078664e-09	-2.5985970407e-08	2.45793220085e-08	-3.70891955841e-08	1.89670525866e-08
Sunburn	-5.40779609875e-09	-1.9264489627e-09	-6.713419459769999e-10	7.373781635160001e-10	-1.82203813193e-09	-2.16704863989e-09	-4.42449174635e-09	1.0820883363899999e-08	3.89881645067e-09	-2.89613485865e-10	5.77255074478e-10	1.23188701636e-09	-8.445088757439999e-10	-3.30148377007e-09	-2.34198796303e-09	-6.3821541213e-10	5.59093989422e-10	5.07302821909e-09	6.17835188218e-09	4.74455834938e-09
Schizophrenia	-3.783122327099999e-09	-5.27517223484e-09	5.3243391406800005e-09	3.3062076220400003e-09	-7.531917636030001e-10	9.50123719593e-09	-7.27470317984e-09	-3.2111083356999997e-09	8.18270386045e-10	6.78592819109e-11	8.087863427940001e-09	1.31700464024e-09	2.6096925414e-09	-5.105602533600001e-09	2.97580363878e-09	-4.25627768178e-09	-9.965508836110001e-09	-4.0749190566799995e-09	2.68165850794e-09	1.8131023873599996e-08
Anorexia	1.52154958091e-09	-5.7640389865e-09	5.00078388339e-10	-5.0972832219e-09	-1.9022862601099998e-08	7.54798978734e-09	3.2076882201899996e-08	3.50341413182e-09	-3.70131399969e-09	-5.37402837344e-09	-1.9189812994800003e-09	1.2115442474200002e-08	-3.11067399012e-09	-1.87861725681e-08	-1.20515771754e-08	-1.0888434220000002e-09	5.52091748138e-09	1.15551930687e-08	2.71912365415e-09	-2.07633736779e-08
SmokingStatus	-2.37011889364e-09	-1.75498342203e-09	-1.26326998042e-09	3.69965633862e-10	1.38679837284e-09	6.80857104562e-10	-6.99130186295e-10	-1.77528525953e-09	3.4250353985200004e-09	1.23923642302e-09	1.41477902621e-10	-1.14023024877e-09	5.28370087711e-10	-1.8328318576400001e-09	4.3417263695e-10	-7.103063402489999e-10	-1.6074667877999998e-09	-2.31940119011e-09	-1.25846396869e-09	-2.1595242463199997e-09
FirstBirthAge	-2.56577594228e-09	3.6696293015900005e-10	-1.48794932147e-10	2.4737873317299997e-09	-8.995880591469999e-10	-1.76071182148e-09	-1.77142112096e-09	-4.1043798033400005e-11	-2.34489958414e-10	3.2692060825e-09	1.1063868261e-09	2.15791525304e-09	-9.63638677468e-10	1.1768625675699999e-09	1.53321395266e-09	-9.35578407376e-10	-1.6236350972000001e-09	-1.41047213972e-09	-5.164663721199999e-10	-4.61266949496e-10
Tanning	-5.71313612126e-09	-2.68594644279e-09	1.4986912453400002e-09	-1.95700210373e-09	8.582440853710001e-10	4.84568726048e-09	-4.52975544026e-09	7.577959057189999e-09	3.33152166598e-09	-3.2645146028099997e-09	-2.65777963322e-09	6.1212204307e-10	1.75293432264e-09	-1.09576407376e-09	-1.62903758763e-09	4.455946149600001e-09	-1.7612390893400002e-10	8.234993105429999e-09	5.0607476951999995e-09	1.7434887765900001e-09
NumChildrenBorn	-4.3644980965800007e-10	7.718009515760001e-10	8.790450942129999e-11	4.78239620319e-10	-1.18063765266e-09	4.85020840535e-10	-2.0099252244899998e-09	-6.97814551012e-10	-2.1511356780000002e-10	7.22821173114e-10	-1.1635951524e-09	1.6147957671e-09	7.330570457719999e-10	-5.120519272099999e-10	8.05546594698e-11	2.87900790559e-10	-2.1195817902799999e-10	-5.29448400193e-10	1.73057145638e-09	1.11268926011e-09
DepressiveSxs	-1.56621757334e-09	1.18027389218e-10	1.6554743639799998e-09	-1.0110642677000001e-09	1.38343465475e-09	1.32665284536e-09	1.08830620416e-09	2.2571211189e-09	6.02416375117e-10	1.38877950723e-09	2.33972165721e-10	-4.810882041380001e-10	-4.87760885833e-09	-1.7430442730700002e-09	6.7657449021e-10	1.28090893797e-09	-4.6136572904400005e-10	7.06834428577e-10	1.99331439245e-09	5.40297451871e-09
BMI2	8.942952856559999e-11	3.4833359578500003e-09	-4.16752480928e-09	-3.59832180982e-09	-5.57220762281e-09	2.0798397064700001e-10	4.72197689891e-09	5.5133033965400005e-09	8.671166758220001e-09	4.2128892640800003e-10	5.62872257534e-09	7.92254798382e-10	-5.36833728234e-09	-7.049098696089999e-09	-8.76349550674e-09	-5.39138202258e-09	-2.27382069235e-09	-1.69002974421e-09	-1.69627571177e-09	2.78100790759e-09
Neuroticism	-1.11089776809e-09	4.43090589221e-09	1.8050794574000001e-09	8.35481245572e-10	-2.8623225235e-10	1.03383541967e-09	-4.53824586993e-09	1.57615513247e-09	1.72355647775e-09	1.99519204297e-09	-5.58296462491e-10	1.73782783232e-09	3.2016221509799997e-10	-1.32552677031e-10	-1.90874596098e-09	-3.7220807461099997e-10	1.0192173484400001e-09	2.08781588768e-09	-3.865140053580001e-09	-1.1149104044099999e-09
MenarcheAge	2.4931546195700002e-09	6.36411209452e-10	1.37560512482e-09	-3.57172279046e-09	-1.03670691885e-08	-8.15014567667e-09	3.9432417872900004e-09	9.60293990595e-09	5.08100403051e-09	9.55095554379e-09	1.6111574378e-10	-4.90028528037e-09	-5.82293033999e-09	-6.814476573129999e-09	-5.21510607387e-09	-2.69878321439e-09	2.06063127999e-09	8.39584733081e-09	9.819413179449999e-09	1.1720481434100001e-08
Heel_T_Score	-3.86828992022e-10	-5.02191906908e-09	-8.26419066524e-09	2.76456753405e-09	2.3678405148400005e-10	-9.86743442506e-09	-6.35754543452e-09	5.57815228439e-10	9.00652477833e-09	3.40901167826e-09	-1.06867403859e-10	1.9559459472099998e-08	7.412715094320001e-09	-5.46653389732e-09	-1.9728275193799998e-08	-2.15835980989e-08	3.1636373098099998e-09	1.4843650253100002e-08	-6.87321717339e-10	2.7044090688700003e-10
Eczema	1.9554310145799998e-11	3.20170139981e-09	3.3826853170900004e-09	-6.03571537611e-10	-2.5236098156999998e-09	-3.3277805603900002e-09	-1.36013298004e-09	-1.7537299145900003e-10	1.00013639442e-09	-3.20601949741e-10	1.5334639931e-09	3.93182696091e-10	6.91090597272e-10	1.7182644334000003e-09	1.15961081674e-09	1.1945335953e-09	-2.7113596711e-09	-1.08685790538e-09	-4.2565895907e-11	4.2332554493299995e-09
SystolicBP	1.7351178042999998e-09	3.77757358422e-09	3.2769092380999996e-09	1.3257531079199999e-09	-2.2344167245099997e-09	-4.07349339749e-09	-4.88011914837e-09	-5.799130215680001e-10	-1.11282505302e-10	2.9490625007e-09	1.58638410057e-09	7.4182994473199995e-09	1.0851081940500001e-09	4.72014726728e-09	-4.40081582631e-09	-7.53152744118e-09	-5.2427144535e-09	-2.35492520518e-09	3.4326316033099997e-10	-2.4234303550800004e-10
AutoimmuneDz	-8.197120600600001e-11	7.22197689949e-10	2.63989669655e-10	9.81924215605e-11	-1.1484569340999999e-09	-3.2363158138900004e-10	-5.849227984430001e-11	-3.96503619684e-10	4.1234075144000003e-10	1.1502297757700002e-10	1.50510267866e-10	5.131679012199999e-10	-6.46404873981e-10	-4.42065935695e-11	1.1953268838e-10	1.6760452900499999e-09	-4.23705354856e-10	-1.77302859722e-11	-3.4811223182300004e-10	6.55246125612e-10
MenopauseAge	6.529815127730001e-10	-2.3748026921300003e-09	9.72540805785e-09	4.3391007618299995e-09	5.14070184274e-09	-1.25951219234e-12	3.5596103406199997e-09	5.256404180309999e-09	-2.11605877912e-09	4.06472644595e-09	-2.71610148873e-09	-1.80842989129e-09	-1.35217835514e-09	1.8479432941599998e-09	8.117292611430001e-10	-4.44953202378e-09	2.70300113979e-09	-8.49987488855e-10	7.89103631932e-09	2.6370275037099997e-09
