0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.35503574035e-09	-5.94303002402e-10	-1.5045679305299998e-09	-1.90263420977e-10	-8.59007869327e-10	-1.58307070085e-10	-5.27848254124e-10	-9.17600280555e-11	-1.2058229800799999e-09	9.956715356280001e-10	1.40840630292e-09	7.948480336619999e-10	1.98309951859e-11	-3.77391076292e-10	-4.6717954661400004e-11	-1.2844862316100002e-10	-1.43306244437e-09	-8.177026426889999e-10	3.4459608407300005e-10	7.8916719608e-11
YearsOfEd2	6.05660745201e-10	-3.1734915853700003e-09	-2.9019281075999998e-09	-5.52101922714e-10	-8.129543762419999e-10	9.51096157958e-10	-1.59149709261e-09	-4.4469714573e-09	6.7692167977e-10	2.2243016937000002e-10	2.70166710138e-09	2.83196015952e-09	4.8388521058e-10	-4.0711092543099996e-10	2.82930941661e-10	5.58044936565e-10	-9.68803208158e-10	-9.452474866180001e-10	-1.61528400878e-09	8.2758191573e-10
T2D2	1.1157255493899999e-09	1.32428055611e-09	1.8354718816300001e-09	2.59701403931e-10	9.233470222660002e-10	2.23863549352e-10	-5.25745780468e-10	-1.6558019623e-09	-5.433260567900001e-10	1.23150823579e-09	8.442519182739999e-10	-2.46463229049e-10	-1.0930077400900001e-09	2.8741293118400003e-10	1.7603853429700001e-10	1.3901371416500001e-09	1.7580967408e-09	3.1274397351799997e-09	7.53394380388e-10	3.24030210433e-10
SkinColor	-1.7153754526700002e-09	1.28931594002e-09	-7.10711277708e-09	-5.393861798089999e-09	-3.5295080205799996e-09	-2.21019741464e-09	-5.93216727347e-09	4.57230854897e-09	-1.81467253798e-09	-3.6587828927e-09	1.94873880152e-09	3.88336319773e-09	7.948386262339999e-10	6.90993966468e-10	8.30419499156e-09	-7.747423238609999e-09	-4.38991947382e-09	-5.96153105361e-09	-8.74368157256e-09	-4.380846999979999e-09
Balding	1.1693044779600001e-08	3.71000856329e-09	1.03517037182e-08	1.19118137699e-08	-1.6043348289100001e-09	-1.63792335448e-08	-7.45537913868e-09	-3.53833423434e-09	-2.57541118579e-09	3.15811886589e-09	1.47901827065e-08	1.7936667233099996e-08	2.6337350271e-09	6.08419164261e-09	-1.41967009255e-08	2.68213762383e-09	-2.98935093653e-09	1.63953905157e-09	-1.32854314969e-08	-3.7083089934600004e-09
HairColor	-3.16041690927e-10	3.66898821341e-09	2.35438300227e-09	-4.1482298939e-10	-1.56416783654e-09	-4.20293217041e-10	-9.79481573222e-09	-2.37028059128e-09	3.18608500543e-10	5.34858979764e-09	1.2831852688e-09	6.012418524919999e-10	5.537504309390001e-10	4.63067449386e-09	1.58746521586e-09	-1.80171248425e-09	-5.96412376496e-09	-5.33492284657e-09	-4.98800860111e-09	-9.03480305794e-09
FVC	-2.2696549357299998e-09	1.84914443332e-09	4.054759583120001e-09	-4.21895251697e-09	-4.56463681285e-09	-7.12456733874e-10	2.40868537982e-09	9.027307436210001e-10	4.39075091178e-09	-1.41464677331e-09	8.51220109318e-09	-2.26347363158e-09	-4.96931068873e-09	-1.4425105373299999e-09	-6.854520581970001e-09	8.989218124199999e-10	-2.3287780332800003e-09	-3.92099846377e-09	-7.352235811589999e-10	7.45909600317e-09
ASD	-1.31202828008e-09	-1.98391561613e-08	2.40006002887e-08	-5.52529370034e-09	-1.36699448903e-09	2.4933375176e-08	-3.7342640339999994e-08	-1.22093437333e-08	-1.4899621014899999e-08	-6.995691619660001e-09	1.1248816426299999e-08	3.00944320991e-08	2.0972868345900002e-08	3.19477610342e-08	-1.26535194299e-08	-2.80614425075e-08	-3.8901876516000004e-08	-1.2005529093e-09	4.92656148245e-08	2.0082785901700003e-08
Sunburn	1.56540695929e-09	4.0246352409500006e-09	-1.04535866216e-09	-4.36666645657e-09	-8.0627986425e-09	-2.79666021256e-09	-2.98590238622e-09	4.24517128834e-09	1.3963575290100001e-09	-5.00427605284e-10	2.4881155203499997e-09	4.12138922587e-09	1.20538897712e-09	-2.57265415662e-09	-6.650801695709999e-10	-4.00005733046e-09	-4.24032408064e-09	-4.56965263816e-09	-5.83926875054e-09	-9.57950171227e-10
Schizophrenia	-5.63967869234e-09	-1.4528385737999999e-08	-1.8888160375599997e-08	-9.61127192413e-09	-2.2471573232299996e-09	4.711490621719999e-10	-5.011442993869999e-10	-6.23532059806e-09	1.1740882462200002e-09	4.91313340015e-09	6.90690375108e-09	-1.64659981031e-09	6.58619709301e-09	-3.77947419571e-09	-8.85102589352e-09	-7.11846570156e-09	-3.9413777995599997e-10	6.58890471561e-09	3.1378349127500003e-09	2.7088590279800002e-09
Anorexia	-1.1699969704000002e-09	-1.54530426712e-08	-8.945504096459999e-10	8.11880418469e-09	-1.0398998306499999e-08	4.82783075043e-09	8.426735364920001e-09	1.54362960607e-08	-2.59190391823e-09	-8.66912074199e-09	9.13136836376e-09	4.32990728009e-09	-1.2011097842200001e-08	-1.70670160693e-08	-9.68171864332e-09	1.1094378366700001e-08	3.18450612309e-09	-8.807897492e-09	-9.151745499590001e-09	4.787491121500001e-10
SmokingStatus	-1.58134784286e-09	-2.81586553962e-09	-3.10709962988e-09	-1.23138117447e-09	-7.89526522148e-10	3.8272188508599997e-10	6.54018342466e-10	-1.90431724718e-09	8.497414959799999e-10	6.27145671994e-10	1.65243670493e-09	5.522376036220001e-10	3.9021285816300005e-10	-1.1278616109099998e-09	-7.729394291730001e-10	-1.03886966741e-10	-1.19158168966e-09	-1.78089246941e-09	-6.91102478577e-10	-1.30705111621e-09
FirstBirthAge	8.93255924921e-10	-1.08579387318e-09	-1.08662075324e-09	4.4140890878599994e-10	-3.5065406336900005e-09	-2.45411082973e-09	-2.70935723983e-09	-3.02390220983e-10	5.81494115331e-10	3.33673292458e-09	1.1923362743e-09	1.1474542308499999e-09	1.47772988954e-09	-4.21724360503e-10	-8.905915021669999e-10	-1.5573914315e-09	-1.32424029682e-09	-2.85401748163e-10	-4.30780858944e-10	-1.9672933104200003e-09
Tanning	-2.2226521075599997e-09	1.88668602238e-09	-4.91679393227e-09	-5.17362949302e-09	-4.73126233379e-09	1.0313116702099999e-09	-3.79031031554e-09	2.9410672997e-09	1.45181225764e-09	-2.9886534093199997e-09	2.1535109630999996e-09	1.60162623899e-09	3.91308266867e-09	-4.21225055216e-09	1.87049493386e-09	-6.25087363464e-09	-6.791792624619999e-09	-5.5706233022100005e-09	-6.921478678010001e-09	-5.31389350014e-09
NumChildrenBorn	8.35102745465e-10	1.0403240159100001e-10	-6.802912767409999e-10	-7.481166227960001e-10	-8.249310110660001e-10	-3.83547221749e-10	-2.2940025125700003e-10	-3.03583305937e-10	1.00371068859e-09	5.67372472843e-10	1.00931842201e-09	8.98571818327e-10	-3.00827352091e-10	-1.08516366689e-09	-1.5977855381100001e-09	-2.00350548201e-10	5.34003341496e-10	1.31187203118e-09	-1.34519935196e-09	-1.48879639984e-09
DepressiveSxs	-3.2637424083799998e-09	1.26717634504e-10	-1.68985536309e-09	-1.26919622854e-09	-2.88482653963e-10	-1.20979379423e-09	1.5032064474199998e-09	2.92201379663e-09	-6.44244231553e-10	4.02724389424e-10	-1.31777783075e-09	-1.03254520463e-09	-3.1916322532799997e-10	-1.02115063211e-09	5.443771941769999e-10	1.218943567e-09	1.2227545790899999e-09	1.2951696091099999e-09	8.93520796031e-10	1.8541955868700001e-09
