0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.3466568832800003e-09	-1.5146041455700001e-09	-4.91360694464e-10	-1.2272832436599999e-09	-8.663891806330001e-10	3.9359069855699996e-10	-3.20825215182e-09	3.5686550002999997e-10	1.5555473431900001e-09	3.04182591021e-09	1.27438610063e-09	-5.67005047301e-10	1.38531899827e-10	-3.6735322770199997e-10	-4.6128028740800006e-10	-2.8818853186000002e-09	-3.1461476796400004e-10	1.05662295366e-09	-2.13702650056e-09	-3.4360785145800003e-10
YearsOfEd2	-9.9420330819e-11	-5.47117070658e-10	-2.67085460764e-09	5.74827514507e-10	-1.56693426413e-09	8.583599021469999e-10	-2.06865643325e-09	-2.92167147408e-09	2.23044378797e-09	3.4973003719699997e-10	1.8983081951900002e-09	1.78024573595e-11	2.08962650636e-09	1.57007189256e-09	-2.2425085496999998e-10	1.05540237255e-09	-9.74907279067e-10	-2.14353945308e-09	1.50119653418e-09	-2.19307106268e-09
T2D2	-2.7543235816200004e-10	-7.58365199443e-10	-8.2742427119e-11	9.9252123903e-10	-1.02079152258e-09	7.06333409625e-10	-2.00148202443e-09	-1.81763018919e-09	3.09081523869e-10	1.71038304833e-09	1.30089473723e-09	-2.88956226467e-10	6.60744357593e-11	-1.90918975545e-10	-8.17802663715e-10	4.24953824314e-10	-1.81707479199e-10	1.59591286795e-09	9.463799669610001e-10	-9.31315244038e-10
SkinColor	-6.69566099058e-09	1.74218451015e-09	-3.37897519247e-09	-6.834545304979999e-09	-4.58102404271e-09	-4.9900681572899996e-09	-9.751387464849999e-09	5.03830092955e-09	-4.89534585505e-09	-7.79266769875e-10	2.00626083832e-09	8.4030560496e-09	1.68236241848e-09	1.1471582703400001e-09	1.06823969131e-08	-9.57603537937e-09	-1.0529712876100001e-08	-8.1858704199e-09	-6.62992365892e-09	-1.82563179452e-09
Balding	5.57725577574e-09	6.0310473139899996e-09	6.578616832329999e-09	4.3392597145800005e-09	-8.66889722447e-09	-1.17494812946e-08	-8.4722698962e-09	-1.98423810735e-09	3.2977182160999997e-09	-1.52551873831e-09	7.0080363324200005e-09	1.1540504204100001e-08	-9.56374719392e-10	6.13962898301e-09	-8.510831135439999e-09	-8.30458174717e-09	-6.07991109253e-09	-2.58756846419e-09	-1.31257962562e-08	-5.76195700008e-09
HairColor	-1.5710694893700002e-08	-7.159843704260001e-09	-1.59075254071e-09	6.9892722082900005e-09	-5.14860167277e-09	-1.1229201795700001e-09	-1.2271369652399999e-08	-7.18304982022e-09	-3.29926569492e-09	-3.84489833997e-09	4.17497747943e-09	1.4506875328499999e-08	5.47330818188e-09	5.4501795380599996e-09	5.03461344981e-09	-4.39206623214e-09	-1.40074538475e-08	-7.31384810378e-09	-1.03011413243e-09	1.55971200974e-09
FVC	-2.40168048651e-09	8.808470788689999e-10	7.15505160896e-09	-2.1694074126499998e-09	-4.5287337786300005e-09	2.53957762208e-09	5.18254936795e-09	5.8828180766400005e-09	2.43331179045e-09	2.61913840089e-09	2.8357907265999998e-09	-3.46359566169e-09	-7.5382967269e-09	-3.8034970411e-09	-5.07646716739e-09	-1.8744929361400002e-09	6.42784610456e-09	3.9477255911600004e-09	1.91161542526e-09	2.2658869838700002e-10
ASD	-2.2703839004900004e-08	7.620526804000001e-09	-2.83357049457e-09	2.17243490357e-08	-4.56708983513e-08	-1.14481595848e-08	4.601229049069999e-08	8.195853156649999e-09	-1.31074981566e-08	3.33943961782e-08	-9.48041764798e-09	-1.1984792606200001e-08	-7.26333596769e-09	1.59278525148e-08	-3.7621069324199996e-08	-2.00848491227e-08	-1.16001094717e-08	4.47084687974e-08	1.43755635942e-08	4.45253771854e-09
Sunburn	-2.09929831278e-09	4.57770726302e-09	-2.71617209094e-09	-4.34868649048e-09	-5.96530791193e-09	-4.04190010452e-09	-3.28123695724e-09	5.26349090519e-09	-1.41721435709e-09	2.88839290278e-11	1.7581552556200001e-09	4.519583810600001e-09	1.6916700105999999e-09	-3.40962040679e-10	-2.64505804004e-11	-4.29284291628e-09	-6.75093099304e-09	-1.15011170458e-09	-5.2481164857299995e-09	-1.5172741412000001e-09
Schizophrenia	-6.97327694146e-09	-9.99888176838e-09	-7.74295357454e-09	-8.20428410623e-09	-9.21967550098e-09	7.4780646016e-09	-7.11269308431e-09	-9.41612338491e-10	-6.36991633241e-10	1.1276577839899998e-08	1.08473741439e-08	-8.49958718657e-09	5.23338198743e-09	-3.6420710137699995e-10	-2.66566289736e-09	-1.12937948267e-08	-1.5945497049e-10	-3.00587286281e-09	2.00149426313e-09	-2.64682531438e-09
Anorexia	6.74041750365e-10	-1.8072077544599998e-08	-5.72172104778e-09	2.8051034165499998e-11	-1.30399444842e-08	-1.42393545426e-08	-6.19506367426e-09	8.90335851595e-09	5.777235630040001e-10	-4.3905415346600006e-09	9.560083081309999e-09	5.5086390278e-10	9.581081806710001e-09	-2.90269223994e-09	-2.7859295509199998e-09	-1.08149739879e-08	-8.57068894649e-09	-1.53900435761e-08	-1.0092337208700001e-08	-5.351689723209999e-10
SmokingStatus	-5.6422233009e-10	1.86445786756e-09	-1.65040775552e-09	-1.7111595161400002e-09	1.2104427248099999e-11	-1.0145096924200001e-09	-9.179877178050001e-10	-2.2602554046599997e-09	8.419647592460001e-10	2.4280154349599997e-09	2.43103406702e-09	1.43157905275e-09	-4.29126668906e-10	-2.25893675679e-09	-1.65207234891e-09	-4.213104808019999e-10	-6.00074833113e-10	-3.83039787904e-09	-2.77549069646e-09	-1.6062492185000001e-09
FirstBirthAge	4.82241762103e-10	-6.15104925983e-10	-2.36047031131e-09	-9.012746927989998e-10	-1.5558624650800001e-09	-8.00858538962e-10	3.3112337694e-10	1.1418732991200001e-09	1.66651954212e-09	1.7751745718499999e-09	1.52088800638e-09	3.7072088075399997e-10	-5.9355805953e-10	-1.38267262552e-09	-1.66235021918e-09	-3.11179075231e-09	-2.96770264373e-09	3.87660985184e-11	1.19017249728e-09	-7.63853833235e-10
Tanning	-6.86868321795e-09	4.20120205832e-09	-3.3142234246800002e-09	-7.60829149502e-09	-6.29501639804e-09	6.94441613404e-12	-4.88227621692e-09	6.803541490070001e-09	-1.7792347773899998e-09	5.28674478185e-10	4.2527091651300005e-10	6.74241367043e-09	-9.231633602119999e-10	-3.5482917112899997e-09	4.7049603946e-09	-8.17866454706e-09	-6.47153136685e-09	-5.2961064512100006e-09	-9.136045557529999e-09	-5.78057870487e-09
NumChildrenBorn	-3.84343438289e-11	6.82675001492e-10	1.0069090910700002e-09	-2.02099842772e-10	-8.173766492219999e-10	-1.51685814323e-11	8.35093520918e-11	-1.1526490395400001e-09	-7.31046522608e-12	-3.19365973435e-10	1.72792453506e-09	-9.305788755e-10	-1.00245994266e-09	5.17556280504e-10	-4.1183379332800004e-10	-8.759508589309999e-10	5.23560863138e-11	2.16893455474e-09	-6.23380673433e-11	-1.2978391342e-09
DepressiveSxs	-2.27940312689e-10	1.1946259934000001e-09	2.3592332437299996e-10	2.2741295935300003e-11	-1.18477856052e-09	-8.88491614294e-10	4.71504805302e-10	2.54854085387e-09	7.89722471172e-10	-1.8594490287200002e-11	-5.39255210195e-10	-1.0830172458799998e-10	1.8474267877700001e-09	-2.61050686101e-09	-1.98459614678e-09	1.27706011633e-09	-1.6020527074500003e-11	1.01210472467e-09	-2.60336228361e-09	3.2826015997900003e-09
BMI2	-5.04328869618e-09	3.2843630167e-09	-4.18460429343e-09	-6.00898634682e-09	-7.55076433477e-09	1.39170395533e-09	2.79358026274e-09	6.74141704783e-09	6.24132014953e-09	4.97570516107e-09	-1.3445746556500002e-09	-5.95972285012e-09	-4.35029349051e-09	-1.8455843536e-09	1.66513512512e-09	-4.21788276145e-09	1.23316673855e-09	-7.913419956189999e-10	-2.3597302874e-09	-9.760275529699999e-10
Neuroticism	-6.56338848411e-10	2.82446204421e-09	2.19595452573e-09	1.3254982863199999e-09	1.80095656407e-09	-2.3417793474700002e-09	-1.6532356331299999e-09	-2.83791559688e-09	-1.99656973416e-09	-2.0403886316099998e-10	-2.62100212607e-10	1.2855719851399999e-09	2.40077227765e-09	1.5542745127599999e-09	2.0382312848900002e-11	-1.1643941976e-09	9.46284859615e-11	-1.7457188285100002e-09	-3.34098694142e-09	5.74084454426e-10
