0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	1.11681247791e-09	-6.163537368290001e-10	-1.51630026416e-09	-2.6575955818599997e-09	1.30811100656e-10	-1.22955845947e-10	-7.33435993784e-10	1.9536349938e-09	6.8532371515e-10	-3.11934570353e-10	3.46547935909e-10	-3.6402251649300004e-10	-2.1335518894599998e-10	-1.7839721088900004e-10	-6.80782710439e-10	1.3835577957999998e-09	5.7174735713799995e-11	1.01597440208e-09	1.1487297064400001e-09	7.83799827646e-10
YearsOfEd2	1.8489224610399998e-09	1.31039180059e-09	-2.73830620675e-09	-2.82408929367e-09	1.2280893895500001e-09	-1.1069575505e-09	2.81189114986e-11	-6.2375100268e-10	-7.78588622294e-10	-1.97121027845e-09	2.5439763670800002e-09	2.2773274632200003e-10	9.215488224919999e-10	-2.7635761987900003e-10	-2.74737031777e-09	1.83745745204e-10	-1.34484118368e-10	-1.70919930419e-09	-7.68274802745e-10	1.2667904757399998e-10
T2D2	1.73448655451e-09	1.97179452115e-10	-2.4105293441e-10	1.84115170459e-09	1.01434705579e-10	-1.46046947445e-09	-9.61313979884e-10	-7.310131931530001e-10	-3.31615747026e-10	-5.20649790458e-10	-3.46545811327e-12	-5.63639338039e-10	1.09809275113e-09	2.38586254113e-09	8.008610379649999e-11	4.954309551109999e-10	4.44384802314e-10	-9.624972408089998e-10	-1.2683019649e-09	7.764335935889999e-10
SkinColor	-5.22835509022e-09	-6.9318652936900005e-09	-5.84546572392e-09	-8.896883629189999e-09	-1.2483383548e-10	-3.1854931883e-10	-7.996383907310001e-10	-3.6652281681900003e-09	-4.65774352321e-09	-8.23901125877e-09	-7.31794790985e-09	3.9535982424099995e-09	2.4524103033000006e-09	7.67708423824e-09	9.0062131467e-09	2.36091112164e-09	-3.09722149504e-09	3.64526541729e-09	3.44459839424e-09	4.6925525108e-09
Balding	-1.25048219386e-08	1.53474539753e-08	-4.6997950913400004e-09	7.124830311369999e-10	-4.59304228746e-09	-4.08286153019e-09	1.67008303078e-09	-3.10499255251e-09	2.2432098565000003e-09	8.36568501301e-09	-1.45351041059e-10	7.39306876335e-10	-1.11409310188e-09	-3.36118569063e-10	-1.7681729999999998e-09	6.61790372438e-10	-1.4222846815400001e-09	-8.57057036377e-09	-5.25793127554e-09	-1.9509879748799999e-10
HairColor	-2.02656930959e-09	-2.1386633562600003e-09	-1.31458988963e-08	-1.25807732936e-08	3.72891011335e-09	1.5523214940399998e-08	-1.98344089681e-09	1.6006780761100001e-10	-4.3288708101800006e-09	-6.39983439148e-09	-6.49267395554e-09	2.97869133436e-09	-1.11506657438e-09	8.942449303419999e-10	2.63351304887e-09	8.46785416067e-09	5.09364072999e-09	6.9622068450399996e-09	-1.5938485605799997e-10	-1.01212468538e-10
FVC	4.0326930329800006e-09	7.29959433195e-09	6.41521375722e-09	-1.35510242879e-09	-3.21178265487e-09	1.17604739127e-09	3.46875745651e-09	4.191005152260001e-09	-1.89283463497e-10	5.120184706449999e-09	2.15816043689e-09	-5.5060711883e-09	-1.65882122463e-09	-1.63313380504e-09	-1.41506370043e-09	-3.8251274589900003e-10	2.47835678394e-09	1.7095504358800002e-09	7.083690402369999e-10	4.83524556052e-09
ASD	-1.41812850105e-09	1.12527873856e-08	1.3838395717299998e-08	-7.16389420554e-09	2.3283708234900002e-08	-2.1691629633e-08	2.01917411718e-08	6.76616126639e-09	1.69847112586e-08	2.9702278843299996e-08	2.81617102676e-08	-3.07424585225e-08	-3.1440493166799995e-08	1.12907598662e-08	-4.099373815309999e-08	6.554383150550001e-09	-7.839381589049999e-09	2.19410434135e-08	2.79240370395e-08	4.54961777302e-08
Sunburn	8.705065094630001e-10	-2.10359979244e-09	-5.18239615612e-09	-3.8559008573299995e-09	-3.06977991662e-09	-3.4608845442499996e-10	4.4635022118199995e-09	-9.34246971207e-10	-3.1356410561900002e-09	-6.778711576870001e-09	-4.105217478320001e-09	-1.51209856868e-10	4.83285076915e-09	3.6413938367700005e-09	1.2438053246099999e-09	-1.24998596942e-09	1.29867758174e-09	2.73930141129e-09	1.90829171701e-09	4.5289584014e-09
Schizophrenia	3.59711706559e-09	2.85957364403e-09	-2.20559270711e-09	-9.01492311437e-09	-6.88131198518e-09	-2.54469301323e-09	-9.27430317504e-09	1.66224854507e-09	1.08121905125e-08	1.6666433053099999e-09	1.3723188241100001e-08	1.12227450582e-08	-6.67084543659e-09	-2.13311713627e-09	-9.281896309819999e-09	-1.40762028504e-08	2.23035235762e-09	-2.560865738e-09	9.58659332154e-09	1.14197348455e-08
Anorexia	-1.25044275405e-08	-9.249682255050001e-09	3.31565413609e-09	-8.42305257648e-09	-1.1154481033600002e-08	-6.2481809992399994e-09	9.77560468622e-10	4.55336100854e-09	7.38764948563e-09	1.7090544466e-08	3.93411600515e-09	3.92071022381e-09	-7.601549676700001e-09	-1.18425204405e-08	-1.7213363410099998e-08	-1.91869813002e-08	-6.061331014e-10	-6.019430432500001e-09	-4.43746293245e-09	-3.4800092030599996e-09
SmokingStatus	1.47292638952e-09	-3.37129187378e-09	-2.92861517677e-09	2.2622464130199997e-09	1.19790085094e-09	-9.851359885439999e-10	-5.593993045300001e-10	1.2595805317399998e-09	6.61271339664e-10	1.2462038442399999e-09	5.65555917887e-10	-7.35921038722e-10	-1.93872831215e-09	4.90683883294e-10	5.61249738426e-10	-3.26998889838e-10	-1.47518509441e-09	-2.36853365953e-09	1.06959685982e-09	3.11778232783e-09
FirstBirthAge	-2.4915204673e-10	-1.13158902099e-09	1.4461289979499999e-09	2.51759750508e-09	-7.57124642086e-11	-2.68310036449e-09	-4.83451673596e-10	1.81538949549e-09	1.64311938577e-09	-2.17128594468e-09	3.14610502041e-10	-1.24413508196e-09	1.4121385489399999e-09	-5.92956440453e-10	-4.78214417628e-10	-3.78493330101e-09	-3.1550606215799997e-09	-1.66914098682e-09	-1.14717115031e-09	1.7326416899099999e-09
Tanning	-5.16564002789e-09	-7.454073289059999e-09	-3.65476088165e-09	-6.48394486408e-09	4.627127601980001e-10	3.6742094537500003e-09	2.6602926802299997e-09	-2.64105327791e-09	-2.01440305579e-09	-7.68974918093e-09	-7.736157033399999e-09	6.301514571219999e-10	4.74599131171e-09	3.80500849831e-09	1.37579797941e-09	1.56465162512e-09	-5.755276171419999e-10	8.30255926653e-09	4.3260598445e-09	2.27746401579e-09
NumChildrenBorn	1.10808301866e-09	-1.12197725964e-09	-7.40456791455e-10	4.03626776095e-10	1.12428321462e-09	8.4437944072e-12	-1.43871588648e-09	-1.50304250001e-09	-7.65116602901e-11	-2.3217615508e-09	1.78957568524e-09	1.59976617142e-09	6.46681824318e-10	8.5160197536e-11	-4.05839824538e-10	-2.2412546142700003e-10	1.63493044518e-10	-1.33114333004e-10	-1.2363289749600001e-09	8.462899046469999e-10
DepressiveSxs	-1.19296475937e-09	-5.8705919670500005e-09	-5.64058931249e-09	-7.41771909503e-11	2.1209936063099996e-10	-3.58121841614e-10	3.04789812238e-09	9.89519109076e-10	1.8240417822999998e-09	4.7318643346e-09	2.54180473118e-09	7.08839939947e-11	-3.83853880801e-09	-5.29986543808e-09	-2.73015001215e-09	1.5460541272199999e-09	-4.93172057573e-10	-3.2869470208400005e-10	7.732990422110001e-10	-1.9172167600200002e-10
BMI2	9.7030430199e-09	2.2632309624299998e-09	-5.85558300193e-10	4.08454257233e-09	2.8285431048e-09	-8.55913820678e-10	3.74129640992e-09	5.14819327644e-09	5.84118575239e-09	-4.10418086415e-09	-2.88650794787e-09	-2.7586237837699997e-09	-8.703005535490001e-09	-1.47867853972e-09	-3.50170463218e-09	-5.75079717477e-09	-1.68904570102e-10	-6.17984066137e-10	3.23660402135e-09	1.71874361561e-08
Neuroticism	-1.42160402912e-09	2.2154373059099996e-10	-2.09659758054e-10	-1.9117539283599997e-10	7.177166637939999e-10	-2.30194360992e-11	-1.1248185885500001e-09	1.03107885564e-10	-1.94192171836e-09	-5.35422407381e-10	3.7196992275499998e-09	1.64493128598e-09	7.59066913768e-10	-2.28352351567e-10	-5.76970916557e-10	-2.76802549756e-10	-1.30645428605e-09	-3.2739630296300002e-09	-2.09590189086e-09	3.0627068656500002e-09
MenarcheAge	-1.27218993228e-09	8.162457041349999e-10	-3.02773220318e-09	1.19041391885e-09	-2.61671965594e-09	-2.72582014509e-09	3.06724646087e-09	6.57266578182e-09	2.3235603954999997e-09	1.1175849397299998e-09	-9.494302572e-10	-8.123340328030001e-09	2.86360555408e-09	2.7939834263e-09	-3.98799818231e-09	-7.49198709666e-09	2.21195080016e-09	7.991232496179999e-09	7.46098509529e-09	3.53394943109e-10
Heel_T_Score	-1.06726021879e-08	-1.1429387381799999e-08	1.90072450778e-09	7.47766738239e-09	-7.8010350479e-09	-1.3761509534399998e-08	-1.29209559036e-09	3.9611441143199997e-10	5.86947193472e-09	5.98092558017e-09	3.9574459562600005e-09	1.0207367212100001e-08	6.43247542774e-09	-6.15270946127e-09	-3.0495304569200003e-09	-7.27030316928e-09	-1.19249394784e-08	-4.6322525454699993e-10	-6.0766711986199995e-09	1.9332337443199997e-11
Eczema	-1.84937329766e-09	-3.08564198478e-10	-1.0961674085000002e-09	1.4666816693600002e-09	9.97036294386e-10	1.2163930320499999e-09	5.518348297619999e-10	-9.53389872757e-10	3.8355415835700004e-11	-1.5372479757500001e-09	-2.10951390472e-09	-2.42103473777e-10	-7.806730223399999e-10	1.96459111059e-09	1.72185722929e-09	1.8103931394900003e-09	1.8557225373799997e-09	-5.221133581130001e-10	-1.19493158646e-09	-8.72679085466e-11
SystolicBP	4.342752915999999e-09	8.233549237110001e-10	6.621175171e-10	-6.85017120282e-09	-6.936200307179999e-09	-7.317827847220001e-09	-5.99943062128e-09	-5.349182643930001e-10	-5.37993273533e-09	-1.15614906299e-09	1.12626837216e-08	7.22988893503e-09	9.16449272955e-10	3.07243974307e-09	-1.61543572256e-09	-8.7801891856e-09	-5.35302705555e-09	-4.2788536312e-09	1.09787068617e-09	-7.36360274681e-09
