0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.75973496823e-09	-7.18823834898e-11	-3.8781008789300003e-10	-2.13562234376e-09	-3.8396376942699997e-10	-1.64902909309e-09	-2.27232885468e-09	-3.52156481368e-10	4.90071110463e-10	3.46631228336e-09	2.7935963778999997e-09	2.82767315598e-09	-1.0023436425599999e-09	-2.20806632753e-09	-2.69588085823e-09	-3.6397123400700003e-09	-2.3709477921900002e-09	-2.62841050104e-09	-8.007830825780001e-10	1.51834367829e-09
YearsOfEd2	-2.06018965473e-09	-2.6163897505600003e-09	-3.1770983048500002e-09	-3.57183410117e-10	-6.11145796877e-12	8.898007390289999e-10	-2.3088899890099997e-09	-2.80599158952e-09	8.79103678768e-10	-1.0810182112600001e-09	3.86732548243e-09	6.53229187494e-10	-2.0691897767499997e-09	-4.84153170828e-10	-1.74682612593e-09	1.5018563191400001e-09	4.36669156972e-10	-1.02070720837e-09	1.44602778898e-09	1.28109617426e-09
T2D2	6.1581502402e-10	1.51579907765e-09	1.37594396577e-09	2.60629479061e-09	-8.18804519166e-11	-1.42047895442e-09	8.17391571687e-10	-1.37547532802e-09	-1.81021813798e-10	5.54347989111e-10	-4.68550653778e-10	-9.50993027442e-10	-1.7689735548e-10	1.8713399526e-09	-4.98421973361e-10	2.0772865209899997e-09	1.59443778124e-09	3.75327690062e-09	-9.122997915179999e-10	8.140275245239999e-10
SkinColor	-4.69419647307e-09	-8.657409602730001e-10	-2.41040034812e-09	-2.8970993744100003e-09	-2.3420030806e-10	-5.1915062930100005e-09	-1.01130762459e-08	5.89473023638e-09	-2.75632760902e-09	-2.0814637454100003e-09	5.05257199596e-10	1.01381271169e-08	1.1160383730299998e-08	-4.04057035824e-09	5.09451327097e-09	-6.9344655746099994e-09	-4.05145056788e-09	5.16383487702e-09	-8.4372664653e-09	-9.34396830789e-09
Balding	-6.62232354472e-09	-2.8256678276999998e-09	9.163375279930001e-10	4.6870628665e-09	-2.81807688499e-09	-5.4517116256000005e-09	-4.8008361987e-09	-2.6119851506e-09	-2.17656681038e-09	-3.84695117498e-09	-6.29757611081e-10	1.3314456236e-08	7.273621133830001e-09	3.98152944789e-09	-4.92093775207e-09	2.63311492106e-09	1.68377326663e-09	-7.56854918079e-09	-1.46521377217e-08	-1.30892277561e-08
HairColor	-5.72641884957e-09	-3.29635339083e-09	2.19921108952e-09	4.18787985933e-09	4.80110330954e-09	-3.31294963878e-10	-5.98313593438e-09	-5.18750323326e-09	-3.29613651585e-09	1.62770562094e-09	5.0587176094e-10	1.41840064722e-08	1.3789771412399998e-08	-6.3389153414e-09	-4.36135825176e-09	1.64327730056e-09	-1.2141326132300002e-09	9.46569998452e-10	-5.61104785211e-09	-6.00800943099e-09
FVC	-6.17951354317e-09	-7.553840959710001e-10	5.46036248778e-09	-1.38204027197e-09	-4.212718574849999e-09	2.73197345483e-09	4.6421434336e-09	4.04691362802e-09	5.893720044300001e-09	2.51975875403e-09	3.05311206963e-09	-8.518465378789998e-10	-3.00320510152e-09	-4.14769043105e-09	-9.45426640159e-09	-5.0399375805799994e-09	-3.21335678505e-09	9.913970141589998e-10	8.00233374114e-09	7.71915135735e-09
ASD	-2.6542302776400002e-08	9.60908721612e-09	3.6258861264799996e-09	-3.5515438651199993e-08	-2.3434572032e-08	-1.28768583804e-08	-4.1735559787199995e-08	-1.3673234437200001e-08	3.92886053696e-08	1.9860539888e-08	2.03444862202e-08	-1.2564451520799998e-08	2.8421233062700004e-08	-9.06328507278e-09	-3.1337979015599993e-08	2.13991691893e-08	-8.641829258849999e-09	9.86850078969e-10	-1.8884841479599996e-08	-3.22829117836e-08
Sunburn	3.77722997239e-09	2.3047884712699996e-09	-2.0062049972399997e-09	-3.22705818881e-09	-5.33410261332e-09	-2.39117816127e-09	-2.43966400389e-09	2.90775881309e-09	-1.7163327763e-11	-2.59947550342e-09	1.3368441367000001e-09	2.9509949734900003e-09	4.47071697882e-09	1.06368507714e-10	-2.22011283631e-09	-1.6965258569000001e-09	-3.28142614366e-09	-2.55829121932e-10	-5.49093112945e-09	-4.60653213683e-09
Schizophrenia	-4.053856808730001e-09	1.2739058006799998e-08	7.31560420387e-09	-3.7996184239699997e-10	2.24934519531e-09	2.4530799002e-09	-2.97396904042e-09	-1.1840734414499999e-09	-3.0785279020599997e-09	-7.27242681805e-09	6.78495484919e-10	1.87805661575e-09	-2.90543221551e-10	-1.0148604327200001e-08	6.684609816089999e-09	-4.8668753835e-09	1.0867842698200002e-08	1.20757989456e-08	9.16424945791e-09	-4.56826668656e-09
Anorexia	-1.75177938365e-09	-1.43749788038e-08	-7.13953420493e-09	6.63488875644e-09	-8.60875358527e-09	4.204709041e-09	2.97046263894e-08	1.31802229271e-08	-1.56470010641e-09	-1.1440020356899999e-08	-1.27904714537e-08	-1.12545106295e-08	2.98234323928e-10	-1.37341920947e-08	-1.51250337518e-08	1.2433350975599999e-08	9.4942961683e-09	2.54248571329e-09	-1.0481680978299999e-08	-7.1415764636999996e-09
