0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	8.402195958860001e-10	-3.6354516244499997e-09	-3.53564919609e-09	-9.96180250811e-10	-7.50541543592e-10	1.27706186821e-09	-1.9051802515900003e-10	-6.96497227002e-10	-9.94308473808e-10	3.10407917227e-10	9.81688977632e-10	8.582603762539999e-10	2.1662376215100003e-09	7.022298358850001e-11	-9.805780021510002e-10	-9.347742577189999e-10	-1.7559370439100001e-09	-5.139457649969999e-10	9.835858093910001e-10	2.81264275286e-09
YearsOfEd2	-1.36462667442e-09	8.111806955659999e-11	7.563085348989999e-10	-1.04551122838e-09	-1.5374229054000002e-09	1.19802066162e-09	-2.4677410881500003e-11	-1.8610753399500001e-09	2.64752858596e-09	-2.22481078711e-09	1.5756582442e-10	3.21749191813e-09	1.8279817534200002e-09	-2.22665517535e-09	-7.839452760860001e-10	1.69723669479e-09	-1.03598306962e-10	-1.1329834762e-09	-1.07511764665e-10	-7.50845217439e-10
T2D2	2.85634025891e-09	9.167201897299999e-10	-2.5368197004e-10	-1.11841933566e-09	4.4526883995699995e-10	4.26630981374e-10	8.14757337612e-10	-2.07278999546e-09	-3.05217364903e-10	3.33108645751e-10	-3.40234549892e-10	-1.20248700878e-10	7.249995336360001e-10	2.45049099295e-10	-5.41399318496e-10	1.40048311837e-09	3.41776920829e-10	4.25199678005e-09	5.3368684953500006e-11	-2.27146163052e-10
SkinColor	6.19447421529e-10	-3.6297944597900005e-09	-1.9739470103700003e-09	4.16313705555e-09	-7.16374856269e-09	-6.1356582480300005e-09	-8.6941353577e-09	1.89691036221e-09	1.0119676315e-09	-8.59720261806e-10	3.74973098673e-09	1.05915471205e-08	2.34896936742e-09	9.015121668919999e-10	1.46965512183e-08	-9.13402936057e-09	-1.0435968805399999e-08	-9.283513868629999e-09	-4.7938178692500004e-09	-4.49657427932e-09
Balding	1.01105157566e-09	7.75610259636e-09	1.3130526372299999e-08	4.045897074360001e-09	-9.003534124240001e-09	-1.10329089957e-08	-5.11668516884e-09	-9.666250901719999e-09	-7.653670504279999e-09	7.824406235089999e-09	7.4225835432400006e-09	1.01626787612e-08	5.79391013048e-09	1.35819240563e-08	-3.67976105819e-09	-1.35497556347e-08	-8.46969922778e-09	-7.60391194748e-09	-1.48750199991e-08	-1.61374602834e-09
HairColor	-1.94639623179e-09	-9.093858282919999e-10	-4.61757476744e-09	-5.9022884589199996e-09	-8.49857318216e-09	-6.9062196230800005e-09	-5.9913549501199994e-09	-1.83780903963e-09	1.14690318316e-08	4.39624031936e-09	5.48939733221e-09	1.04867217412e-08	-1.17842126698e-09	6.02550941036e-09	3.5547323539899997e-09	-7.80019696203e-09	-1.06583604207e-08	-3.3099319240899997e-09	-1.05670730823e-08	-4.8221807037699995e-09
FVC	3.33088153415e-09	3.99236820679e-09	1.22707646535e-10	1.8985243375999996e-09	-3.5014350564900003e-09	4.30830720903e-09	1.4920834952e-09	-9.002925679020001e-10	-1.95034802401e-09	6.96727756876e-09	5.38858720784e-09	-1.9811973715700002e-10	-3.0239977103300002e-09	-6.747378350229999e-09	-4.9304027384599995e-09	-6.80590709062e-10	-6.336789784059999e-10	2.04671979032e-09	4.6658182367e-09	1.54559596673e-09
ASD	-1.7186732801e-08	4.21596973731e-08	-9.8248628971e-09	-2.0526634583900003e-08	2.11506313932e-08	3.5524377800200002e-09	-5.78026117465e-09	-3.8146283491e-08	1.80779355129e-08	8.04519975733e-09	-5.2393070591600005e-09	1.1706408605600001e-08	4.731041606e-09	-1.26086348005e-08	5.393742097e-09	3.74165748802e-09	2.94066947286e-09	2.29493174584e-08	3.66281511758e-08	1.15828164135e-08
Sunburn	1.0354353181700001e-09	3.08717959382e-09	2.5134539952e-09	-7.1449370232e-10	-7.68229699205e-09	-4.59323623159e-09	-3.69871432877e-09	4.6449882971900003e-10	1.344049347e-09	-8.07809827002e-10	1.1875980624500002e-09	7.343813853470001e-09	4.2911604125699996e-09	4.26601808674e-10	-1.62126219266e-09	-3.3190730694899997e-09	-6.47214173173e-09	-1.4326709962000002e-09	-2.04949039362e-09	-3.07987008807e-09
Schizophrenia	-1.31542556795e-08	-5.0074871028e-09	-6.4806004700599995e-09	-8.91482770546e-09	-2.82291527049e-09	5.3372510162799996e-09	2.95612530497e-09	-5.44878895501e-09	7.857643364639999e-10	-8.9967278478e-10	1.0473211633700002e-08	-7.56855469199e-09	4.75502435305e-09	5.18982548545e-09	-4.25396974634e-09	-5.93838069457e-09	-6.46062893869e-09	8.13050278177e-09	4.073573105039999e-09	-1.38518095012e-09
Anorexia	6.78023554049e-09	-1.40706633909e-08	-6.43955642955e-09	-1.24367295359e-08	9.234233609230001e-10	1.94433684986e-09	1.27616308499e-08	1.66449762306e-08	6.30228649351e-09	-2.18095045504e-08	9.19718399023e-09	-1.34227880538e-09	3.67052316091e-09	-8.85351767564e-09	-7.91329925664e-09	-2.01490643066e-09	-1.97982990578e-09	-1.03304715795e-08	-3.58558667952e-09	-7.10004105058e-09
SmokingStatus	3.84188147439e-10	-3.08197949726e-10	-9.46551428084e-10	-2.43419813025e-09	8.60288468866e-11	1.6906243751400002e-09	-7.062007285569999e-11	-1.11439856411e-09	2.9519842056400004e-10	1.45932400059e-11	3.61251540749e-11	2.2329866897999998e-10	-8.073717417760001e-10	-1.3075640939099998e-09	5.20999041146e-10	2.15736305132e-09	4.2232671209000003e-10	9.87184667841e-11	-1.2817599701e-09	1.3916139106e-09
