0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-5.74327900986e-11	-1.67235915209e-09	-1.49875172689e-09	-2.7437753151500002e-09	-3.17734340678e-09	8.27879946148e-10	-1.5007219769300001e-09	2.1179269328400003e-09	1.14962940418e-09	1.50699596522e-09	2.46349058757e-09	-6.18463706366e-10	-1.24642076422e-09	-2.96494425865e-09	-2.22323484909e-09	4.45306079038e-10	3.81940164939e-10	-3.751176178690001e-12	-1.47477585595e-09	2.5705811453299995e-10
YearsOfEd2	-7.10581414471e-10	-5.5449076611199996e-11	2.2839291798099996e-10	-2.7736179710499996e-10	-1.66805433901e-09	-1.32540368542e-09	2.5569257617799997e-10	-9.86507719246e-10	6.11039200559e-10	-1.2179623583799998e-09	2.26204851356e-09	5.49932599044e-10	-7.304893844520001e-11	8.92249335173e-10	7.010722313089999e-10	-2.08966326117e-09	-2.6960313070500002e-09	-8.75603488656e-10	-9.1358141443e-10	1.6540974979399999e-09
T2D2	5.267031187889999e-10	-2.46793562722e-09	2.4967463593399997e-10	-1.7648468905900002e-09	4.2316261590599995e-10	-1.91568840843e-10	-1.4925789927999998e-10	-1.50588062769e-09	9.1172139738e-11	1.8463418632400001e-10	1.26708935528e-09	-1.1614206066400001e-09	-1.25287532096e-09	9.911482756000001e-10	2.94110127764e-10	1.07689385397e-09	-4.99685814172e-10	-4.52359502283e-10	9.01505835575e-10	1.70286684226e-09
SkinColor	-3.75075804783e-09	6.30588735829e-09	-4.347602877440001e-09	-7.28672944217e-09	-6.2024459647e-09	-2.8234703527600003e-09	-8.57058989314e-09	-4.10023576311e-09	-2.81513341129e-09	-1.04714797163e-09	-1.24976001515e-09	5.4099028582599996e-09	1.94117361022e-08	4.66983931554e-10	6.77836048309e-09	-5.60124519585e-09	-1.16758885156e-08	-8.14796809596e-09	-2.6253853075399998e-09	-3.0869589175500002e-09
Balding	2.1718724140699998e-10	-1.25049888902e-09	8.506537845300002e-09	7.15973564629e-09	-1.11836759595e-08	-8.15068168788e-09	-1.0206102355500001e-08	-2.5850694530499997e-09	4.04890314284e-09	3.5259409726599998e-09	1.1261614951799999e-08	8.39028443644e-09	3.66027078779e-09	-1.41435252765e-09	-1.01370308074e-08	-6.40276327095e-09	-7.45095425862e-09	-3.6741749075999997e-09	-1.07421608831e-09	1.7338683323600002e-09
HairColor	-6.97350374208e-09	-1.17675936787e-09	-2.5405404797400002e-09	-1.0600263740100001e-08	-4.18049627314e-09	4.10021340633e-09	-1.2492018171100001e-08	-4.36344633568e-09	-5.24956925057e-09	-7.422757917339999e-10	-3.15743631212e-09	9.507877537669999e-09	2.48691491944e-08	-1.8610891591800002e-09	4.5877609977e-09	-3.9017463432e-09	-1.41707415968e-08	-9.839535095479999e-09	-4.72745294931e-09	-8.25258087846e-09
FVC	-6.49783691754e-10	3.97872928574e-09	6.13168495789e-09	-5.178826018069999e-10	-6.515817763e-09	-1.15029824807e-09	1.12654274098e-09	1.72306943616e-09	3.3854171743600004e-09	3.17913214071e-09	1.43374352307e-09	-4.38271184036e-09	-2.67839875113e-09	1.75463716776e-09	-1.14220823098e-09	-8.98431074948e-10	-1.18398611916e-09	2.77334191078e-10	1.25640765732e-09	3.3667628085100004e-09
ASD	9.58529534545e-09	5.13105114595e-08	1.52232054311e-08	2.11062566129e-08	-1.90490218127e-08	-1.50449277122e-08	4.07515121782e-09	1.41717823518e-08	-4.79259113367e-09	-1.19439725733e-08	2.4637328649000002e-08	8.60126150079e-10	8.09627659373e-09	-2.06928904304e-09	-1.5828584475600002e-08	-6.48181765316e-08	3.07757426232e-08	2.69258698196e-08	8.408411908869999e-09	1.26549815669e-08
Sunburn	1.13105075201e-10	4.41495381772e-09	1.28986775394e-10	-3.99747756178e-09	-6.60211568671e-09	-5.72991655557e-09	-4.99233067879e-09	1.21214243214e-09	1.30163480823e-09	-2.01343795863e-09	-3.0053732828900004e-10	3.35172112167e-09	5.60083846487e-09	2.46948125029e-09	1.86387148847e-09	-5.81156482432e-09	-5.28804654839e-09	-2.94019189242e-09	-2.77154756036e-09	-7.7684975167e-10
Schizophrenia	2.68384309357e-09	4.58442527589e-09	3.85269450945e-09	-1.67844861902e-08	-7.36209236099e-09	-8.723542661939999e-10	-6.26316465623e-09	-1.9953359094999998e-08	-6.03739796772e-09	1.14731418996e-08	1.40902126275e-08	8.60915977111e-09	-2.2183728185e-09	4.49014572732e-09	6.02095038856e-10	-8.676027925409999e-09	-1.40126294815e-08	-2.2254961222899998e-09	7.31521362632e-09	-4.28702855815e-09
