0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-9.306309167850001e-10	-8.02916745704e-10	-2.01610723058e-09	-3.6577154089699998e-09	-1.9097651704300002e-09	4.0804591134099996e-10	-4.3300185107399996e-10	6.1119061347e-10	-2.7829857179299997e-11	3.25056264377e-09	3.9824844985600004e-09	-8.657908261180001e-10	-6.295395024519999e-10	-1.50208836427e-09	-2.7770790946199997e-09	-2.87109042367e-09	-1.64322298686e-09	-2.01571111191e-09	-3.10615194736e-10	1.35780276497e-09
YearsOfEd2	-1.188320848e-10	-9.038841668360001e-10	-1.4686725474400001e-09	-2.09888839727e-10	-1.59321521017e-10	-9.39862985975e-11	-2.2570502311999998e-09	-3.02685496215e-09	-6.79462428296e-10	1.33090293467e-09	4.7208340357e-09	1.76640508413e-09	-9.70252937757e-10	1.55047623015e-10	1.95229801853e-10	-1.27462959975e-09	3.9258581875900003e-10	-1.78171124228e-09	-3.21116248087e-10	-1.20581800137e-09
T2D2	-1.1270756645999999e-09	-3.8266614395800004e-10	1.00222160516e-09	2.2501899145e-09	7.9121415113e-10	-1.26971619978e-09	1.16847668392e-09	-8.70288481989e-10	-1.0406947397e-09	3.7959317539800003e-10	-7.67677297908e-10	-4.72330722721e-10	1.0917090650800002e-09	1.53624247063e-10	5.170858918610001e-10	2.4737987516699998e-09	2.0031165517999998e-09	3.60183506915e-09	5.093037862189999e-10	1.7164103204e-09
SkinColor	-3.65193568032e-09	-1.7672867805e-09	-1.85884954507e-09	-6.70457728229e-09	2.01030853727e-09	-5.67328002139e-09	-1.1138233150799999e-08	7.663486841260001e-10	-1.06717215525e-09	-1.97755903723e-09	7.95457276045e-09	1.0209098336799999e-08	1.0028700264899999e-08	-3.73198832662e-09	4.485802124669999e-09	-6.2847942477499995e-09	-5.63157881251e-10	-2.24820697187e-10	-3.1717226656e-09	1.38087728061e-09
Balding	4.4929295461400005e-09	2.7971908814100002e-09	1.12146932535e-08	6.1501234948399995e-09	-7.034314695919999e-09	-1.45703421062e-08	-3.78478863986e-09	-6.58054432772e-09	-4.6429871387e-10	3.83312762949e-09	7.65521729807e-09	6.0583006468e-09	-1.8725684886300003e-09	1.36824274942e-08	-9.06207940551e-09	5.55786010648e-09	-1.75525008301e-09	-3.58536422349e-09	-1.03404498629e-08	2.1494325189299997e-10
HairColor	6.36095811103e-09	-1.7356249330200001e-09	-5.009864515640001e-09	-2.7398162739500003e-09	6.116244354299999e-10	5.47146469011e-10	-9.69860517242e-09	-8.497814552069999e-09	-4.1314636700400003e-10	3.22493253282e-09	8.5107663015e-09	1.03792553426e-08	6.90624626414e-09	-3.54631436372e-09	1.99849439994e-09	2.20044163395e-09	1.66297005601e-09	-4.49814978627e-09	-4.90535370292e-10	-3.8757282752e-09
FVC	-1.43035887062e-09	-7.54353374959e-12	8.30255412342e-09	2.47925775639e-09	-3.07774635527e-10	3.33129787447e-09	3.6984995621699997e-09	1.21862388355e-09	2.2882249600499997e-09	1.57992334009e-09	3.32365211235e-09	1.11664361558e-09	-3.52476271456e-09	-8.49817457058e-11	-8.09856346873e-09	-2.58049613881e-10	3.76899022633e-09	-2.04787590463e-09	3.0193470249200003e-09	2.89716847622e-09
ASD	-6.02026175157e-09	3.92050991784e-08	1.65131254988e-08	-9.34254582261e-09	1.4973149894e-08	3.5803029852e-08	-1.51319209849e-08	7.80850827934e-09	5.2663414091300005e-09	1.27978971895e-08	7.35538915399e-09	6.60167865198e-09	-3.51499282837e-08	-9.08171105311e-09	1.03050652924e-08	1.93106690792e-08	-8.04568759694e-09	1.5671638838100002e-08	8.528863765450001e-10	1.62208017731e-08
Sunburn	-5.38464151975e-10	-3.89728408291e-10	-2.26428556228e-09	-3.9759296089e-09	-1.68618908642e-09	-2.50078671225e-09	-2.10862730821e-09	3.33541474932e-09	4.95637644776e-10	-2.8016970287399998e-09	7.50586600693e-10	3.97231373064e-09	4.89771359787e-09	2.55291996988e-10	-4.52976461209e-10	-4.00637760111e-09	-3.6210582593599996e-09	3.739499304110001e-09	-1.4484140038e-09	-8.586883660420001e-10
Schizophrenia	1.3617195645500001e-08	-1.00178824971e-09	-1.3657719842299997e-08	-6.12462657404e-09	2.9191141078299998e-09	1.0818801795e-08	6.34274661518e-09	-3.8042213730800003e-10	5.41068561651e-09	-1.30405103787e-09	-5.45814857646e-09	-9.40834564242e-09	4.6151021589500005e-09	-5.22942200461e-09	-3.751827855569999e-09	-9.19344723502e-09	-2.0867526107799998e-09	1.23997514033e-08	1.4693901779700003e-08	1.2455986992e-08
