0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.3257115410000002e-09	-1.74800586081e-09	-1.9927635733e-09	-2.42641162146e-09	-1.8118776225699998e-09	8.52587513133e-10	-6.951449063160001e-10	2.1818938448899997e-09	1.24306937554e-09	1.4915365716900001e-09	1.91028630262e-09	1.2452875352199999e-09	-1.07329538341e-09	-2.9081838833299997e-09	-3.0453388295e-09	-1.5150193425499999e-09	-4.818835108699999e-10	1.19915733754e-09	1.9054702492e-09	3.14715995241e-09
YearsOfEd2	1.1221194429000001e-09	-1.20125191272e-09	-5.87128694899e-10	9.478655206150002e-10	-1.1591220123400002e-09	6.05130581131e-11	-3.0789683963100003e-09	-2.4055876680300002e-09	-2.00135973027e-09	-1.14900932734e-09	2.7272479339e-09	4.40448535384e-09	2.49689710667e-09	1.10551754512e-09	-8.761548240959999e-11	-1.87053304382e-09	-1.51702695545e-10	-2.15252511282e-09	2.1158542733299998e-10	-2.4071217440299997e-09
T2D2	1.60382150752e-10	1.14023634187e-09	2.1423622115200004e-09	1.7618251308799997e-10	-7.416285165970001e-11	-8.67801384014e-10	2.9400721719100003e-10	2.9988503766e-10	7.499577167280001e-10	5.24631079301e-10	7.61316833575e-10	-1.0811000852099999e-10	-7.41255498284e-10	-7.32481443007e-10	-1.3587200217e-09	5.588403336299999e-10	5.38391369025e-10	-1.0916215340500001e-09	7.509801974280001e-10	1.8276597138599999e-09
SkinColor	7.939669501479999e-09	1.6689324742e-09	-7.6740229274e-09	-4.05923064532e-09	-5.73369726188e-09	-8.74640941504e-09	-9.949270391779999e-09	2.1715445152e-09	-4.3890132066400005e-10	-2.6662622854e-09	1.04699564525e-09	1.14135407407e-08	1.41616733249e-09	7.991465412229999e-10	1.0219101139200001e-08	-6.24846099956e-09	-1.26039156786e-08	-9.58821181368e-09	-1.06127724177e-08	-4.85878016491e-09
Balding	2.2726147328e-09	7.60136715369e-09	2.35776114266e-10	-1.8212182342799998e-09	-1.2994434489899999e-08	-1.0319602328399999e-08	-2.75288920531e-09	6.633831087600001e-10	1.3398493299500001e-08	5.88516825325e-09	6.0432682849e-09	-5.44034156472e-10	2.1088603688000003e-09	2.1345825115200003e-09	-4.68509161623e-09	-6.14753920423e-09	-8.86805159077e-10	-9.799466775080001e-10	-1.19364718177e-08	-9.28508762414e-09
HairColor	8.6066957487e-09	-8.427159829600001e-10	-3.84183203926e-09	-4.27425437825e-09	-5.66596116255e-09	-9.61121301454e-09	-5.09179591016e-09	-4.02710095612e-09	1.1930475730699998e-09	-4.948797776980001e-10	-2.25228135314e-09	5.9847899654e-09	4.28921632654e-09	2.87561087266e-09	7.35841868602e-09	3.06947832849e-09	-1.08478684505e-08	-1.09874622113e-08	-1.2065107252200002e-08	-1.7114845107e-08
FVC	-2.63236529521e-09	1.22995188435e-09	6.40918839221e-09	-1.04123561124e-09	-2.9642359776099997e-09	-2.2649398113199998e-10	-1.19669983787e-09	4.1500428863200006e-09	5.99989702638e-09	1.88458315008e-09	1.21226527642e-09	-5.50888592866e-11	-2.04508328261e-09	-3.6801897373e-09	-8.34563225344e-09	1.78705545819e-09	4.0173829436399995e-09	2.12146292047e-09	3.3740107077e-09	4.20325519389e-09
ASD	2.2174084520299998e-08	4.5737306565599997e-08	-2.49977677247e-08	-1.75180946143e-08	-3.4694752346300005e-08	6.63651294722e-10	-1.1004313934100001e-08	1.5932362613499998e-08	-5.69538035672e-09	3.80901783215e-10	2.8496202229900002e-08	-5.04148461702e-09	2.1136155814099996e-08	2.15427320303e-09	-3.29412793337e-08	-1.3664674487e-08	-1.721248958e-08	-1.21018634712e-08	3.5801551584400004e-08	-5.95037436224e-09
Sunburn	3.84460811868e-09	3.98640299753e-09	-9.599052013430001e-11	-4.02971648187e-09	-8.078505510199999e-09	-4.08370353362e-09	-4.28642299453e-09	2.90969665491e-09	3.7521889030400003e-10	-1.50497524956e-09	3.7741113032e-09	7.93387196514e-09	2.13314416429e-09	-2.01951004197e-09	-1.24914187647e-09	-4.7464797070200005e-09	-6.59756022204e-09	-4.39989452319e-09	-5.59893306569e-09	-3.73448990806e-09
Schizophrenia	-3.53450064323e-09	-4.04008345412e-09	-4.374866587439999e-09	-7.1562722052699995e-09	-1.28180374999e-09	1.1427322363700002e-08	-4.6312506022e-09	-1.18637506632e-09	-5.91727434155e-09	-1.46333217807e-09	1.2417321710200002e-08	9.34168417117e-10	4.26261928416e-09	-3.15329387864e-09	-5.34925844578e-09	-1.04432713961e-08	4.76273271329e-09	9.65986695101e-09	1.64735017945e-08	1.70228109799e-08
