0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.9391459330499998e-09	-2.7120380307799997e-09	-2.02244048218e-09	-7.22066513722e-10	-1.36632693092e-09	2.66257073301e-09	2.50974392704e-10	1.92246621695e-09	8.742084206389999e-10	1.06629520489e-09	-1.90016196985e-09	-1.9603224692400003e-09	5.91515721845e-10	-2.0947865569699997e-09	-1.1165336909700002e-10	-1.05118727418e-09	1.8071703313099998e-09	2.33994679953e-09	-3.08739633182e-10	1.38296605218e-09
YearsOfEd2	-1.15097882847e-09	-4.6469857260399995e-09	-8.58711854238e-10	-6.843512012609999e-10	-8.988085429689999e-10	-1.59575217258e-09	-1.9547107658300002e-09	-7.038881874189999e-10	1.36663339783e-09	-3.75814743203e-10	2.15014083849e-09	3.5847733292300003e-09	1.9060113534600003e-09	-2.6514200487900004e-10	-1.47581630665e-09	-5.35558539168e-11	4.72118215125e-10	-2.33113056985e-09	-5.810315946269999e-10	-1.8557385342099997e-09
T2D2	-1.51980548591e-09	1.22846573836e-10	1.43827515002e-10	3.5152520663599997e-09	-2.1772532693100003e-09	-1.26793062378e-09	-1.2337274163600003e-10	-1.39776361802e-09	-1.8304520886e-09	1.40569776226e-09	1.68778460552e-09	5.10285894204e-10	-5.67071336502e-10	-1.23447265097e-09	7.691368070310001e-10	-2.0320462565699998e-09	1.4896312561899999e-09	6.08734922864e-10	4.37066380239e-11	-3.0236584202e-10
SkinColor	2.5880405101100002e-09	9.30226120336e-10	1.16977939946e-09	1.05809404174e-09	6.30608925654e-09	-4.24719324968e-09	-8.05285351007e-09	7.860577893230001e-10	5.36670209568e-10	-1.52187688172e-09	3.17585566852e-09	3.8317668044399996e-09	-1.33248206742e-09	7.58697110863e-12	7.84209832282e-09	-1.4201871017e-09	-4.49624164257e-09	4.89514885994e-09	2.23038065049e-09	4.9218862514e-09
Balding	-5.4797115912699995e-09	8.27023177823e-09	1.27066424005e-08	9.09874523298e-09	-1.5950744691799998e-08	-1.8062837491599998e-08	-8.923043765360001e-09	-4.51915786198e-09	3.96331397903e-09	4.10371416366e-09	2.13101364806e-08	1.4480596298299998e-08	-5.16323931079e-09	1.32343644455e-09	-7.66357147677e-09	-1.5873569641100003e-08	-1.2904063817799998e-08	-5.00817736905e-09	-9.383542092990001e-09	-9.96268175034e-09
HairColor	5.14438477265e-09	3.1528786983600003e-09	8.332240507879999e-09	6.695097885030001e-10	-2.0562700772e-11	-1.25284743085e-08	-2.76920781621e-09	-5.41186736854e-09	8.191921256030001e-10	7.333102945379999e-09	7.724881467219999e-09	3.55574589316e-10	-7.79371277653e-09	7.281688858639999e-10	7.67626351731e-09	-1.87829561281e-09	-3.6770240958000006e-09	1.22828788315e-08	5.6895682963200005e-09	7.3269813670900005e-09
FVC	-2.4389664170899998e-09	2.00216575713e-10	2.83557619424e-09	-2.30032207507e-09	-5.24206356317e-09	9.174205682289999e-10	6.664152211810001e-10	-1.03497963836e-09	4.84308641655e-09	4.07732504657e-09	3.83166833864e-09	-1.60467371867e-09	4.2666665189999996e-10	-4.27865087872e-09	-5.64445170113e-09	-1.62128641708e-10	6.5774972839e-10	-6.39155080043e-09	6.95552311519e-11	5.46157288662e-09
ASD	9.14041278362e-09	-4.64712329884e-09	3.2374979784e-09	9.729089949500001e-09	1.73731437784e-08	-9.914641151189999e-09	1.7013553987e-08	-3.05732944e-09	1.8530146120200002e-08	8.49815012629e-09	-1.1260931408700001e-08	-1.55093769364e-08	-1.50607968812e-08	5.12406767941e-09	2.7852635517900002e-08	1.35610222698e-09	-2.29300339442e-08	-4.0327756124e-09	-3.2045342313700005e-08	-3.46033734445e-08
Sunburn	2.33944873925e-09	2.36024134541e-09	2.3528006675e-09	-2.50694823829e-09	-3.23161176118e-09	-2.5784733019600002e-09	-2.44825439872e-09	9.869910646540001e-11	3.38539772751e-09	4.3191805431900005e-10	2.80875166758e-09	5.07111775554e-09	6.22771819115e-10	-3.3662504826899997e-09	-3.73561905207e-09	3.65833596531e-10	-8.142186615060001e-10	4.5152890311000005e-09	-1.00645779289e-09	2.47811111725e-09
Schizophrenia	-1.88051380921e-09	-1.9170640998399998e-09	-9.94170736284e-09	-8.28340227287e-09	3.5517165276699996e-09	1.11790147843e-08	-3.4722605002999997e-09	-1.2328800452799999e-08	-6.874734794779999e-09	-1.50962018081e-09	-4.65732958969e-09	9.880242244509999e-09	7.887608340829999e-09	8.07994495362e-09	-2.30567186331e-09	-1.57872483205e-08	-4.618360050919999e-10	9.1019993109e-09	-3.1215722383099998e-09	1.04466501684e-08
