0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	8.516397229869999e-10	-5.72299454148e-10	-2.84413463104e-09	-4.88868397975e-09	-1.94382148937e-09	1.86506734427e-10	3.95376087491e-11	1.54568514839e-09	4.2022111629800006e-10	5.57560797124e-10	3.3322657814199998e-09	4.1138103455300006e-10	-1.41639154843e-09	-3.3115030956999998e-09	-1.36318745278e-09	3.8773161519e-10	1.16472299855e-09	5.88515503187e-10	2.58899514348e-10	-3.1550838168599995e-10
YearsOfEd2	-1.1787082160599999e-09	-1.5147048191e-09	-4.08974809195e-10	-2.18724690126e-09	-7.74709472455e-10	1.18223911736e-09	-1.5216658203800001e-09	-2.5291045504799998e-09	-1.47922920703e-09	-1.21792901943e-09	2.16949033232e-09	2.0729903678e-09	4.805368136020001e-11	1.4219173335e-09	6.575484526689999e-11	4.43783075194e-10	-2.61145326249e-09	-4.31238250636e-10	5.11517145005e-11	-1.90163990231e-09
T2D2	5.49684176368e-10	6.65815838386e-10	7.394172227139999e-10	1.33670155191e-09	-1.95470494581e-09	-1.57003529788e-09	1.3258645701e-09	6.22722828964e-11	9.86190657713e-11	1.0446795337099999e-09	6.52166985191e-10	-5.16859460202e-10	-1.2561080292300001e-09	-1.40115655839e-10	-1.35388671711e-09	-6.67986681069e-10	1.60386948324e-09	2.27527091748e-11	2.41309743458e-10	1.69624515274e-09
SkinColor	6.85087059712e-09	3.19887368685e-09	-6.7375578302399995e-09	-1.6682215472000002e-09	-6.06392933473e-09	-8.91879946146e-09	-8.946651390330001e-09	4.266906214150001e-09	-4.89112556111e-10	-7.147865736049999e-09	6.95813285836e-09	1.03062213059e-08	2.6286347016599996e-10	8.13261423502e-09	5.31351052535e-09	-6.89820509228e-09	-9.120975020909999e-09	-6.88582466655e-09	-8.48118713664e-09	-3.40661777831e-09
Balding	-5.01222423212e-10	9.09094442957e-09	-6.19615955286e-10	3.5350150249300003e-10	-1.57022392084e-08	-1.35629504511e-08	3.5224177963500002e-09	-3.9121512007199997e-10	5.9497511305e-09	6.18221574455e-09	5.953005205899999e-09	3.43486809217e-09	-3.10421730708e-09	2.37478475211e-09	-1.04630503905e-08	-6.97594884693e-09	-9.50640293674e-09	3.3633324776999996e-09	-3.9000652536300005e-09	-6.34557010512e-09
HairColor	1.2869852247299999e-08	-2.18372432814e-09	-7.06523718338e-09	-2.28044397522e-09	-5.90904610626e-09	-7.526264532260002e-09	-7.3909562479200005e-09	-1.61404534659e-09	-1.35208865711e-10	-3.4727230794100002e-09	5.804617537030001e-10	1.10469412912e-08	5.76896695609e-09	1.1395050541e-08	8.806842393130001e-10	-1.30506949069e-09	-1.08123272245e-08	-5.65426492211e-09	-6.82404744464e-09	-9.984021036859999e-09
FVC	-2.4958298276e-09	-1.27971555996e-09	4.69822419483e-09	7.397887795789999e-10	-5.39379077943e-09	1.90412310196e-09	-5.62609676602e-10	3.97484793486e-09	4.50171905252e-09	1.26546054617e-09	2.73074336602e-09	-2.16257524294e-09	-1.09000608516e-09	-5.45835350331e-10	-9.69664272969e-09	9.062543695019999e-10	3.76499546802e-09	3.9150999949199996e-09	3.02467288213e-09	4.0968705319e-09
ASD	5.92897243715e-09	3.1841727947500005e-08	-2.19227838727e-08	-2.63144340813e-08	-5.51018142863e-08	7.014732228200001e-09	6.92277952793e-09	7.58051060042e-10	-1.22087438092e-08	2.1444341887e-08	1.18859473487e-08	-1.0607060026100001e-08	2.64922268342e-08	-5.72417035969e-09	-2.4141670307499998e-08	-6.0045862924e-09	-6.45303424734e-09	-1.76306578249e-08	3.10948107506e-08	6.5846955962499995e-09
Sunburn	2.9593157813200002e-09	3.76989400059e-09	4.82012146016e-11	-1.3598180970999999e-09	-6.6703614254199995e-09	-2.70866092438e-09	-4.04594129591e-09	4.55253745084e-09	-7.80503500433e-10	-3.32715896603e-09	4.850623697429999e-09	6.69795045775e-09	4.5118462731400004e-10	1.7351624150199997e-09	-1.7157959569200002e-09	-5.242513715209999e-09	-5.48176652974e-09	-2.50490731437e-09	-4.17673454102e-09	-1.39152201147e-09
Schizophrenia	-2.5886756518599996e-09	-5.04829332302e-09	-1.6963209755399997e-09	-1.46356920861e-08	-5.9550863430699996e-09	8.76025703736e-09	-1.05822609996e-09	4.801452848920001e-09	2.19319124959e-09	1.67950046635e-10	2.9827359873000003e-09	3.39740556127e-09	2.84733266721e-09	-9.92807697355e-09	-4.9392374365000005e-09	-1.00400675838e-08	-3.26374568978e-09	6.50562230786e-09	1.12843206698e-08	1.66825833583e-08
