0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-8.225366719839999e-10	1.5084517722100002e-10	-3.10972493248e-09	-4.36779917837e-09	-1.74213711144e-09	1.14458984464e-09	-2.4306617969500003e-09	1.8614371347e-10	-2.11756962637e-09	2.02387451948e-09	3.7531325246e-09	2.56248246795e-09	-4.66671666469e-10	-2.2058843150199997e-09	-1.5766393557499999e-09	-8.269346957480001e-10	1.1806323036300002e-11	-1.7472157399900001e-09	-1.4917451886e-09	1.87790000842e-09
YearsOfEd2	-9.283496316050001e-10	-3.18249693327e-09	-1.8176498995999999e-09	-1.04617969743e-09	-1.09210140085e-09	-8.261597747189999e-10	-8.363756566639999e-10	-3.05325861674e-09	5.76714781694e-10	2.79128865773e-09	1.24013053093e-09	1.2167907053e-09	-2.20913629797e-09	5.36268597113e-11	7.527997355000001e-10	8.845945482449999e-10	-1.37782329732e-09	-1.7271329644900002e-09	-8.93158694883e-11	-1.09487893858e-09
T2D2	1.26581247186e-09	2.10680980852e-09	1.20498282746e-09	-2.1910234227800004e-11	-1.39498505411e-10	-1.1337645694199999e-09	1.58829846101e-12	-2.05928557042e-09	6.07447875378e-10	1.43151651095e-09	2.78788352562e-10	4.3072738982199996e-10	-1.39659745202e-10	-1.04357275855e-09	8.20009547748e-10	1.2109526181e-09	-7.99397476195e-11	-2.33056808429e-10	-3.1796636283400004e-10	2.01316892795e-09
SkinColor	8.8502048306e-09	7.20853616354e-09	-2.54675720588e-09	-3.88061427e-09	-1.81611096375e-09	-4.28794423559e-09	-3.29616312914e-09	-3.4478509425899996e-09	-2.36030310071e-09	-7.497268040620001e-09	2.37141620605e-09	1.0095160138200002e-08	4.9857871899899995e-09	-8.613466941579999e-10	7.3415713819499996e-09	-2.9897858722699998e-09	-4.5908372632e-09	-1.95064229931e-09	-1.47476139637e-10	-1.97562441375e-09
Balding	-2.23822537195e-09	-9.03550979005e-10	-1.01813809576e-09	1.49823867846e-08	-9.71997424476e-09	-6.24631542725e-09	1.23792199552e-09	1.77555647531e-10	-2.18779632906e-09	-5.3779241875100005e-09	9.28845744529e-09	1.3882270855899999e-08	1.29230821838e-09	-3.7775453233e-11	-1.3424847567500001e-08	-1.56770396331e-09	-6.713245645300001e-09	-5.33143251259e-09	-9.5867757584e-09	-2.55661259561e-09
HairColor	1.45088662711e-08	4.31203484765e-09	-1.6720803020600002e-10	-3.5104298143600004e-09	7.71866722237e-09	-1.8457060613200002e-09	-6.3612898558899995e-09	-8.72184908192e-09	-3.5922045830300004e-09	-8.16300166575e-09	-3.04464926555e-09	1.17742488065e-08	5.73105174018e-09	2.4380277632800003e-09	3.5053511373000004e-09	8.79973762438e-09	-1.52392693569e-09	1.2339125714e-09	1.7989093430300001e-09	-2.20913642491e-09
FVC	-2.09091200797e-09	4.47636533345e-09	2.8575884754e-09	1.77936071822e-09	-3.28292247281e-09	5.813351210329999e-09	3.3055016515e-09	4.0097893174099994e-09	3.6210828420199998e-09	-9.67990270434e-10	-1.08236477877e-09	-3.39083510808e-09	-1.79781611056e-09	-4.1056008049199997e-10	-7.1063269998699996e-09	2.15801209387e-09	2.39505901886e-09	-2.60750997967e-09	3.61203258622e-09	5.58179407101e-09
ASD	-1.58830817549e-08	1.79020426735e-08	-1.46284079788e-08	-8.499682409080001e-09	-1.22324751376e-08	2.31354215747e-08	-7.46661913633e-09	2.0133431427e-08	6.780005290639999e-09	3.8887514658199996e-08	-5.02683537723e-09	-2.0976397370700002e-08	2.0951163933500002e-08	-3.23771838505e-08	-1.47942053782e-08	1.41867800183e-08	-8.14111033836e-09	-2.63799314685e-08	-2.4025104688900004e-08	8.03866964719e-09
Sunburn	4.87744421255e-09	6.41559757656e-09	4.0655357533400003e-10	-3.00491032097e-09	-6.3065647239100006e-09	-4.47699617844e-09	7.02643674133e-10	-5.842218199699999e-10	8.52411246184e-10	-2.03378496175e-09	3.02933951833e-09	6.156617065640001e-09	1.3468849714099999e-09	-2.47767698779e-09	4.47786692643e-10	-4.36788272113e-09	-6.13104183438e-09	-2.29169794042e-09	-1.08882121396e-09	-5.47250222974e-10
Schizophrenia	1.2591918470200001e-08	8.30867215313e-09	-8.70849772094e-09	-5.24048017374e-09	-5.99759480282e-09	8.92734220776e-09	-8.767905003429999e-10	-1.69776736771e-09	1.27855098955e-10	1.07396112634e-08	4.26390892153e-09	-3.10894774207e-09	-4.4758139444e-09	-9.35695670989e-09	3.6375976636200003e-09	-4.7264735252700004e-09	3.5442014168300002e-09	6.44157448303e-09	5.27338352475e-09	1.23362830184e-08
Anorexia	6.49542162572e-09	-1.90407139215e-08	-3.4940601388499998e-09	1.5941924113999997e-08	4.38640734136e-09	8.62170662395e-09	7.72611820228e-09	2.14273634991e-08	4.66375757377e-09	-9.84942502371e-09	-1.186185177e-08	1.50487461319e-09	-1.03935892668e-08	-2.38696017737e-08	2.87573699614e-09	1.1869775802299998e-08	8.16241928702e-09	-1.03940559419e-08	-1.39257735329e-08	-2.75866535111e-09
SmokingStatus	-8.43000577745e-11	-1.95356722065e-09	-2.47811364755e-09	-1.36075969569e-09	-7.88704770251e-10	1.20715742311e-09	-1.70324756728e-09	-2.6806049954300004e-10	1.92206463888e-09	9.474209850089999e-10	7.31652999285e-10	-8.70079889545e-10	-6.02804846176e-10	-2.4732156519e-09	1.12963500902e-09	-1.55974299529e-09	-1.7058607778799999e-09	-1.87711629638e-09	-2.69611882168e-10	-1.54342536371e-09
FirstBirthAge	2.49236424585e-09	3.21044990651e-09	-1.9182309907200003e-09	-1.91723340026e-09	-6.434996563919999e-10	-1.88844351221e-09	-1.27115452953e-09	-9.488865491319998e-10	-8.31447601073e-11	1.75349902909e-09	2.36549052485e-09	2.1338828218e-09	-1.15299846012e-09	-1.90766501294e-09	3.7837802894599995e-10	-1.68712593306e-09	-2.3902337893599997e-09	-1.55892666602e-09	-2.2470455263e-09	7.11253075344e-10
Tanning	9.861549496060001e-09	8.859416434010001e-09	1.46324903687e-09	-1.14759829873e-09	2.37848362926e-10	-1.48971322231e-09	-3.15553509514e-09	-5.59224985377e-10	2.88924455411e-09	-5.44710931932e-09	2.02307733072e-09	7.15634346267e-09	-6.33871138925e-10	-6.0483583401e-09	4.09919382462e-09	-1.4738617618e-09	-4.84732381639e-09	-1.62784228124e-09	-1.03758486449e-09	-1.92609768051e-09
NumChildrenBorn	-9.526556387330001e-10	-1.3696666814300001e-11	-2.01643191779e-09	-9.793967023430002e-10	1.1202469849499999e-10	9.64278917701e-10	-7.85139961246e-12	-2.7066568007499998e-11	1.30227068798e-10	5.261919438919999e-10	1.31692629679e-10	5.22280543767e-10	-7.57470990732e-10	-2.14076774206e-09	-3.0601360367200003e-10	-1.92653092454e-10	8.49142385165e-10	1.62467733318e-09	-6.189751220290001e-10	-9.86018528543e-10
DepressiveSxs	-6.72294640028e-10	-1.73563782854e-09	-2.2924354420200002e-09	-2.4076813876200003e-09	-3.0764701230000003e-10	-2.42920354576e-09	1.16690125195e-09	9.99569129696e-10	-3.30686930134e-10	2.9966347620000002e-09	-4.3692914196300005e-10	-7.489175528510001e-10	1.48278660638e-09	-5.70485710678e-10	-2.6037621621100002e-09	-6.831200365690001e-10	-6.92782299428e-11	3.8513084209900003e-10	-4.5965874778000007e-10	1.98387574491e-09
BMI2	-3.18524700825e-09	5.63876090627e-09	9.97917756319e-11	-8.32147895387e-09	-7.4266259696500005e-09	-3.8593507381700005e-09	1.9222596492600003e-09	-6.555070204419999e-10	5.41189899887e-09	7.438386721410001e-10	3.0322745421500003e-09	5.32033013869e-09	1.1186159132199999e-10	-3.81388890413e-09	-2.92978757861e-09	-2.49592129654e-09	-3.4734653821099997e-09	-1.4442977969e-09	-6.942026480619999e-10	-3.63704371641e-09
Neuroticism	1.5291932802300002e-09	1.66721391416e-09	-5.20745329223e-11	-1.08055033977e-09	1.4971963907400001e-09	-8.03447262872e-10	-1.8882778390700003e-09	-2.26759481533e-09	-2.84939697854e-09	1.99856974278e-09	1.21311923109e-09	8.574659895369999e-10	4.23012191273e-10	3.45158995568e-09	-1.02613242225e-09	-2.3880589327700004e-10	1.24869985702e-09	-1.7084353951999999e-09	-1.68697353922e-09	-8.80174807636e-10
MenarcheAge	-4.44705488034e-09	-4.35229698786e-09	-4.1001153933599994e-10	3.8321796478e-09	-3.34916445755e-09	1.39679786496e-09	1.6315657610299998e-10	8.87328661808e-10	1.18841676331e-09	1.65889647869e-09	5.29123272316e-09	-2.14564709879e-09	-3.6274094178199997e-09	-3.03973052847e-09	1.24532441005e-09	-3.1970345496399997e-09	1.32206884035e-09	-4.6307583487099997e-10	9.956016394239999e-09	9.925139043649999e-09
Heel_T_Score	-3.07603223837e-09	1.7837241262600002e-09	1.16106254485e-09	-3.7450460627099994e-09	3.5245182296999997e-09	-1.9953794082799997e-08	-5.44996819766e-09	4.49463792356e-09	1.0934924303e-08	5.248889755879999e-09	5.92974481401e-09	1.15993808826e-08	3.41586226243e-09	1.3134772929000001e-09	-1.1042625415200001e-08	-1.58228449379e-08	-4.5453471120399994e-09	-5.8377769239100005e-09	-5.21577527446e-09	-7.276424628679999e-09
Eczema	-4.45580320283e-10	1.22073839568e-09	3.2559096222e-09	7.169994310279999e-09	-1.90064746912e-10	-4.62958901272e-10	-1.8406161712699999e-09	-7.20528326998e-10	-8.22452424897e-10	-1.4188518496300001e-09	3.67146127121e-10	6.518821500150001e-09	-5.84335186671e-10	1.1116139282200002e-10	6.587288989760001e-10	8.205975636810001e-10	-1.31015282611e-09	-3.4937875374300003e-10	2.54426058354e-09	-1.31881144526e-10
SystolicBP	-6.65942681286e-09	-7.803162216289999e-10	3.92905607455e-09	9.96046982601e-09	4.305868444879999e-09	-5.54527258116e-09	-7.38043622183e-09	-2.75136413148e-09	-2.23546102075e-09	-2.48485054911e-09	4.4390623388599994e-10	7.35776136425e-09	5.99380157649e-09	3.65383813135e-09	1.0108685971200001e-09	-5.48664500426e-09	-5.31631352151e-09	9.948829878080002e-10	3.10995936668e-09	2.11596425324e-09
AutoimmuneDz	1.1720623566500002e-09	1.6851796846399998e-10	3.28218289465e-10	6.392882086659999e-11	-6.95953782574e-11	-6.25597602141e-10	-4.00725510545e-10	3.1513530746299995e-10	-3.1732319630900004e-10	-5.479419066290001e-10	6.44014501291e-10	2.92830697723e-10	-3.72205599635e-11	3.8319506715e-10	-1.4787914356500002e-10	3.33864881299e-10	-1.0187696442099999e-09	1.69461091854e-10	4.3960296923199993e-10	2.66604887465e-10
MenopauseAge	-5.12310579364e-09	-2.48226174791e-09	-3.00432481029e-09	2.09192928803e-09	8.005172687899999e-09	2.27017403844e-09	-1.50048601926e-09	2.53428122734e-09	3.1599155328400003e-09	9.921475270290001e-11	-4.32493109304e-09	-2.37967165792e-09	2.54794969641e-09	-1.46628923899e-09	-3.03321796355e-09	-4.785694528459999e-09	-1.71839515978e-09	1.24184224276e-09	8.15432790777e-09	1.0630023058e-08
WaistHipRatio	8.19432153908e-10	5.030584960399999e-09	6.49746216575e-09	-7.47585915487e-11	5.6531346768e-09	1.75259112566e-09	2.98479674479e-09	1.1529619089e-09	3.80914754183e-09	3.00419580136e-09	-1.3563234526799998e-09	-9.604297850089999e-10	-1.0569660000199999e-09	-4.06009922579e-09	-2.35721278821e-09	-7.4038460895e-11	1.62366435929e-09	6.15523725397e-09	2.7311115857099997e-09	1.34354108677e-09
RBCCount	4.47163613567e-09	1.4057800758899998e-08	-6.6901353232900005e-09	-3.9610997024400006e-11	-4.72351509042e-09	1.84438592317e-09	-1.51619609486e-09	3.86447450815e-09	3.02656576672e-09	2.6323681002799997e-09	2.94218880563e-09	-1.82926266501e-09	-7.298874267369999e-10	-4.67409661511e-09	-2.9534791621599998e-09	-1.24279138012e-09	6.0425512972300004e-09	-7.911223333680001e-10	5.61066234611e-09	4.68981025454e-09
EosinophilCount	1.6361763017799998e-10	1.06603535056e-08	5.13362530599e-09	1.74210463931e-08	1.30539219759e-08	-3.6414144780299997e-09	-5.4057851513700004e-09	3.36070285506e-10	-1.61895191603e-09	4.1332693692900003e-10	1.3330068660100001e-08	1.2335913819700001e-09	-7.00589874148e-09	-3.5506172900499998e-09	2.3430948919e-09	1.06845822252e-09	-3.60796612836e-09	-1.84375583249e-09	-2.40678643856e-09	-2.5535855078699997e-09
