0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.22139737576e-09	-1.78481554473e-09	-2.10809926456e-09	-1.05472129955e-10	2.90906908759e-10	-9.739114550519998e-10	-3.5006089614399997e-09	5.67689950746e-10	7.85907237522e-10	2.09537463779e-09	1.81446791437e-09	5.03041523262e-10	-6.46939319033e-10	-1.43060322001e-10	-8.57254141222e-10	-3.03583707192e-09	-6.99405994203e-10	5.957043175719999e-10	1.7003602742e-10	2.90621660613e-09
YearsOfEd2	2.31222843561e-09	-1.01364044041e-10	4.99642474125e-10	1.66026266137e-10	-2.26221351882e-09	-1.57863426765e-10	-4.57401165239e-09	-1.5051442818499999e-09	1.2487633942700001e-09	1.04883449322e-09	-3.5990489719300005e-10	4.3306369996799995e-09	3.0367815012e-09	-1.72252703279e-10	3.5642509286199997e-10	-1.50496696967e-09	2.50044698914e-10	-3.31968526578e-09	-2.2550731806600002e-09	-1.85743443009e-09
T2D2	-7.32836892401e-10	-1.22219606679e-09	-6.0876164589e-10	1.11982926963e-09	-6.2032757338e-10	-1.26856396744e-09	1.31068053882e-09	4.0824580406900004e-10	-3.66581324625e-10	6.77364713738e-11	4.5850577398800004e-10	-5.77277902402e-10	-1.30369955406e-09	-6.812950384010001e-10	-2.5719897465599997e-10	-4.7116843008500006e-11	-8.320957809510001e-10	-3.1592095968e-11	3.0718013334399997e-09	1.7669442439399998e-09
SkinColor	-4.0094351559300005e-10	6.36101811137e-10	-4.3775424313999995e-09	-2.77483338907e-09	1.08777623874e-09	-5.0571508924099995e-09	-9.669740646009999e-09	-2.4159805733800002e-09	-2.79623470892e-09	-2.0236362290100003e-09	5.840134287050001e-10	8.32477955569e-09	5.21813152577e-09	1.17012024835e-09	1.66961656688e-08	-7.3231934641e-09	-6.6239590281e-09	-2.3507725412099997e-09	-1.6974050878899999e-09	-1.82311220101e-09
Balding	-1.0702544737000001e-08	1.04115987365e-09	1.20181091725e-09	3.64917271298e-09	-1.20732046698e-08	-2.0228017118e-08	-5.13385635292e-09	1.10579408537e-09	8.68169993099e-09	6.41931966114e-09	1.4031250034600001e-08	1.11869466685e-08	-1.4580439376e-10	5.02143850175e-09	-1.0278391251799999e-08	-1.5790056086899998e-08	-3.3833899278e-10	-1.0432427316700002e-08	-1.41604066879e-08	-1.3954903827899999e-08
HairColor	-6.12197139696e-09	2.89084293829e-09	-1.07598985721e-09	1.0685444953700001e-09	-5.22935189832e-09	-1.3714389688400001e-08	-3.82405838547e-09	-1.0651338245700001e-08	4.61428678473e-10	1.42357234174e-09	3.7104574575000003e-09	1.6257405801499998e-08	3.1557901885899996e-09	1.62436700528e-09	1.38486238845e-08	-2.5914100853e-09	-1.48196894884e-08	-9.193922786429999e-09	-2.9006076870900003e-09	4.708484815910001e-09
FVC	-4.02052418608e-09	9.56284354523e-10	7.1649538048600006e-09	-3.58849047481e-09	-7.937023058660001e-10	4.48178704268e-09	2.78455873999e-09	1.74434735927e-09	-1.55949037759e-09	2.02431240963e-09	4.2734112042e-09	3.07895202091e-09	-1.66601949299e-09	-4.72269863596e-09	-4.71674070482e-09	-1.7120530075700002e-10	-2.08556664108e-10	-3.81099317641e-09	5.43709405407e-09	4.52276781714e-09
ASD	4.85146456092e-09	3.4446615942e-08	1.7044462187099998e-08	-1.81147089303e-08	1.26983744058e-08	5.876764444169999e-09	-1.9398612597499998e-08	-4.09538848046e-08	-4.2968299265599996e-08	1.2073697905e-08	2.8424072726599996e-08	9.870367317470001e-09	1.0017788624700001e-08	5.00528371777e-08	1.6660487097e-08	-1.6907526627799998e-08	-6.24507666437e-08	-7.43534371314e-09	1.63675158814e-08	-4.1492776532e-09
Sunburn	9.57661971191e-10	2.88686603296e-09	1.11896943216e-09	-5.27887183178e-09	-5.46618197217e-09	-2.93510856325e-09	-3.06347473752e-09	-1.07537841204e-09	1.06323630448e-09	3.40643168868e-10	2.9017329076099998e-09	5.62628390552e-09	2.27865386839e-09	-4.5001971473400005e-10	1.6518515114e-09	1.1960812336799999e-10	-4.19294094288e-09	-1.18338883324e-09	-3.98052554169e-09	-2.86283569909e-09
Schizophrenia	-3.57860393826e-09	1.91630726208e-09	1.64483054054e-09	-8.10094214597e-09	-9.80194095741e-09	1.03700228831e-10	-8.59487890378e-09	-1.30412666832e-08	3.55249694533e-09	8.6028505463e-09	1.1540281741399999e-08	4.24512512402e-09	1.44724060429e-08	-3.4542682609300005e-10	-9.29516905015e-09	-1.4297695195200002e-08	-4.28425888143e-09	-1.3218660386e-08	3.39169949493e-09	5.44451167151e-09
Anorexia	-9.06457000158e-09	-4.80306694139e-09	-7.30858558837e-09	-1.9079824279900002e-08	-1.6786589236e-08	-7.59691282173e-10	1.2566279417200001e-08	1.85229063235e-08	-3.95346908086e-09	2.2700312523899997e-09	1.3041093945800001e-09	5.35460184031e-09	4.14952383865e-09	-1.87291066069e-08	-1.4359443677500001e-08	2.8351134521200002e-09	-9.061603661310001e-09	-1.7148694348499999e-09	-5.218652132109999e-09	-7.967616926389999e-09
SmokingStatus	-8.565698750569999e-10	7.573361421560001e-10	-2.65439429445e-09	-1.36570788896e-09	-1.04889710989e-09	-4.87278545087e-11	8.714081856419999e-10	-7.209374467079999e-10	-1.0227684549600001e-11	2.94330941363e-10	-1.25682354829e-10	2.11830414619e-09	1.38912519372e-09	-3.12644227723e-09	-2.84907575759e-10	-1.37700475101e-09	-1.1744403445299998e-10	-3.90469822059e-09	-2.31032476762e-09	1.1395204454800001e-09
FirstBirthAge	5.53180378809e-10	1.7827813503699999e-09	-2.3206236335800002e-10	4.98472536035e-10	-1.91015485682e-09	-1.2805117594100001e-09	-1.58744081745e-09	-4.689450066319999e-10	8.660795841290001e-11	1.3583217645999999e-09	1.74614332229e-09	1.10837681612e-09	-4.0959018327e-10	-7.413716142999999e-10	2.6431410959900005e-10	-2.4098338492400002e-09	-1.71159454483e-09	-1.5002642907700001e-09	-1.78684773889e-09	-4.5164156478199996e-10
Tanning	-2.87000184049e-09	2.83288623566e-09	-5.00654178059e-09	-5.71468746558e-09	-1.47623624862e-09	-3.810066295570001e-09	-3.21630054219e-09	-2.81842945252e-09	1.1747121340999999e-09	-4.83537065062e-10	-5.15581282168e-10	1.0922649525e-08	3.50737401351e-09	-1.31895866403e-09	7.50939725747e-09	-3.18251489413e-09	-7.54963574913e-09	-2.46250025243e-09	-5.19597791018e-09	-4.551977101199999e-09
NumChildrenBorn	7.467089581760001e-10	1.0379392492100001e-09	-1.03516562435e-09	-9.11770803738e-10	-1.20620820041e-09	2.58465586434e-10	-7.035842276980001e-10	-4.48267737708e-10	4.4880245722900005e-10	-2.94777091657e-10	8.44027581735e-10	1.5091430507099999e-09	5.09242223726e-10	-1.9394104643800003e-09	-1.06649126461e-09	-1.1314317021600001e-11	5.08736420397e-10	1.05106072916e-11	-2.21737183601e-09	-5.61545850684e-10
DepressiveSxs	-1.104199423e-10	-8.10830537314e-10	-2.6214995833799997e-10	-3.60762350096e-09	-2.01534457666e-09	-2.12268024369e-09	2.75056464119e-09	-1.48292819901e-09	-1.9152680658e-09	3.1627185075599998e-09	1.77367371978e-09	-1.51094879656e-10	-6.10775142325e-10	-3.4145728017e-09	1.31218271886e-10	1.25117194418e-09	1.04074252817e-09	-1.55255144923e-10	-2.21334984477e-09	5.9676970061e-10
BMI2	4.77695519134e-09	1.57517731823e-09	4.09523299169e-09	-6.96468769148e-10	-5.28291878159e-09	-3.54548408544e-09	2.2001974159400003e-09	1.2529531782500002e-09	8.381352553360001e-10	5.94232370597e-09	8.86244246293e-10	-1.51743583238e-09	1.29591522064e-09	2.1606259883799998e-09	-3.42769398926e-09	-3.02939629135e-09	-2.36708440104e-09	-3.9388309393e-09	3.02499761976e-09	2.8912341833299998e-09
Neuroticism	1.07086965605e-09	1.38293548664e-10	2.03448860812e-09	1.6592722507e-09	-1.43748044733e-09	-4.761149394809999e-10	-2.48197428803e-09	-6.82834123885e-10	6.92500837085e-10	-7.88639423681e-10	2.55796775409e-09	2.3540623669100003e-09	1.1583809533599999e-10	4.10267268664e-10	-1.5440222359999999e-09	3.48122340507e-10	5.42717573415e-10	-2.8445602751499997e-09	-1.73334514024e-09	3.5352185578300005e-10
MenarcheAge	-2.61580019235e-09	5.45342691005e-09	3.4481110639100002e-09	-5.52677781217e-09	-4.41021386234e-09	-6.7647536592600005e-09	-9.957088544350001e-10	7.038778501620001e-09	3.47924767208e-09	9.62352670644e-09	2.38091057802e-09	9.097329842420001e-10	1.92640169775e-09	-5.55878489173e-09	-6.22008712891e-09	-1.7057260004e-09	-3.91306731782e-09	-1.45334662079e-09	9.201080321080001e-09	1.32965438591e-08
Heel_T_Score	1.36522140382e-08	3.09129042969e-09	8.984155111600001e-10	-9.795843768170001e-09	-2.0436176508299997e-09	-2.25504750123e-08	-1.09205257146e-08	1.25422419369e-10	1.91279812969e-08	1.65537581174e-08	5.45793048666e-09	8.29297823603e-09	3.1732510845199997e-09	-1.70355822741e-10	-1.42370427592e-08	-1.28705678655e-08	-4.52617272756e-09	6.47346641258e-11	1.12696159906e-08	7.72984075361e-09
Eczema	-1.5364582272199999e-09	4.92315543635e-10	6.246558849169999e-10	-1.5190572638e-09	-2.1028884231600003e-09	-4.79110794877e-09	-4.71755020569e-10	-9.78963118507e-11	1.98171727888e-10	-1.03486110438e-09	2.21468206713e-09	1.25401405122e-09	5.02608043446e-10	1.9880018531e-09	-1.17506112423e-09	-8.28679906844e-10	-3.78686487836e-10	-1.44574098881e-09	-3.15212467463e-09	1.0880851486400001e-09
SystolicBP	-8.76061927241e-10	-6.43403123835e-10	2.78737145463e-09	3.3651634038099995e-09	-2.98494153456e-09	-1.03475630076e-08	-7.06672349317e-09	-4.4022588656699995e-10	1.44825791395e-09	1.42130617229e-09	7.300106133600001e-09	7.082048976530001e-09	4.06699078493e-09	3.0653008808000002e-09	-5.19253049009e-09	-5.24116225681e-09	1.1388376126900001e-09	-5.93312289801e-09	-4.967224334300001e-09	-1.4430122057499999e-09
