0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.1670265349399997e-09	-2.43853597236e-09	-2.93791721449e-09	-1.13886269065e-09	-9.61882962525e-10	1.08910069671e-09	-1.24573773741e-09	1.09344742588e-09	1.1116909535199999e-10	1.3968547466499998e-09	2.5363149762400002e-09	9.70353383205e-10	-8.273166240139999e-10	-2.3010434863000002e-09	-3.29986835573e-09	-6.78271809086e-10	-2.89997538192e-11	4.34085748795e-10	-1.26215307918e-09	1.14299834237e-09
YearsOfEd2	1.1081522105599999e-09	-1.8462059325e-09	6.67569047508e-10	1.53804934561e-09	-6.86547935885e-10	1.1006462759400002e-09	-1.86737251936e-09	-3.2169181529100002e-09	-5.921548522189999e-10	2.65777337838e-10	2.8143042613899997e-09	1.9575252217e-09	-1.9533901993900003e-10	1.19010415171e-09	4.45706587677e-10	8.063401677730001e-10	-1.17523347072e-09	-1.8591258638500002e-09	-2.5667294290500004e-11	-3.00480361197e-09
T2D2	4.1159983935500004e-10	1.11346462563e-09	1.5082012380899999e-10	5.566257195050001e-10	1.9563374097200002e-10	-1.0779403593399999e-09	-7.76459281582e-11	-5.94521027966e-10	9.483032982370001e-10	1.2153367822999999e-09	6.52776117296e-10	-1.9218663602e-11	-8.493526187419999e-10	1.4369501946400001e-11	-1.22518424816e-09	1.11334410897e-09	1.2763112423699999e-09	-1.4708671163200001e-09	6.27251168359e-10	1.46439772477e-09
SkinColor	8.01270860411e-09	3.27026933377e-09	-5.48346869341e-09	-2.6480946309300002e-09	-5.40189457865e-09	-6.66160953628e-09	-1.10197770921e-08	2.45577007466e-09	6.93260807542e-10	-1.22348937457e-09	3.47905747611e-09	1.10381248718e-08	4.73411503437e-09	3.21429342966e-09	-3.54720032448e-11	-8.11912746759e-09	-8.99447838154e-09	-2.36788696441e-10	7.32467774726e-09	-4.70297675976e-11
Balding	3.0939631261999997e-09	6.421893733199999e-09	7.0993001976699995e-09	3.19554477978e-10	-1.5661132976800002e-08	-1.06257424515e-08	-2.1602655158000003e-09	6.80007837227e-09	5.70755726668e-09	4.9342565320699996e-09	-8.82100727825e-10	5.15348071615e-09	4.1169674593e-09	-5.81645777992e-10	-3.4006153898800002e-09	-3.69245096646e-09	-8.950668716099999e-09	4.1432452299500004e-09	-9.47363101946e-09	1.31962716844e-09
HairColor	1.08912982127e-08	-5.66669784949e-11	-8.389452716490001e-09	-1.10582683074e-09	-9.019770964700002e-09	-2.49461496655e-09	-6.68474013475e-09	-6.69304191677e-10	2.31747065235e-09	-3.5441450455699994e-10	4.34714585888e-09	9.68299560467e-09	2.94153368743e-09	-1.06513822854e-09	5.18525844229e-11	-1.1348144521e-09	-7.0974754050500005e-09	9.237779196439999e-09	-2.96614016431e-09	-3.9735996298500005e-09
FVC	-1.12052613082e-09	7.14986048838e-09	5.30885249797e-09	-9.42868375505e-10	-4.18131378266e-09	3.0756049331599998e-09	3.3389178862399996e-11	9.3506153963e-10	3.23395673536e-09	-6.97758358732e-10	9.57882145108e-10	1.05955359072e-09	-9.702487719e-10	-1.0523600817200002e-10	-7.19206024701e-09	1.38691512355e-10	1.96120576132e-09	-8.59660741753e-10	8.13312410276e-10	3.60146363112e-09
ASD	1.65321779666e-08	3.728084595280001e-08	-2.73481064883e-08	-1.51567403459e-08	1.5703417250299999e-09	1.10672094973e-08	6.87356739046e-09	1.3983608822600001e-08	2.03648162621e-09	3.21816481382e-09	3.718536265980001e-08	-1.99157125601e-08	1.13628497903e-08	-1.18311902116e-08	-3.6749788933199994e-08	1.21691281442e-08	-2.63031469228e-09	-1.17188946505e-08	1.7494650957900004e-08	3.18739986986e-08
Sunburn	3.09398973458e-09	5.01158568528e-09	7.2499353247e-10	-3.08013161146e-09	-7.32886542051e-09	-4.09900485479e-09	-5.45650685345e-09	1.348659168e-09	2.4827954748000005e-09	-1.0218307019500001e-09	3.4202747531700002e-09	5.03958757894e-09	1.86604324288e-09	2.786122418e-10	6.82866457638e-10	-3.66617287854e-09	-7.74434367843e-09	-4.33681168593e-09	1.67348947231e-09	-4.94653378461e-10
Schizophrenia	6.94753365705e-09	5.41925543825e-09	4.877366757399999e-09	-1.03672644126e-08	6.399859802780001e-10	4.46442867622e-09	-1.06151418952e-09	-8.74753437776e-09	-4.85235622154e-09	7.297373908589999e-09	6.65954914852e-09	-5.48405140013e-09	4.80011696702e-09	6.67182187244e-09	-5.11902233707e-09	-1.27573901866e-08	1.8355646886100001e-09	1.27431524846e-08	1.45473485115e-08	1.79148648616e-08
