0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.8645887435400003e-09	-2.5670139329799998e-09	1.27595613869e-09	-4.82633642383e-12	-1.9157276174199998e-09	4.64204658806e-10	-9.90223539912e-10	3.4800920122699997e-09	-6.6626045942e-10	3.7050160809399998e-09	5.43184272223e-10	-4.52739604851e-10	-3.24412660839e-09	-1.7725793681899998e-09	5.984332127540001e-12	-1.73718324922e-10	-1.0708199196e-09	4.74651186242e-10	2.32098689203e-09	8.7632801442e-10
YearsOfEd2	2.0481404966099997e-10	9.8117408919e-10	3.1965108393099996e-10	-3.41634373367e-10	-9.26976466869e-10	-5.653767678999999e-10	-2.6534131305e-09	-1.06721959783e-09	-3.49286645399e-11	3.60292472094e-09	8.30244602108e-10	2.18228664307e-09	-1.26714875822e-11	6.056872845269999e-10	-2.00165984221e-09	1.2399102388e-10	-6.8143213132e-10	-1.7801967961800002e-09	-1.40882826363e-09	-2.49336630029e-09
T2D2	1.16135272403e-09	-9.3199351356e-10	-8.861923024939999e-10	2.36627735904e-09	-1.31599016492e-09	5.43386255329e-10	-6.47703465348e-10	-2.04253748435e-09	3.22175615073e-10	3.32382089632e-09	5.72271310516e-10	-1.48376470286e-09	-4.5929597809699995e-10	-1.00211778498e-09	-1.9962066092099998e-10	1.12654154641e-09	-3.50458326487e-10	-5.71317134509e-10	-2.754116925e-11	2.12828628518e-11
SkinColor	1.2845524608e-10	2.5573004291900002e-09	-2.68479654856e-09	-1.78422712573e-09	-2.07691456343e-09	-3.977068547249999e-09	-8.67449623592e-09	-7.02002966498e-10	-3.4283052510399996e-09	-9.64447977723e-10	3.97435719427e-09	5.30537678793e-09	-3.18963668501e-09	1.14923569841e-09	1.3259473855e-08	-5.49720425759e-09	-8.883858791150001e-09	-6.0415821217200006e-09	7.37841561446e-10	7.0768702338499994e-09
Balding	-1.6424727786599999e-09	-2.91569454949e-09	3.5869470200099996e-09	4.87498703764e-09	-7.32447073527e-10	-6.8379183627700004e-09	-1.91410157995e-09	-6.6298591171099996e-09	-2.92657427247e-09	6.526358484309999e-09	1.87361718941e-09	3.37375646985e-10	-5.22678292923e-11	3.4420517902900005e-09	5.9670927378799995e-09	-9.53107195144e-09	-6.7620281597599995e-09	-2.54327397097e-09	-9.846811046850001e-09	2.3022904182099997e-10
HairColor	5.14439499721e-09	4.13978650259e-09	-3.4956113116300003e-09	-1.2986274298900001e-10	-2.90373338249e-09	-2.19715645444e-09	-1.02736799371e-08	-1.03397831796e-08	-6.82289921338e-09	-4.2757090643e-09	-2.49394201383e-10	-4.31605516551e-10	4.02775188586e-09	5.20506108328e-09	1.48845606669e-08	-5.1743518974799994e-09	-1.44054813891e-08	-5.43511271352e-09	-2.90427239498e-09	7.90532674189e-09
FVC	-3.85507748917e-09	4.06694245025e-09	2.14397182038e-09	-4.00341433352e-09	-4.75898739803e-09	2.48743874747e-09	3.3802910693899995e-09	-1.25968222247e-09	-1.50193185137e-10	6.60774982858e-09	2.41822163686e-09	-1.22920081356e-09	9.645538004e-10	-6.39436337178e-09	-4.94273067125e-09	2.19312423557e-09	3.79433830952e-09	-1.8338778892299999e-09	2.87205479325e-09	2.83569896628e-09
ASD	2.32102212885e-08	-3.4000597318199998e-09	-5.36745444177e-08	-7.35153403459e-09	-1.60694656028e-08	-1.4437205103299999e-08	-1.26564059197e-08	3.5194870161e-08	6.84591917392e-09	1.8110529669499998e-08	3.47203338556e-08	9.90373647526e-09	-2.55112715738e-08	-2.1058876737999998e-08	2.04607830938e-08	-1.29163550612e-08	-3.28727940689e-08	-2.0696602487599997e-08	1.32025659674e-08	-4.6617279965e-09
Sunburn	-1.02742041031e-09	2.9807115310400003e-09	7.2191777746e-10	-3.0515458561e-09	-5.2070011346199995e-09	-2.2501414139899997e-09	-2.54284278114e-09	9.695654014380001e-10	3.08361681025e-09	2.0006447534000003e-09	1.81495812033e-09	3.01543311553e-09	-1.3613789275599999e-09	-2.9580851636300002e-09	2.42076205912e-09	-3.90775956513e-09	-6.71003558033e-09	-5.09079391148e-09	-2.23906513305e-09	2.5614611443000005e-09
Schizophrenia	-3.96400945071e-09	-5.75496887023e-09	2.91571886714e-09	-1.10237092494e-08	-4.9922346082900004e-09	7.46182395636e-09	-5.66547373829e-09	-8.37934471591e-09	-9.914776051710001e-09	9.419645593940001e-09	1.72432943292e-08	5.41154259169e-09	7.65323642226e-09	-7.23938702226e-09	-1.39579050648e-08	1.0203788461200001e-09	4.11512753215e-09	1.24040863589e-08	7.403325829860001e-09	-1.29874166782e-09
Anorexia	3.01263602074e-09	-1.09430364395e-08	-9.40887152504e-09	-1.43072232885e-08	-1.3497143438299999e-08	-6.61942169782e-09	3.4453578751400002e-09	2.67346597583e-08	4.4819276345799994e-09	-1.9508321168099997e-10	-9.91486416694e-10	-4.74291370899e-09	5.903329961e-09	-9.13139347249e-09	-1.6662776689e-08	-4.44367757528e-09	6.06990227053e-09	-3.8352532022100005e-09	-4.05825654006e-09	-2.00322660198e-09
SmokingStatus	3.7907486846599996e-10	-1.10197206779e-09	-7.610384102030001e-10	-2.86737830366e-09	-9.93065351448e-10	1.08612703995e-09	-5.77941710142e-10	-1.9319236255e-09	-1.2690574696399999e-09	2.07829620138e-09	-2.6905752879899997e-11	3.52688945166e-09	-1.34837157564e-10	-2.2433356942200003e-09	-1.58874613205e-09	7.65061253957e-10	-1.94355626072e-09	-1.3567064160700001e-09	-2.0587658949499998e-09	-1.91110845616e-09
FirstBirthAge	1.9362542744000003e-09	8.20428234042e-10	-2.93394793085e-09	-5.84480283207e-10	-1.15779295597e-09	-6.663926160489999e-10	3.08109077904e-10	-9.75820776154e-10	6.897441706180001e-10	1.8046354628299998e-10	3.0118790158400003e-10	1.22889830684e-09	3.9229778144999996e-10	1.7591993595099998e-10	3.5463639621599996e-10	-1.40259732648e-09	-1.2765339579700001e-09	-1.66659588093e-09	-1.1939874232200001e-09	8.62289976671e-10
Tanning	1.47742172527e-10	1.83677004964e-09	-1.80094779969e-09	-7.45680270691e-10	-4.37487826845e-09	-2.5764709696199997e-09	-4.528592427269999e-09	1.3029659853599999e-09	2.65249823136e-09	-3.6354672456699994e-10	3.98807322323e-09	5.26240102372e-09	-3.9389232705e-09	-5.62113463944e-09	5.03389977258e-09	-4.69502318953e-09	-6.29223109179e-09	-3.94684339052e-09	8.986389414760001e-10	2.9353368171500003e-09
NumChildrenBorn	-3.4285598775e-10	-8.42173442902e-10	6.43989715143e-10	-6.7775586466e-10	-7.11687387108e-10	-4.66642396674e-10	-2.2276972571200002e-10	8.53866386586e-11	9.658832476710002e-10	1.51887111242e-09	2.31783266528e-09	8.37064952127e-10	-6.42139022287e-10	-1.66710717695e-09	-2.10769963941e-09	-9.78981216341e-10	1.4469532972600002e-10	1.0656135148800001e-09	9.93921448499e-11	2.1510952135799997e-10
DepressiveSxs	3.25610701866e-09	-1.8222785267099999e-09	-6.30095701592e-10	5.37834246928e-10	4.29031501782e-10	-2.3847866798799996e-10	-2.23127978835e-09	1.11225267285e-09	2.0009587424800002e-09	1.66174318783e-09	3.44450339597e-09	1.2629435957200001e-09	-3.69287368714e-09	-8.07105929434e-10	-3.3294302152199996e-11	2.1072396561700003e-09	7.444429219239999e-10	-8.875109146749999e-10	3.3118639038e-09	3.17074624508e-09
BMI2	-3.8214248730899996e-09	-6.827181322970001e-10	-5.51258904079e-09	-1.90725240262e-09	-3.62479156607e-09	-2.5732764274999997e-09	-2.57437428027e-09	2.5574116202399998e-09	5.90742416055e-09	8.68001877012e-09	1.65322770932e-09	-5.12633946529e-09	-9.167210390450001e-11	-6.933282320020001e-09	-2.3807531975200003e-09	-1.02739918935e-09	-1.6722184010199999e-09	-1.51235491566e-09	-4.39787626958e-10	-1.79206821353e-09
Neuroticism	1.89784056889e-09	-2.70044794721e-10	2.6026184088000004e-09	4.5639862352599995e-10	1.6184259872000001e-09	-1.63325119921e-09	-9.50619967931e-10	-5.406598876209999e-10	5.43050764763e-10	9.05255050205e-10	1.4620228843699998e-09	-2.9930836865500003e-10	-9.11893516052e-11	3.6569316726199998e-09	-9.61279882156e-10	8.56080185531e-10	-2.9222596318100002e-09	-9.11625963503e-10	-9.145984818060002e-10	-6.530014195830001e-10
MenarcheAge	3.04569432276e-09	-2.71078496331e-09	-4.31278429408e-09	-2.72637938774e-09	-3.28943146847e-10	-5.02206520139e-10	2.73368922592e-09	1.95257580183e-09	-2.71461548879e-09	2.40611500289e-09	4.19049230294e-09	9.36782197436e-10	-1.88760735092e-09	-8.38661375381e-09	3.55525282675e-09	2.1536758270599997e-09	1.14126322087e-09	2.0890527689e-11	5.05284042017e-09	2.10141294092e-09
Heel_T_Score	6.821237106359999e-10	-1.37388185685e-10	-8.30137380214e-09	-1.04417296464e-08	-1.23573729555e-08	-5.7063512446099996e-09	2.57379724761e-10	7.286244820270001e-09	4.8197880527900005e-09	-1.53206296411e-09	6.985266235940001e-09	4.650177834e-09	5.99926073334e-09	1.88737342798e-09	-1.33190903747e-08	-2.36146001692e-09	-1.9953135237e-09	-1.04105202146e-09	7.739674252500001e-09	1.4923100302899997e-08
Eczema	2.3374668098499997e-09	3.22299580206e-09	9.5954490029e-10	3.0830858697700003e-09	-2.51345046879e-09	-1.7668296039299999e-09	-1.55506260189e-09	-2.80219504125e-09	-1.5858534084e-09	-1.78044205508e-09	4.29915761383e-10	2.61000516945e-09	1.7264895397999998e-10	2.52788961611e-09	2.46060295221e-09	3.02037747328e-09	-7.78539104062e-10	-1.28256894438e-09	-4.87573355765e-09	-2.56090058594e-09
SystolicBP	1.1933456025e-09	6.85839345554e-10	-5.58159222247e-09	-1.61462687212e-09	-4.6122035178e-09	-5.59136268591e-09	-6.116266588669999e-09	-3.83577274878e-09	-4.48475645453e-09	1.3079382037999999e-09	4.193883132590001e-09	4.82064315093e-09	6.8237918223399996e-09	3.3746173732600004e-09	5.59210056002e-10	-3.0276087936299996e-09	-3.8329299176e-09	-1.04640519543e-08	-5.43480217801e-09	5.10215475072e-10
AutoimmuneDz	3.2586376713799995e-10	7.63024266975e-10	-3.28703531271e-10	2.75037897279e-10	1.3666929551e-09	1.19897575917e-09	3.44324596742e-10	-4.19737098008e-11	-6.2229558302e-10	-5.455817714e-10	-8.806226318690001e-10	6.47899038085e-10	-6.597813911730001e-10	-2.46487674221e-10	-3.4569051077e-10	5.61223746044e-10	8.62377577513e-10	8.346288784039999e-10	1.75708667238e-10	7.58731886499e-11
MenopauseAge	-1.12607203901e-09	-4.3436047056599995e-09	2.0839363417e-09	-6.04691144396e-10	1.0349194299099999e-08	2.98056339383e-09	-7.0126053223499995e-09	9.383391482419999e-10	5.15896654398e-10	1.65803826259e-09	-2.85489247667e-09	-2.74560371234e-09	2.12595186415e-09	-5.95698802472e-11	8.4618276257e-09	1.23197901866e-09	-4.2129707476999995e-09	3.47614927011e-10	5.23512943626e-09	4.49691419182e-09
