0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-2.3773396475699997e-09	-1.94605820497e-11	-1.6990283669799998e-09	-2.63558138498e-09	1.38939351183e-11	1.20278986967e-09	5.223081845930001e-10	7.341368731000001e-10	1.60709873661e-09	1.12439065863e-09	2.1325602632399997e-09	-1.68900035806e-09	-2.66630297393e-09	-2.24023810374e-09	-5.43994325694e-10	-2.7396592332e-09	2.14337160341e-10	9.7483248992e-10	8.14088365953e-10	3.89750827953e-09
YearsOfEd2	-1.45683606396e-09	-2.5602512996800003e-09	-1.2414843091099999e-09	-3.47278747295e-10	2.15344558198e-09	-1.04988300391e-09	-2.81693662148e-09	-1.0189081644e-09	-3.27838813902e-10	-5.24089544973e-10	2.6486733303100003e-09	3.75626941157e-09	2.94323614443e-09	4.33332600146e-11	-7.849451624160001e-10	-5.81453540828e-10	-1.44916033635e-09	-1.41554714889e-09	-2.73546924226e-09	-1.69128052925e-09
T2D2	-1.2963098969e-09	-1.93877009223e-09	-1.26181580328e-10	1.23833905721e-09	-3.34620610702e-10	-1.1367980858100002e-09	-2.1939570806400004e-10	3.18094277581e-10	-1.05081184496e-09	-4.76714705122e-10	1.0235733972299998e-10	-4.1402212740300004e-10	4.2056145395400004e-10	5.45313047299e-10	-1.21185043902e-11	-1.16140503143e-09	-1.12048493503e-09	-6.92755740505e-10	-9.67735499707e-10	-2.7101449912299997e-10
SkinColor	-4.456272941219999e-09	1.3730350518e-09	-4.614988232e-09	-2.2240148189e-09	-1.02112266326e-09	-2.7964935711599997e-09	-8.12043661406e-09	-4.4692537576599996e-10	-5.64743986549e-09	-6.6151531887e-09	-4.0606696960500005e-09	1.39326522109e-08	2.56243284492e-09	3.7137191389300003e-09	1.81889292595e-08	-5.44208801699e-09	-7.29812234348e-09	-2.3395263999000002e-09	-8.82437267207e-10	-1.7127990038699999e-09
Balding	-5.02035160956e-09	-6.61632864021e-09	-5.50769089753e-09	-2.9332046718900004e-10	-1.41264861514e-08	4.69418803137e-09	4.8782724201e-10	-2.85120739544e-09	-1.81178006003e-09	7.14450496505e-09	9.15009331244e-09	-1.42951256783e-09	2.17430763969e-09	-3.10601596427e-09	-5.22530267473e-09	-6.76466096173e-09	-1.0810842358499999e-08	-3.56856440269e-09	1.7570086146299999e-09	-3.73262434609e-09
HairColor	-1.22255082733e-08	-5.14418284401e-09	-7.171036828310001e-10	4.24181442648e-09	-6.151186536469999e-09	1.80773169934e-09	-1.1290503736e-08	-7.7619624185e-09	-8.216726002680001e-09	-4.131014255309999e-09	6.43279858939e-10	1.3389493867200001e-08	5.39607874897e-09	9.789205126189999e-09	1.49153798377e-08	-2.06442314067e-09	-1.53884979866e-08	6.74162846747e-10	-1.64592246544e-09	-1.61177743093e-09
FVC	-3.17014455802e-09	3.2803924762e-10	1.40641438973e-09	-2.34888634324e-09	-1.42953421295e-09	-2.19605846377e-09	1.17339762267e-09	1.6888275685400001e-09	5.53634635479e-10	1.84104642503e-09	3.8850139523000005e-09	1.85310592972e-09	3.70969817041e-10	-1.19393423397e-09	-6.2156619866899995e-09	-1.3435099244e-09	-6.65584113092e-10	3.88218476454e-09	4.73197300539e-10	-5.30636766136e-10
ASD	2.0604285761099998e-08	4.67382107573e-08	3.04488456907e-08	2.6075528816999998e-08	-2.5367560751700002e-08	-3.16279854014e-08	-3.20988001202e-08	1.40325593813e-08	1.22230651308e-09	4.24457500409e-09	2.06555035973e-08	1.29645166642e-08	-2.99234718014e-08	4.30069010171e-08	2.45646937963e-08	1.03844941107e-08	-1.69608954499e-08	-2.89426541455e-08	-6.3106112216899995e-09	-4.1527716521199994e-08
Sunburn	-3.9650447246799994e-09	2.35036385365e-09	1.14929176351e-09	-9.50292013934e-10	-3.6865878272900002e-09	-2.91679172727e-09	-3.79515438002e-09	3.16977555586e-09	-1.28957673926e-09	-2.71259245709e-09	-2.04571690891e-09	4.96387162012e-09	2.88851043204e-09	3.28986555703e-09	2.0059311971700004e-09	8.06564958218e-10	-7.18871601613e-09	-2.4254171317699998e-09	-2.43479531406e-09	-3.18764746616e-10
Schizophrenia	-6.5285116509400005e-09	-2.2425461585099997e-09	-4.07696793459e-09	-1.2229099896700001e-08	7.66133602229e-10	4.23988868804e-09	-3.15199216874e-09	-4.4417787183799995e-09	4.53170682536e-10	6.03440435323e-09	2.95807916585e-09	8.80321376324e-09	8.235911909880001e-09	-6.3442231898e-09	-1.0487115341299998e-08	-8.70209243567e-09	-1.7572181446400002e-09	-3.8744287050899995e-09	7.146584077799999e-09	1.74021005215e-08
