0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.41804869248e-09	-2.05195026506e-09	6.27997735212e-10	-3.6276802953e-09	8.69017155435e-10	-7.347082645810001e-11	-3.16089568539e-09	1.26575646077e-09	1.34315770131e-09	4.07121085039e-09	2.11974352261e-09	9.12072115089e-12	-1.3608323462000002e-09	-1.27708468222e-09	-1.6842046690699998e-09	-2.48113219352e-09	6.42469854165e-10	2.19666883719e-09	7.994465029799999e-10	2.00039043798e-09
YearsOfEd2	-1.80634376943e-09	-2.9500305064800003e-09	1.26578402512e-09	-2.32714782612e-09	3.88633482495e-10	1.34215508287e-09	-2.02674232825e-09	-1.14205139483e-09	1.05643566118e-09	-4.63125451006e-11	7.6627009482e-10	2.94114098008e-09	1.05541845018e-09	-1.68301044416e-09	-6.3661694485e-10	8.8658341767e-10	8.16483257027e-10	-3.6099737737899994e-09	7.02560884684e-10	-1.75828061564e-09
T2D2	9.73639100137e-10	-2.07854619335e-09	-1.0484240105000001e-09	-3.71528505242e-10	-1.49929714129e-09	-6.86884631925e-10	-1.23787549072e-09	-1.1146308302999999e-09	4.6736718748e-11	1.40438050698e-09	2.91364261423e-09	1.1178731010100001e-10	-4.4552263131099996e-10	-4.32528760399e-10	-1.78819172892e-09	-1.18098154701e-09	-1.5233823681e-09	3.3372745219600003e-10	1.2687772223300001e-09	9.001184386089999e-10
SkinColor	4.88016964608e-10	7.15932173735e-09	-1.5384327872e-09	-3.14600685711e-09	3.39399307138e-09	-3.42311034229e-09	-7.739140266159999e-09	1.2024588755599999e-09	-1.60149096307e-09	-1.55429111281e-09	2.4982023520399997e-09	2.7417430393699998e-09	-4.38719632986e-10	-4.10322053017e-09	9.05414219655e-09	-6.8749108990199995e-09	-7.994894998909999e-09	-6.03965499964e-09	4.27936390086e-09	2.52335080698e-09
Balding	-6.15773756667e-09	8.68127487153e-10	1.05206201427e-08	8.64511491102e-09	-6.414968353809999e-09	-1.2125419170799999e-08	-3.75950659681e-09	-1.0786166023700001e-09	6.3460980038199995e-09	2.6769252028e-09	7.96795250496e-09	1.00996258965e-08	-1.51254812493e-09	1.68714242791e-10	-2.81339727685e-09	-1.3756165825600002e-08	-3.59725573701e-09	-4.7772309888800005e-09	-7.7893135286e-09	-1.3118115693000001e-08
HairColor	-1.3008063896999999e-10	-4.1630887172500003e-10	4.12820738681e-09	4.66674686725e-09	2.06413640794e-09	-9.45276857224e-09	3.0249491332e-10	-7.85027641248e-09	-6.64170228352e-09	-4.0844852949299995e-09	1.2137589047799999e-08	7.515731546819999e-09	-8.3707804712e-10	-5.41141751629e-09	1.06319028519e-08	-6.43616632684e-09	-9.56796196667e-09	-6.7930217870299994e-09	3.4831377764e-10	4.48471567013e-09
FVC	-5.48014857972e-09	5.6251178065399995e-09	6.32656735856e-09	-2.87845036569e-09	-3.86056332617e-09	2.3823217404399997e-09	4.7259387561e-09	2.32319577647e-09	2.56445129207e-09	7.443394516910001e-10	4.57735689226e-09	3.96123139687e-10	-2.54291320946e-09	-4.48698851294e-09	-8.15895130534e-09	-1.3121371053e-09	1.89007508189e-09	3.29520163723e-09	8.78596594108e-09	3.36394273812e-09
ASD	3.2500437395499996e-08	-1.20021145516e-08	7.643757801909999e-09	2.4754944319400002e-08	-1.40575693393e-08	-1.39479922805e-08	2.64786579212e-09	-1.5924367169999998e-08	4.29626025115e-10	1.20382282639e-08	3.2169947136500004e-08	2.44282455595e-08	-1.15037068381e-08	2.01895911312e-08	1.8858793912099998e-10	-4.5418213460500005e-08	-2.88131289828e-08	-2.98382074032e-09	5.8884381642e-09	-3.92654026817e-09
Sunburn	6.92030151412e-10	4.17050942342e-09	1.94377346513e-09	-1.56292772127e-09	-5.32822040686e-09	-3.50084746399e-09	-1.92875505971e-09	2.79874097334e-09	2.74717881631e-09	1.51961270872e-09	2.2346703691100003e-09	3.70876614252e-09	-1.57605180241e-09	-3.84164272017e-09	-3.66316919145e-09	-1.51226158499e-09	-6.8357769694299994e-09	-4.74575955934e-09	-6.57735931065e-10	2.81715331922e-10
Schizophrenia	-3.83906367228e-09	2.42688863288e-09	-1.18530723195e-09	-1.7303136868900003e-08	-7.50629384465e-09	4.04830000159e-09	-2.56000782381e-09	-5.0806628284599995e-09	6.35598987103e-09	4.78357966483e-09	1.6733715886e-09	-7.31581812037e-10	3.08556673408e-09	3.34624436454e-09	-4.76414632521e-09	-1.36672232192e-08	2.75575178392e-09	3.52659640812e-09	8.723276630830001e-09	2.5528958682300003e-09
