0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.67244394237e-09	-9.208599752599999e-10	-1.24474872549e-09	-3.23223971679e-09	-1.5382773052200001e-09	-8.714507868280001e-10	-2.2248280913400004e-09	1.35906133184e-09	-5.932768992039999e-10	6.20022164197e-09	1.5475753288699998e-11	-7.946369739310001e-10	-2.45001095731e-10	-1.2659591668e-09	-7.48359181975e-10	-2.46427657705e-09	-2.1646983484799998e-11	-9.61594663314e-10	1.05351089374e-09	2.33738904431e-09
YearsOfEd2	-3.0098782283100002e-09	-2.1688449131200002e-09	-1.66387714721e-09	-2.73316767304e-09	-1.8771029383200002e-09	8.673433741419998e-10	-1.6380792312e-09	1.35299815282e-09	-4.2076238995699995e-10	1.8746177477200003e-09	1.12631884377e-09	1.50363368002e-09	8.68238946191e-10	-2.3329349245099998e-09	-2.0488824603500002e-09	1.3978006426e-09	-2.5584557475099996e-10	3.8290728276900003e-10	-1.7844297020300002e-09	-1.74673143127e-09
T2D2	-6.67153735664e-10	-3.5294117816699993e-10	-3.86380225499e-11	2.1231628716600002e-09	-1.720486045e-09	-1.25132461358e-09	-1.23468029042e-09	-2.44081294739e-09	-6.985831863319999e-11	2.9009498816100002e-09	3.8063922461900004e-10	3.5955816236300005e-10	-7.325365453369999e-10	-1.8059041520199999e-09	1.60078044617e-10	-7.03669641444e-10	1.82867602982e-09	6.26255166785e-10	5.034067006609999e-10	-3.18911941853e-10
SkinColor	5.67110583203e-09	-7.41838594129e-09	-2.36166833926e-09	-1.36509282025e-09	-6.50063384547e-09	-4.0080385873999996e-09	-5.78400773722e-09	-4.2237125520900003e-11	-5.31125873553e-09	-6.78557475853e-09	5.98650546121e-09	5.17418006308e-09	4.0582408503999997e-10	2.89499277749e-09	1.47937235966e-08	-1.17985127893e-09	-7.17011812096e-09	7.733122738289999e-11	3.80971478785e-09	2.04392191777e-09
Balding	2.84434104234e-09	8.90772090028e-09	5.5587642402e-09	-1.28318288073e-08	6.53654755397e-09	-8.64400845736e-09	1.6656198478599998e-09	-1.57459640869e-09	-3.79844172226e-09	5.47051635796e-09	1.9305882950999998e-08	1.0046116974e-08	-4.4893815654600004e-09	-1.13970491384e-08	-1.4825083626499999e-08	-6.0443650474600004e-09	-3.1789453786400003e-09	3.26088689605e-10	1.04812003893e-08	1.4378159723099998e-09
HairColor	4.09244054514e-09	-1.1440763324200001e-08	6.941228947860001e-10	8.41016000185e-10	-6.05762812503e-09	-4.97122168618e-09	1.96439859389e-09	-3.41356735449e-09	-6.60326859303e-09	-7.439282343100001e-09	-3.38622686049e-09	5.1845165588600005e-09	6.6067267033e-09	2.70856842284e-09	1.51907852169e-08	1.48306016537e-09	-1.2737862687e-08	5.10094320664e-09	4.63514871376e-09	-3.1869597079999998e-09
FVC	-4.841103607199999e-09	-3.83062572627e-09	4.91563110597e-09	1.11759948037e-09	1.23887178394e-10	4.4261090474500005e-10	5.07423490211e-09	4.775355084229999e-11	-4.6063100768999996e-10	8.369834097689998e-11	2.4185335075100003e-09	1.56131302635e-09	-2.27454583979e-09	-5.15091367024e-09	-5.86342707958e-09	5.11764382875e-10	4.98566693814e-09	-2.5990504019900003e-09	5.89348679184e-09	2.7215846587099994e-10
ASD	-1.12118693021e-08	-1.4233423552200002e-08	5.20847051128e-09	5.8136901320200005e-08	3.2685098563200005e-08	1.60403201446e-08	3.5389114258099995e-08	-4.103664632e-09	1.42878740014e-08	-1.59192291937e-09	-1.98373515349e-08	-4.56094789075e-10	1.6408415296899997e-08	-4.8606682838e-08	6.61565306374e-09	1.57371265276e-08	-7.683608840199999e-09	1.2859645363200002e-08	2.68169041773e-08	-4.24304251704e-09
Sunburn	3.6156593257200004e-09	1.45493873015e-09	2.71205042048e-09	-2.71840218391e-10	-4.4332626110600004e-09	-2.53898825377e-09	-2.91918004214e-09	-6.57998664256e-10	-2.25419530847e-09	-3.6538058121299996e-09	2.76132847975e-09	5.2358516986000005e-09	3.42731179696e-09	9.68307036903e-10	3.2660620751e-09	-4.11122145872e-09	-4.53063619124e-09	-4.18348571056e-10	-2.5707482324400002e-09	-8.167042734369999e-10
Schizophrenia	-1.29310844066e-08	2.69957666701e-09	-8.42934740963e-09	-1.4080118772799998e-08	-7.98875396636e-09	4.15866137501e-09	-4.692787427790001e-09	-8.69581065805e-09	8.10811152895e-09	1.23450588338e-08	4.15958203051e-09	6.986246913510001e-09	5.08338034841e-09	-4.45959059334e-09	-1.12306064146e-08	-7.75840404401e-09	-7.790985667820001e-09	-2.20798281879e-09	1.3671426773299999e-08	7.56550393982e-09
