0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-1.663352664e-09	-2.4970259945099998e-09	-2.88461396362e-09	-9.98501753281e-10	-6.05885096034e-10	1.68971501809e-10	-3.04677902645e-09	1.4495863545399998e-09	-7.272083374760001e-10	4.63726066682e-09	1.11364692974e-09	-4.8448844191800006e-11	2.1565351134199998e-09	-2.57947831421e-09	-4.203489969080001e-09	-3.50481093551e-09	-1.4721776810999999e-09	6.0062950846e-10	1.5375273763699999e-09	3.261371863e-09
YearsOfEd2	5.65770306427e-10	-2.1910737214700001e-10	-2.9440620857e-09	-3.66368494119e-09	1.7017638237e-09	7.513674687270001e-11	4.69756597948e-11	8.14846330105e-10	-1.07643861545e-09	2.01967933515e-10	1.2858042473e-09	-1.36497227628e-10	8.82215014807e-10	1.93182795316e-09	9.505929505310001e-10	-1.65051428825e-09	6.49096356824e-10	-6.98786926117e-10	5.33295710311e-10	-5.647012151330001e-10
T2D2	2.39931763303e-09	1.07427665184e-09	-1.06696289364e-09	-2.26587785915e-09	-2.17920756627e-09	-1.14006960684e-09	-1.55917431513e-10	6.43901655287e-10	3.08088562568e-09	-3.81118619952e-10	1.6790250579e-09	-8.37236885298e-10	5.38290372174e-10	-1.8658250175e-09	-1.27000318639e-09	-5.10164980333e-10	-1.0684146581800001e-09	-8.00626752992e-10	-5.59564001496e-10	9.947432973239998e-10
SkinColor	5.8100427126400005e-09	-6.62346769851e-09	-5.6171722803199995e-09	-6.79649177261e-09	-4.95924269298e-09	-1.86264430726e-09	-8.48089148484e-09	3.16985559876e-09	-5.44172495847e-09	-6.30367176218e-09	6.69229464128e-10	1.1939856601200001e-08	-2.36276684221e-09	-2.1702832460700003e-09	1.9605623735099998e-08	1.14097875671e-09	-8.142487004100001e-09	-8.13678700766e-09	-1.3473951944199999e-09	-9.85407535509e-09
Balding	5.0316837673e-09	7.22220056585e-09	1.4115820103499998e-09	2.56601810606e-09	-1.40693464776e-08	-1.55572604102e-08	-9.060211347499999e-09	-1.1683397695999998e-09	2.7936567968400003e-09	1.87551517118e-09	-4.11068641388e-09	1.7943703836300001e-09	1.090564354e-08	1.1540976326200001e-08	-9.4427013597e-10	-3.2151890415100002e-09	-2.99771623499e-09	-1.01985636161e-08	-9.06879641572e-09	-1.95969568515e-09
HairColor	4.06733025442e-09	-3.2235411253000004e-09	-8.41771708867e-09	-8.33851122245e-09	-9.468325650700001e-09	-2.45618687206e-09	-1.03608403056e-08	-2.7510532168000003e-09	-5.47830227407e-10	-4.09312676782e-09	3.5065673969999998e-09	-1.1657145918299997e-10	5.92283366609e-09	4.61336794479e-09	1.6010238742200003e-08	-6.10046739484e-10	-9.90863038977e-09	-8.039687998729999e-09	-2.39960759629e-09	-4.4194842527400005e-09
FVC	1.6028713886600001e-09	1.1242028919000001e-09	-2.88432517617e-09	-3.20454062106e-09	-6.66036468031e-09	4.21550183224e-09	5.9936250900799995e-09	2.99837293204e-09	7.59489134185e-10	-3.835290467459999e-09	-3.83773237091e-11	2.63754076091e-09	-1.7330001720100001e-09	-4.46022530018e-09	-5.74347460664e-09	-2.55938026713e-09	1.8921451084e-09	4.4008183378999995e-09	5.06861048831e-09	6.78649583958e-10
ASD	1.09864563794e-08	-1.82270072752e-08	9.26138092413e-10	4.4265062005699995e-08	-5.00542348126e-09	7.73747296523e-09	-7.92677200673e-09	-2.7679291381200004e-08	-4.72904344976e-10	-5.22314266646e-08	-6.48321115165e-11	4.82310252117e-08	1.9719522458700002e-08	-2.9535249040500002e-09	-4.1435533523699995e-09	-5.17992249076e-09	-4.68187353171e-08	5.83634570991e-09	-3.3167654150900003e-08	-1.54092157818e-08
Sunburn	1.3552705910299999e-09	1.47440257807e-09	1.63299688657e-09	-2.3844588459e-09	-5.5519336627300005e-09	-2.6396758453899997e-09	-3.14891952595e-09	1.61282719494e-09	-1.5266404099199998e-09	-1.587065192e-09	2.41855015512e-09	4.9074099188299995e-09	-8.41044197712e-12	-3.8834866633e-09	2.20484242533e-09	3.1427189983e-11	-5.8805361681e-09	-3.90748654424e-09	-9.83274616206e-10	-3.3170163341800002e-09
Schizophrenia	-1.36180387835e-08	5.6199415830799995e-09	4.67962276363e-10	-1.59540731434e-09	-5.48086094437e-09	-6.5608700711e-09	-2.92586104243e-09	1.04994849651e-08	7.842585784260001e-11	8.93180247201e-09	4.02820086208e-09	-6.816317830589999e-09	1.7966195310899998e-09	8.498524417980001e-09	-5.7214662574699994e-09	-1.01030462203e-08	-3.71797629473e-09	-8.54848856409e-09	5.0568453130900006e-09	1.53865640261e-08
Anorexia	-6.89299928662e-09	-1.4140725563799998e-08	-1.48614245882e-08	-2.13653547183e-08	-5.345066908990001e-09	-1.2556909756999999e-08	1.4950696226199998e-08	1.55424604458e-08	-2.29815506371e-09	2.05575720217e-09	1.2476546623799999e-08	2.1782551944499997e-10	6.8204632947799995e-09	-8.62379759197e-09	-7.937767528319999e-09	-1.20013389097e-08	1.25227128911e-09	-1.1081425296700001e-08	-3.40062409475e-09	-7.268170587369999e-09
SmokingStatus	-9.129184852080001e-10	-1.32461829777e-09	-4.12926951442e-09	-5.3266563519900005e-09	7.907788488460001e-10	-9.3561658554e-10	1.74194287974e-09	3.0324398112300003e-09	1.88973115947e-09	4.12588244218e-10	1.22575629826e-09	-7.807486891139999e-10	-1.71802323482e-09	-1.79750776844e-09	-2.70087827861e-09	-2.32752437217e-09	3.06774377918e-10	5.78932557716e-10	1.01329952937e-09	1.86882711608e-09
FirstBirthAge	2.65072075637e-10	-2.07497652689e-09	-4.03725585007e-09	-2.45132666813e-09	-1.7564162095199998e-09	-1.1510702558299999e-09	-9.436979989469999e-11	4.01336419372e-10	5.583058794540001e-10	1.78171096239e-09	2.1951786583299998e-09	1.80042231367e-09	4.75235393755e-10	-3.57334663825e-11	-6.51669078216e-10	-3.28649052306e-09	-2.8953130656800003e-09	-2.0747382679699997e-09	-8.39272828777e-10	1.17749725054e-10
Tanning	5.967725897510001e-09	-3.64185210686e-09	-5.18171919653e-09	-6.05855001807e-09	-3.4394392706999996e-09	-6.137388667829999e-11	-5.87633803032e-09	1.78525382151e-09	-1.33672024375e-09	-5.29449107438e-09	1.7877276517000002e-09	1.02626169355e-08	-2.69080902598e-09	-2.62358555259e-09	8.56183326343e-09	-1.7184775269099998e-09	-9.86498932885e-09	-7.84587658257e-09	-3.23870236131e-09	-7.02332244945e-09
NumChildrenBorn	5.468879040709999e-10	3.48851796726e-10	-1.99481775047e-09	-3.72398890553e-10	-3.06762851222e-10	-1.00117474925e-09	-8.5280120479e-10	2.20729796375e-10	-4.98493912655e-11	4.73638405279e-10	2.18701122648e-09	1.13289343271e-09	1.04179053639e-09	-1.1385988214500001e-09	-9.141942522320001e-10	-6.9468179072e-11	-6.00084903926e-10	3.71886057285e-10	-1.40690014981e-09	-7.040328397689999e-10
