0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	-3.11897455839e-09	1.64451691056e-09	-6.519456281859999e-10	-1.45891892291e-09	-3.953076416480001e-09	-1.82953006377e-09	1.0968513864200001e-10	1.98106317016e-09	1.30206256613e-10	2.52478809699e-09	8.72977746525e-10	3.27011792366e-09	1.3924664321599998e-09	-2.1485971887e-09	-1.94178789738e-09	-4.48862129327e-09	-1.7066213843400002e-09	1.1333874832800001e-09	1.8495625489799998e-09	1.2380954210000001e-09
YearsOfEd2	3.39847482121e-10	-2.02809717757e-09	5.63664714219e-10	-1.04910903907e-09	-2.5995356642299997e-10	-2.1307426754e-09	5.602184912499999e-10	5.15024944155e-10	-1.14671521264e-09	-1.1702422055400001e-09	-2.0049331310400002e-09	9.63012317024e-10	3.19672792996e-09	2.2052449182700003e-09	6.98024205328e-10	-4.1205714198599996e-10	-1.90354176985e-09	1.4688100358300001e-09	2.38134716705e-09	1.7205351393800002e-09
T2D2	5.19068208982e-11	1.27238840719e-09	1.00532936813e-09	-1.8740348247900003e-10	-3.3670947255500003e-09	-1.72189838314e-09	-1.8500416795599997e-10	2.8748052155500004e-11	1.1542832404499999e-10	2.76609696432e-09	1.87651624008e-09	5.25538904584e-10	2.7989567599900004e-10	-7.06025564343e-10	-1.89014362447e-09	-1.74062681903e-09	-1.45694528868e-09	1.07373560676e-09	-3.00210217117e-10	-1.46100840173e-09
SkinColor	4.64216599474e-09	1.53876219967e-08	9.44008428712e-10	5.3335027035e-10	-3.89389051879e-09	-6.6882190495399995e-09	2.81081363078e-10	-6.720854929180001e-09	-2.3063247986400002e-10	1.1215593083e-09	1.8023859542799999e-10	3.00289285073e-09	-5.959857714409999e-10	-3.70854479044e-09	4.24215158053e-09	-4.99788418681e-09	-4.89306460895e-09	3.1235786863800002e-09	-9.635851893200001e-10	8.13044476001e-09
Balding	-6.75326557342e-09	-6.42189240333e-09	3.4648125034500005e-09	-7.56569514572e-09	-1.3782638261700001e-08	-1.82951373911e-08	-4.50778031549e-09	-8.08130447737e-09	1.9433255197299998e-08	1.6932554308e-08	4.31632392798e-09	6.054872724859999e-10	-2.8107841768599997e-09	-2.88647464786e-09	-3.80637104379e-09	-1.31149252111e-08	-8.3932008941e-09	1.7508379901299998e-09	-1.29362821589e-08	-6.990772241670001e-09
HairColor	5.669167273100001e-09	1.53143092815e-08	-7.186369629339999e-10	-2.65549894212e-09	-3.1073401478300002e-09	2.02117085956e-09	-5.2594522639e-09	-3.09319420163e-09	-2.23220804655e-09	-4.66365060086e-09	-1.0075649113299998e-08	-7.87795538381e-10	6.42917848067e-09	6.361604221e-09	7.461616908779999e-09	-5.19026082468e-09	1.81689068952e-09	1.15711705346e-08	1.92155006227e-10	6.51189602254e-09
FVC	3.27436028208e-09	-1.137745806e-09	-3.27754363446e-09	5.40753913305e-10	-6.718562924840001e-09	-3.46606194114e-09	-2.04748776503e-09	1.6849486158399998e-09	4.67877000607e-09	3.5723609866300003e-09	-2.17667239716e-09	9.071860980169998e-12	4.53430796978e-09	-6.58821044076e-10	-5.706153764540001e-09	-3.0969304360599996e-09	7.61645148524e-10	1.54512881952e-09	1.70488992909e-09	1.38850727463e-09
ASD	1.1882606867e-08	5.45816147806e-09	-5.05660903227e-09	2.17594531554e-08	4.38336306462e-09	7.951157514749999e-09	-2.82059323375e-08	-1.9947917804799998e-08	-1.68966559916e-08	-1.6527852247e-08	1.1066728755e-08	2.1250770388900003e-08	4.05649414139e-08	-6.83711295159e-09	3.6647544100100004e-09	2.73772880044e-09	-3.71804052475e-08	9.6879419925e-09	2.46819365878e-09	9.40284043291e-09
Sunburn	4.47667698558e-09	7.63740952457e-09	-2.02477497005e-09	-8.168878731939999e-10	-2.9487447687e-09	-1.19193610626e-09	3.60791745211e-09	-2.68976077091e-09	2.30687089488e-10	1.80211335317e-09	1.6505585801e-09	3.20054942438e-09	6.41871705606e-10	-1.64303325216e-09	-2.23175369416e-09	-6.39246739424e-10	-2.51485383096e-09	7.443605688660001e-10	-1.34186603753e-09	1.03366655317e-09
Schizophrenia	8.79603952209e-09	1.9291900658700002e-08	1.4363072551100001e-08	-3.72680405103e-09	-1.81616391794e-08	-7.1130027344799996e-09	2.04881956243e-09	-1.4222514563e-08	-1.2297196542200001e-08	-3.9944106197499995e-09	-4.62963877073e-09	2.3416418384099998e-08	1.07927900701e-08	1.42789929139e-08	1.31605161817e-08	-1.6752410729700003e-08	-1.12652858944e-08	5.42933936274e-09	-4.19193705102e-09	8.22900358636e-09
