0	100kbBookendBoundaries_byStability.bed
MorningPerson	0.0007287717088643641
YearsOfEd2	0.013163119049365844
T2D2	0.4891290906133028
SkinColor	0.4518089106600586
Balding	0.02322502413811708
HairColor	0.883578723149509
FVC	0.5933732413155448
ASD	0.17075569502341773
Sunburn	0.28718398610412194
Schizophrenia	0.3165040796421907
Anorexia	0.1469736418768253
SmokingStatus	0.012486414554662444
FirstBirthAge	0.030536205435361556
Tanning	0.6944977436288473
NumChildrenBorn	0.2512303238593625
DepressiveSxs	0.7310852102455434
BMI2	0.17398163298651154
Neuroticism	0.3766045504564685
MenarcheAge	0.942896177593387
Heel_T_Score	0.3072413064122616
Eczema	0.004214120137075304
SystolicBP	0.09119195670723972
AutoimmuneDz	0.08125750642781747
MenopauseAge	1.1675879450578294e-05
WaistHipRatio	0.33002048343293344
RBCCount	3.9987176680820577e-05
EosinophilCount	0.000213398623117995
Resp_ENT_Dz	0.15207679567802715
RA	0.04463144437470171
PlateletCount	5.020347370048778e-09
HDL	0.007978641535279073
UC	0.006158195010966774
Hypothyroidism	0.0026529989624564224
WBCCount	7.597774077548628e-10
LDL	1.1108647752463e-07
CrohnsDz	0.019600040372464867
Height2	8.879748753489166e-05
DermDz	0.013748959910068423
FEV1_FVC_Ratio	0.2278359157535607
RDW	2.8572810136668487e-09
HighCholesterol	0.0026533781406270734
