0	100kbBookendBoundaries_byStability.bed
MorningPerson	0.0251201985969
YearsOfEd2	0.022088273130200002
T2D2	0.0494351668291
SkinColor	0.09432835656369999
Balding	0.0628328202029
HairColor	0.0931825726038
FVC	0.0217442064164
ASD	0.08497481303760002
Sunburn	0.05185058139550001
Schizophrenia	0.0285839488111
Anorexia	0.0682560688456
SmokingStatus	0.025900038585599996
FirstBirthAge	0.041421777075099996
Tanning	0.0895476940526
NumChildrenBorn	0.0718663915975
DepressiveSxs	0.07355857146360001
BMI2	0.0192903362283
Neuroticism	0.0438999274242
MenarcheAge	0.0342329591707
Heel_T_Score	0.044374072617100004
Eczema	0.0384228737529
SystolicBP	0.025800271184
AutoimmuneDz	0.11565190615700001
MenopauseAge	0.0663367012652
WaistHipRatio	0.037840137176
RBCCount	0.030968171935099997
EosinophilCount	0.042792670189500004
Resp_ENT_Dz	0.0496802138445
RA	0.0810521615118
PlateletCount	0.0334080561439
HDL	0.0566581262078
UC	0.08924013196149999
Hypothyroidism	0.0629783097743
WBCCount	0.028044516723299998
LDL	0.09312253948060001
CrohnsDz	0.079357176389
Height2	0.0296449461867
DermDz	0.107187091754
FEV1_FVC_Ratio	0.0301878183316
RDW	0.045060960889599995
HighCholesterol	0.08843739848719999
