0	Q1of4_100kbBookendBoundaries_removeGaps.bed	Q2of4_100kbBookendBoundaries_removeGaps.bed	Q3of4_100kbBookendBoundaries_removeGaps.bed	Q4of4_100kbBookendBoundaries_removeGaps.bed
MorningPerson	0.07763366164869999	0.0694796799429	0.0683211372864	0.059260458789800005
YearsOfEd2	0.0691787579375	0.065999960916	0.0570615735834	0.0566814547602
T2D2	0.112719079649	0.11975937484200001	0.09919899911350001	0.128904370612
SkinColor	0.646972497951	0.303941147882	0.3869755271	0.36816412871799997
Balding	0.126998834083	0.15579955311	0.142541572037	0.143792924993
HairColor	0.265100773254	0.250481234544	0.267489000275	0.301322951604
FVC	0.08553277682730001	0.0585779464057	0.0622009693831	0.0635210243875
ASD	0.221832884076	0.237348777054	0.21920059431699998	0.226428307848
Sunburn	0.45129940360299997	0.202431207594	0.256430731872	0.233661168488
Schizophrenia	0.07334405164510001	0.0792143081933	0.07366075787580001	0.07893418212839999
Anorexia	0.197531063981	0.19444869597	0.166749089284	0.186402153487
SmokingStatus	0.0781535064535	0.0699929181903	0.066489592642	0.06576218299869999
FirstBirthAge	0.121285784053	0.120229201397	0.10741352774700001	0.11358607542000002
Tanning	0.581499148331	0.325181538533	0.36791874407700004	0.35696302431500004
NumChildrenBorn	0.21907013571999998	0.20335061254	0.20066125825599998	0.20421839592799998
DepressiveSxs	0.219970804076	0.20303638620099998	0.20205384721500003	0.21054705409000002
BMI2	0.0670985357776	0.0627976825403	0.052678516226000005	0.055891700658599996
Neuroticism	0.129077460799	0.110601864832	0.0978180991257	0.0979003658103
MenarcheAge	0.0816677402009	0.103248821614	0.0897636599295	0.10843594922599999
Heel_T_Score	0.141947733218	0.124378546503	0.11026598557499999	0.103050486116
Eczema	0.11028714214299999	0.133997290958	0.111063651895	0.12113992489299999
SystolicBP	0.0641846282935	0.0686018832378	0.093407223963	0.0733568303079
AutoimmuneDz	0.316222467693	0.362283400456	0.30733638341499997	0.294257382398
MenopauseAge	0.150368789854	0.15441987172	0.19965096037	0.28603829328200003
WaistHipRatio	0.0995731773207	0.08849493662529999	0.11341319968800001	0.0823440402156
RBCCount	0.0843922730798	0.104855294179	0.0926670152699	0.0934837103631
EosinophilCount	0.12088092977199999	0.143289063388	0.13610822884	0.143357493432
Resp_ENT_Dz	0.128944780925	0.167245002809	0.156646268466	0.122810313801
RA	0.23058119247699999	0.23819110059	0.195396148741	0.267440714732
PlateletCount	0.08360409379539999	0.139225735127	0.10672798078	0.113821863635
HDL	0.208994468012	0.207574132799	0.21128180830200002	0.220894578855
UC	0.320462992179	0.261663745061	0.259719688857	0.260139773306
Hypothyroidism	0.179864565772	0.16334946750600002	0.241925874949	0.201116826309
WBCCount	0.0804858832783	0.10450890103299999	0.09076076200930001	0.11990663022800001
LDL	0.23742884898400002	0.354987376932	0.292975505909	0.264706520319
CrohnsDz	0.210700829003	0.216117976346	0.226994736188	0.201755066417
Height2	0.0754780372647	0.07694388910830001	0.0795028460598	0.0761947848246
DermDz	0.335366352752	0.299098787009	0.291886857158	0.315972650328
FEV1_FVC_Ratio	0.100104455132	0.07927442466189999	0.0719332690363	0.09916498010399999
RDW	0.137396954618	0.152580196701	0.138524142864	0.136737057013
HighCholesterol	0.252984719755	0.43688813862	0.261014798991	0.22541429855700001
