0	Q1of4_100kbBookendBoundaries_removeGaps.bed	Q2of4_100kbBookendBoundaries_removeGaps.bed	Q3of4_100kbBookendBoundaries_removeGaps.bed	Q4of4_100kbBookendBoundaries_removeGaps.bed
MorningPerson	-1.35258841196e-09	-1.73099791614e-09	-5.2076652343e-10	-4.12213573099e-09
YearsOfEd2	-6.29109741598e-10	2.17421145048e-09	-3.4041382529799997e-09	-2.16164012928e-09
T2D2	-2.72799767514e-10	-5.995566729019999e-10	-4.624247924119999e-12	-1.9584621161599997e-10
SkinColor	7.95025464551e-09	-4.18923798836e-09	-1.1460207571599999e-09	-7.149476902130001e-09
Balding	-1.1884711770100001e-08	-1.06769332108e-08	-1.26572013983e-09	-4.95467635118e-09
HairColor	3.75922528444e-10	-1.50192443067e-08	-4.24179703474e-09	-1.02998259751e-09
FVC	3.19592225709e-09	-7.13784088802e-09	-1.91697811012e-09	-8.2279122982e-10
ASD	-1.8781634129e-08	-8.385277584569999e-09	-2.94412815448e-08	1.29091569271e-08
Sunburn	6.71237528742e-09	-2.66142993087e-09	-1.36234139681e-09	-4.4029352835100005e-09
Schizophrenia	-5.6159667651199995e-09	-5.66664337951e-10	-6.8842893853100005e-09	-3.3659840758599995e-09
Anorexia	-4.88653900895e-10	-1.3917686897e-09	-4.64714404886e-09	-8.44850179601e-09
SmokingStatus	1.21659446809e-09	-1.3056197658399998e-09	-9.653219891460002e-10	-2.7435139837899997e-10
FirstBirthAge	-1.11799832346e-09	-3.14777947374e-10	-1.2322445523e-09	-1.6287231527000001e-09
Tanning	6.33260924749e-09	-1.86171664019e-09	-3.5604929589400002e-09	-6.33596758759e-09
NumChildrenBorn	-2.48570463267e-10	1.0252511521e-09	-3.4894703159500003e-10	-1.07010934307e-09
DepressiveSxs	1.82932452693e-09	1.8662657698e-10	1.28863360247e-09	-2.11513064231e-10
BMI2	2.51287531961e-09	-4.56895462507e-09	-3.54671489673e-09	-5.01952845916e-09
Neuroticism	-1.06731230284e-09	4.04473428736e-09	1.0634066958699998e-09	-3.71627267376e-09
MenarcheAge	-3.6088518114299997e-09	-4.86609812215e-09	-2.30623751176e-09	4.38954193423e-09
Heel_T_Score	4.22273857707e-09	-7.90768799169e-09	4.64724164133e-09	-8.640686364299999e-09
Eczema	1.95564227282e-09	-3.79175001607e-10	-8.888664255830002e-10	1.1007107717e-10
SystolicBP	-5.44288971943e-09	-6.32565566807e-09	6.5435143882299995e-09	-3.897670687699999e-09
AutoimmuneDz	2.4741820709599996e-10	-3.1988771015699997e-10	6.3548209659e-10	-2.77986542422e-10
MenopauseAge	-3.72622004749e-09	-1.029784171e-09	5.566755681440001e-10	6.4646377895e-09
WaistHipRatio	1.79987604978e-09	-2.4846536315900003e-09	-3.57222194235e-09	-2.70521056543e-09
RBCCount	-4.52548731369e-09	-6.2892906883699995e-09	3.9968532107e-09	-1.4070173935699999e-08
EosinophilCount	6.16556833687e-09	8.36259325425e-10	-5.19592623333e-09	-5.5620322964900005e-09
Resp_ENT_Dz	2.97097870478e-10	-1.11202767955e-10	3.11612109137e-10	-3.0692630683899997e-09
RA	6.79938984243e-09	-1.21751512081e-09	-9.10955490434e-09	3.54159616086e-09
PlateletCount	-1.4257975255700001e-08	5.6322801878799995e-09	8.03062967953e-10	-4.5380680476199996e-09
HDL	1.3964952864800001e-09	4.40353378328e-09	-8.50014400777e-09	-1.46252101023e-09
UC	4.5295912704e-09	-6.2018072127800005e-09	1.3020741426600001e-08	-4.93619268837e-09
Hypothyroidism	3.3504286774300004e-10	-8.964521218810001e-10	3.7629895030500005e-09	-2.51804351211e-10
WBCCount	-2.79290662512e-09	2.60597016139e-10	-3.0317551206700002e-09	6.71103210705e-09
LDL	-5.58914769026e-09	9.12541869649e-09	1.14606931609e-08	-8.52775037543e-10
CrohnsDz	3.32784555813e-10	-1.1005497192299999e-08	4.14448006925e-08	-2.74976176015e-08
Height2	-7.72961922788e-09	-9.47518392686e-09	-5.852693227750001e-09	-6.24287765984e-09
DermDz	1.0744571443e-09	3.8458643478599995e-10	-8.828456094820001e-10	-1.3481848294e-10
FEV1_FVC_Ratio	-2.3046393500599998e-09	-5.67530091124e-09	-3.2002813179699996e-09	1.15996867766e-09
RDW	-1.18728426034e-09	8.34481463221e-10	-4.48374870956e-09	-3.1612050935100002e-09
HighCholesterol	-1.50561251999e-09	5.1139893117299995e-09	1.24073711226e-09	-1.18148288667e-09
