0	Q1of4_200kbBookendBoundaries_removeGaps.bed	Q2of4_200kbBookendBoundaries_removeGaps.bed	Q3of4_200kbBookendBoundaries_removeGaps.bed	Q4of4_200kbBookendBoundaries_removeGaps.bed
MorningPerson	0.03845818428007494	0.5766532466581653	0.9028165692937068	0.02321101636089426
YearsOfEd2	0.750874576016813	0.14658844079459626	0.8438010905942595	0.0895310286132562
T2D2	0.0025630191019142393	0.7034039804756643	0.008586733646128065	0.18233049907009688
SkinColor	0.2944394292686175	0.6389391755995514	0.5585043485689142	0.4882928246228218
Balding	0.09006824929656806	0.3014315428971751	0.7065309102535019	0.4304674010533103
HairColor	0.9716905768037764	0.9734723303218152	0.5878721062498489	0.6003133086466277
FVC	0.993533854122622	0.4530935197278494	0.011791130227472009	0.04499858039937736
ASD	0.2898788632036429	0.2681381186623583	0.789042931043127	0.9392314322829612
Sunburn	0.1569711229247597	0.920894058893838	0.5398964705218041	0.2918450711066217
Schizophrenia	0.010785735011274623	0.8316841023458179	0.34423869522538764	0.6803000827685656
Anorexia	0.9463742821403938	0.35596191019107226	0.7494806836157469	0.030623970602482987
SmokingStatus	0.6286302778546888	0.7947181899893171	0.9722255426053084	0.000344165392328988
FirstBirthAge	0.3654421704811711	0.2512628133195749	0.3425561833962698	0.02145534473018363
Tanning	0.176108167518913	0.8750411803604508	0.7306574333090462	0.2658263198180064
NumChildrenBorn	0.3113869147732007	0.5904716651573487	0.6958189107255626	0.17811825111212032
DepressiveSxs	0.2503936261569589	0.13604451522148295	0.3847594144320536	0.21706251580987634
BMI2	0.13968147589645966	0.5454055208117023	0.2228963009614296	0.26278604460897464
Neuroticism	0.438089944633314	0.10210005112745052	0.9785499486370096	0.00021823503027614376
MenarcheAge	0.027387661734057447	0.842277810794897	0.11838031239651688	0.4633672653405029
Heel_T_Score	0.3797579420146232	0.17051553065200634	0.07184137020290383	0.5827704356065722
Eczema	0.5172554864585457	0.6895895273757896	0.004707789158590886	0.14951443918152596
SystolicBP	0.0005768485210583996	0.1502424675348394	0.00015402303182454833	0.10240795977099268
AutoimmuneDz	0.4976163711412376	0.38502406865211697	0.03868091969338706	0.3453723899074081
MenopauseAge	0.24996948396805985	0.4155167814509767	0.1958165862216476	0.0018265205749414136
WaistHipRatio	0.013976571950922992	0.11390267335297805	0.32411823455454103	0.07436612096431436
RBCCount	0.18737515262923446	0.3826062349265293	1.0317858376426314e-06	0.08904249787292905
EosinophilCount	0.3808422771035492	0.27053187760802816	0.014375550824683416	0.0015080969770192574
Resp_ENT_Dz	0.2863346638633052	0.15174253017076356	0.05974571759818651	0.8197643231041155
RA	0.0012890925037751886	0.3744696004461263	0.4242618308815949	0.0021075203481833843
PlateletCount	0.0011027898547497294	0.007409821635848333	6.48703592359097e-07	0.004875140740718096
HDL	0.03282615923257667	0.10052662603840792	0.03778271859163896	0.1349459192264636
UC	0.1037671967587612	0.19776085266967688	0.010827332397635166	0.9478750194350946
Hypothyroidism	0.00010754849911260962	0.3391516534452578	0.003014130238591941	0.021056875675976455
WBCCount	4.009757003999824e-07	0.09260451653589839	8.232688988066238e-08	5.12961367062944e-07
LDL	0.0018937944377910218	0.06153258485633607	0.002341407980235393	0.0024184416511003545
CrohnsDz	0.12430149178768485	0.3754110964720652	0.06980561527912056	0.4858169107194186
Height2	0.024672081943537504	0.08488804301396212	0.0017541536476129436	5.305303946324393e-05
DermDz	0.6601966640516373	0.8114656563030989	0.004815439428623415	0.2606335418986649
FEV1_FVC_Ratio	0.0022102533886934625	0.2500534919908088	0.018349512990173438	0.016862922188590618
RDW	0.007892866868645923	0.022466459471483128	0.00012300378446952268	0.00012556202461081888
HighCholesterol	3.7964691029536454e-05	0.0920360781946453	0.008569453256614533	0.06884095425712955
