0	Q1of4_200kbBookendBoundaries_removeGaps.bed	Q2of4_200kbBookendBoundaries_removeGaps.bed	Q3of4_200kbBookendBoundaries_removeGaps.bed	Q4of4_200kbBookendBoundaries_removeGaps.bed
MorningPerson	0.056101055462	0.0576795429422	0.0499539003878	0.0495734056262
YearsOfEd2	0.048534801178	0.042065309886600004	0.0466375284211	0.0450683768181
T2D2	0.0793702382574	0.0829645535285	0.0977424830059	0.0888586198011
SkinColor	0.39217465009499997	0.293463198448	0.317959694597	0.306693992458
Balding	0.100474534834	0.10899156156999999	0.11583392707699999	0.12649744679400002
HairColor	0.297573890869	0.212062934102	0.176895961913	0.211659978051
FVC	0.0672628382084	0.0458358554808	0.049059647571900004	0.046737582366199994
ASD	0.163257849999	0.158007601459	0.152760305151	0.153503370997
Sunburn	0.380333788151	0.18149948291999998	0.207376775313	0.14969240971699999
Schizophrenia	0.0582290693303	0.053882044814300006	0.0666153252465	0.055815415973899996
Anorexia	0.137854279972	0.137572508326	0.13134355358	0.13556893508
SmokingStatus	0.057541824725199996	0.0567219832921	0.051011227403100004	0.0494742999374
FirstBirthAge	0.09518662705610001	0.0884226190685	0.09201790866949999	0.0835291826906
Tanning	0.491584981304	0.30319118835299996	0.326827449077	0.246705219621
NumChildrenBorn	0.168296961726	0.126286018233	0.159286423539	0.148479282574
DepressiveSxs	0.168255032813	0.138454574618	0.15223621195999998	0.14981245254
BMI2	0.043970859871300005	0.0491791433368	0.0408687768891	0.0447852707321
Neuroticism	0.0808079061434	0.089158656785	0.0773336817859	0.0768695841087
MenarcheAge	0.05971742737369999	0.0666350976981	0.0676348804985	0.076988375922
Heel_T_Score	0.09591289808110001	0.0991269309072	0.08082437906380001	0.0807366668322
Eczema	0.102235090919	0.0928633313737	0.121715819471	0.104655276759
SystolicBP	0.060195575713499996	0.0500428928509	0.07007269239	0.0626494433851
AutoimmuneDz	0.24063663887400003	0.22856009208500003	0.251179535004	0.22776629415199998
MenopauseAge	0.129410139285	0.126723979378	0.13501745283299998	0.185145583975
WaistHipRatio	0.0722502676798	0.0953245201419	0.0599716317925	0.07665289022680001
RBCCount	0.08797546187110002	0.07316092553669999	0.0760863578747	0.0767858515447
EosinophilCount	0.111263582698	0.09480045215220001	0.105044817796	0.10609120237500001
Resp_ENT_Dz	0.118028700923	0.149996492632	0.13443800744999998	0.11539526091499999
RA	0.149511596469	0.17667483862799999	0.168257044483	0.19710079158399998
PlateletCount	0.09428043434260001	0.07284452625789999	0.0926823341206	0.10760758443099999
HDL	0.121937898501	0.181942020955	0.164870748096	0.182579344841
UC	0.164866894295	0.19338694488400002	0.21550524285599998	0.17659505910599999
Hypothyroidism	0.09150104622819999	0.10125396634	0.14823887617999998	0.131049716791
WBCCount	0.05040755269169999	0.057013899299800004	0.0644869519217	0.0688121400538
LDL	0.17304697351	0.15944218932499998	0.248385321721	0.192099474863
CrohnsDz	0.135452180998	0.146417760913	0.197215010302	0.145326595457
Height2	0.0662592047326	0.0563909502716	0.06952020857480001	0.0612390073343
DermDz	0.266325567987	0.205005750345	0.21888455761	0.219800520688
FEV1_FVC_Ratio	0.058180864828199993	0.060438481019699994	0.0721306363115	0.069746238222
RDW	0.0866537969897	0.125646664576	0.110520085601	0.108035125997
HighCholesterol	0.121077057778	0.10703393861800001	0.23930310813499997	0.177195231012
