0	Q1of4_200kbBookendBoundaries_removeGaps.bed	Q2of4_200kbBookendBoundaries_removeGaps.bed	Q3of4_200kbBookendBoundaries_removeGaps.bed	Q4of4_200kbBookendBoundaries_removeGaps.bed
MorningPerson	-1.87734167479e-09	7.16577319068e-10	-6.016419481380001e-10	-2.44357937306e-09
YearsOfEd2	1.98403119123e-10	-1.5944176803e-09	-1.2214062135499999e-10	-1.4714238905e-09
T2D2	-1.2765055129300001e-09	-1.24212743912e-09	1.1328394382000002e-09	1.66378617616e-10
SkinColor	9.50944985658e-09	-2.13834999249e-09	-7.128430480269999e-10	-4.82405854904e-09
Balding	-3.13442723255e-09	-6.9861766015599995e-09	-3.83629484908e-09	1.90036480953e-09
HairColor	5.12564234982e-09	-8.288868549680001e-09	-5.153334859049999e-09	1.0383838251900001e-11
FVC	4.38790824024e-09	-4.72001241219e-09	-2.22215150177e-10	1.9154719870999998e-11
ASD	2.2590295820099997e-08	-1.9253150316e-08	1.63032619009e-09	8.459588043580001e-10
Sunburn	9.91729170131e-09	-2.40587230233e-09	-1.2205226747e-11	-3.7194046418700004e-09
Schizophrenia	-8.98433178681e-09	-3.50508240152e-09	3.4699458614899996e-11	-4.33231846181e-09
Anorexia	1.1798216991699998e-09	7.46954040297e-09	1.80232222099e-09	-1.4282357204100002e-08
SmokingStatus	-5.70592116919e-10	2.2437625202900003e-10	5.80420308222e-10	-2.5056493010200003e-09
FirstBirthAge	1.44444182414e-09	-1.56940886428e-09	8.0962904234e-10	-2.08608453062e-09
Tanning	1.2954440775799999e-08	-3.18756861852e-09	-9.747880172530002e-10	-5.354055328190001e-09
NumChildrenBorn	7.36649511563e-10	-2.09187480628e-10	3.10253038825e-10	-5.420693946530001e-10
DepressiveSxs	1.34230635307e-09	2.7726903527399998e-09	-4.2579015073300003e-10	-1.00379925147e-09
BMI2	-7.22907882105e-10	-5.70579054352e-11	-1.07036594506e-09	-3.8438493097e-09
Neuroticism	-1.21476048732e-09	3.29747928107e-09	5.00772902845e-10	-4.51927703652e-09
MenarcheAge	-3.5661225035899995e-09	-2.57750801243e-09	1.51273865682e-09	1.14687323143e-09
Heel_T_Score	3.37273243235e-09	3.8732630939e-09	-2.7604524180300002e-09	-7.15385285697e-09
Eczema	1.88619593405e-09	-2.00277850998e-09	2.23847014884e-09	-6.46183907864e-10
SystolicBP	-4.2730923507e-09	-1.41134321045e-09	4.56334484915e-09	-1.2874529795199999e-09
AutoimmuneDz	6.71931471762e-11	1.03485936431e-10	4.2254218492599994e-10	-1.15635059624e-11
MenopauseAge	2.0165881979499997e-09	-1.9553908172200004e-09	-3.84866537712e-09	5.420559445530001e-09
WaistHipRatio	-1.40359720469e-09	1.7152212327799999e-09	-4.86451980922e-09	-3.37860898221e-10
RBCCount	6.66268560918e-09	-8.84746686018e-09	2.95532109373e-09	-7.871083651209999e-09
EosinophilCount	6.58044009131e-09	-4.9702867834200005e-09	-3.74464216005e-09	3.16427447485e-09
Resp_ENT_Dz	5.33907262507e-10	9.549166413789998e-10	2.38968642442e-10	-1.8794203794e-09
RA	-8.77109374049e-09	-9.59436190861e-10	-7.9035420346e-09	1.23369653095e-08
PlateletCount	-3.23411901304e-09	-3.33586280973e-09	6.16563983629e-09	-7.11535616136e-10
HDL	-1.56001315377e-09	2.50556279817e-09	6.69812447929e-10	4.97797610716e-10
UC	-2.3821463842799997e-09	6.08255581571e-10	7.94404365617e-09	-1.4130898603299999e-08
Hypothyroidism	-1.64684884431e-09	-1.09537130252e-09	1.7575329868900002e-09	7.725186545260001e-10
WBCCount	-2.78178236435e-09	-4.3616204447e-09	2.65727538984e-09	5.44469274641e-09
LDL	-5.2519184283799995e-09	9.927422968720001e-10	7.2410100309200005e-09	3.75479083463e-09
CrohnsDz	3.0285751545000003e-10	-6.93187714033e-09	-1.41610433958e-09	-1.4168315330899998e-08
Height2	4.97068774657e-09	-7.345316049140001e-09	-7.41399036666e-09	9.900849647539998e-10
DermDz	8.8501868976e-10	-7.013582351e-10	5.15501533953e-10	-2.02421565165e-10
FEV1_FVC_Ratio	-3.22517432801e-09	-1.09473181877e-09	-5.84235215541e-10	1.16864722103e-09
RDW	2.80838089381e-09	3.4151634905199997e-11	-9.4117241024e-10	2.06870855485e-09
HighCholesterol	-3.43549382812e-09	2.4295611182e-10	3.6862639645499995e-09	7.716494729469999e-10
