0	Q1of4_40kbBoundaries_removeGaps.bed	Q2of4_40kbBoundaries_removeGaps.bed	Q3of4_40kbBoundaries_removeGaps.bed	Q4of4_40kbBoundaries_removeGaps.bed
MorningPerson	0.9431604154047448	0.2619510787781807	0.019070864942808897	0.026452399007118346
YearsOfEd2	0.8867882966256696	0.9295486941513962	0.059617917688758966	0.09542276676754355
T2D2	0.16513546990020572	0.4396124203818893	0.5509089366976258	0.8677331210142663
SkinColor	0.17081671859689018	0.3793387461187203	0.5111034180389453	0.4007195334474508
Balding	0.10570349775124914	0.57736090818071	0.12440830875856887	0.040581166089832164
HairColor	0.7644651626587797	0.4324167831123903	0.7527234082568067	0.6808566975024632
FVC	0.1605368121622148	0.10575903901665948	0.12836920612309485	0.6099407455058119
ASD	0.9071519185401232	0.8436382815600685	0.05961016086403952	0.8150596379855427
Sunburn	0.17719369341464306	0.6970504024564759	0.9445284039528804	0.13346040916833815
Schizophrenia	0.09397510627841475	0.4812510537492754	0.4540865866100696	0.894536063565262
Anorexia	0.12950318337210456	0.09231463347908046	0.7287883782541758	0.08351486621489715
SmokingStatus	0.7485202327207403	0.2460031060255415	0.43131691975665787	0.9853098916785334
FirstBirthAge	0.3648806377111013	0.4536059648457349	0.26091257895219416	0.11312300455644855
Tanning	0.4522226653903436	0.2515180405688767	0.3856456182546216	0.3434310863248771
NumChildrenBorn	0.3761629810296063	0.6680098377637249	0.16060643108884792	0.11667897095468698
DepressiveSxs	0.8136606665653638	0.2072054433584454	0.3691003487594805	0.9707297813171214
BMI2	0.6902283998199513	0.8991092596483261	0.09164065783909825	0.02040599452728276
Neuroticism	0.896318887662672	0.14521005289120956	0.747622421008515	0.04268673534584355
MenarcheAge	0.9813409222861756	0.9879837417539372	0.06073002925381204	0.2419798342394129
Heel_T_Score	0.6720128608304794	0.1745028456419964	0.3848453724544573	0.25226327752658184
Eczema	0.9933365607391272	0.9079955402294244	0.26905467765991353	0.1234230003296446
SystolicBP	0.08377695437622627	0.6751086271284173	0.6446401468609329	0.30097082974132533
AutoimmuneDz	0.6103251087045213	0.4116722430970696	0.6747350689299816	0.25280567781862345
MenopauseAge	0.06288331740973405	0.32427334743617586	0.3544623892110924	0.0031984327845850174
WaistHipRatio	0.18637693284846174	0.046151512740839284	0.5060841791143529	0.82281449451688
RBCCount	0.4050454413324836	0.5809325134188636	0.2568246229265956	0.19590422774543376
EosinophilCount	0.3186478323128812	0.8702566687375421	0.4046186297626893	0.060390052084820366
Resp_ENT_Dz	0.13669719118601645	0.7712018545341902	0.9808043274864626	0.43904522305004373
RA	0.17558476311523072	0.7060567493717758	0.9943456304827286	0.3747721324129213
PlateletCount	0.7420281656208606	0.21731155477027914	0.055696941475705884	0.009162378108066069
HDL	0.6840498004678838	0.20590594722076416	0.628185809149582	0.4508637709030587
UC	0.2998931317581073	0.02190946934642736	0.027961383959516962	0.4347178330420387
Hypothyroidism	0.8406506788617627	0.9964354567201557	0.4240781030506601	0.14510216405476686
WBCCount	0.19693296691225445	0.0753816791385477	0.08482338900405452	0.003357608084727176
LDL	0.04316901077120043	0.06575462053017615	0.0025579214784867826	0.2118144346512588
CrohnsDz	0.35739834727913977	0.5448420375863434	0.8147213759774843	0.6070534127714822
Height2	0.4467756111943077	0.9998388377300098	0.484761355915835	0.0060917146057605145
DermDz	0.7640869819589158	0.8891357185005454	0.6546818755291288	0.9885762997458408
FEV1_FVC_Ratio	0.02522495728825353	0.3465074410498856	0.3881180501723371	0.3497078091383168
RDW	0.6751444067758573	0.3763658248296223	0.03540713214974999	0.00666418464200261
HighCholesterol	0.3542295941013872	0.4433879867197673	0.1913899316889724	0.6682610130584693
