0	Q1of4_40kbBoundaries_removeGaps.bed	Q2of4_40kbBoundaries_removeGaps.bed	Q3of4_40kbBoundaries_removeGaps.bed	Q4of4_40kbBoundaries_removeGaps.bed
MorningPerson	0.11566750293400001	0.138698500745	0.09380832735510002	0.08763655409639999
YearsOfEd2	0.08869532578910001	0.15050380562899998	0.0923349647573	0.0805614306407
T2D2	0.19556603686000001	0.226678550609	0.18033562416499999	0.19150961338199998
SkinColor	0.400757998248	0.67786760141	0.38916827334299997	0.380220883841
Balding	0.223891450686	0.285467947374	0.18803246647900002	0.178894002711
HairColor	0.24261293300200001	1.06946609401	0.39003069884900005	0.32023066965999997
FVC	0.07667430262510001	0.112578584534	0.08646933138059999	0.0948615605112
ASD	0.316622922382	0.47550470295900005	0.33596451991099996	0.311907110521
Sunburn	0.241417498862	0.434581409439	0.34435574524400003	0.23439350386
Schizophrenia	0.106318842799	0.173480349325	0.12924097102499998	0.108489889959
Anorexia	0.244931689906	0.426427856826	0.295551633576	0.22594238966699998
SmokingStatus	0.10123978203600001	0.134060230493	0.117633502536	0.093612747501
FirstBirthAge	0.15898130729499999	0.29242371119399996	0.19196048201299998	0.16907768731800002
Tanning	0.302140758003	1.06716357506	0.484721392142	0.390082807183
NumChildrenBorn	0.275692115739	0.444847985976	0.3409658228	0.28107430489999996
DepressiveSxs	0.281598130081	0.48531009557	0.318887427022	0.297191400253
BMI2	0.0786792321612	0.127676144508	0.072325871228	0.07118571414750001
Neuroticism	0.149127566304	0.23027248574499998	0.165967140701	0.137904466747
MenarcheAge	0.114856741521	0.222809881832	0.12410240514000001	0.11191888127499999
Heel_T_Score	0.12683682307	0.188023828668	0.251819386162	0.112809566136
Eczema	0.200975347777	0.250453238035	0.16407264273	0.198789593015
SystolicBP	0.09738005961339999	0.14364187210100002	0.166301025036	0.11422512160800001
AutoimmuneDz	0.410730902521	0.781019053875	0.557607811216	0.45779495241000007
MenopauseAge	0.275456904743	0.361567797882	0.32879953359299996	0.43062446680600003
WaistHipRatio	0.118873915821	0.14326175122	0.14229872387599998	0.12168080666600001
RBCCount	0.154045351411	0.18062547623599998	0.128602697688	0.1518907667
EosinophilCount	0.132019279656	0.234419064063	0.148784695786	0.21631111369000003
Resp_ENT_Dz	0.22745638033100002	0.25971781760699997	0.156719739091	0.192361776176
RA	0.30633464	0.522846225312	0.34576965796400005	0.372181899572
PlateletCount	0.11902588042000001	0.253831895765	0.15952999819900002	0.165006221028
HDL	0.305047268992	0.455065770672	0.282159953322	0.290179152295
UC	0.39667044222900005	0.525254620679	0.48296776523999996	0.35159347068999997
Hypothyroidism	0.16258167546900001	0.32377756637899996	0.39558506968199997	0.333685999563
WBCCount	0.111484369007	0.13302227792000001	0.139579741832	0.157639551871
LDL	0.412167377887	0.5644762126030001	0.530633935507	0.37248886327799996
CrohnsDz	0.306066195303	0.434846587019	0.414137848124	0.293690456775
Height2	0.0875552723848	0.168879093469	0.11609669178200001	0.12391307134099999
DermDz	0.374995301501	0.605211786829	0.518347096842	0.44567750809699996
FEV1_FVC_Ratio	0.100601882273	0.150581372301	0.137469592777	0.115414906641
RDW	0.142563852661	0.371325396848	0.234033945616	0.210360105603
HighCholesterol	0.381224385685	0.9620090720829999	0.444517194992	0.30692959425599997
