0	Q1of4_40kbBoundaries_removeGaps.bed	Q2of4_40kbBoundaries_removeGaps.bed	Q3of4_40kbBoundaries_removeGaps.bed	Q4of4_40kbBoundaries_removeGaps.bed
MorningPerson	5.34763453404e-10	-2.16311932458e-09	-3.88841269554e-09	-3.81319425952e-09
YearsOfEd2	1.2453252673699998e-09	9.94591499045e-10	-3.3867310299000003e-09	-2.15671872066e-09
T2D2	2.6872276232700002e-09	-1.33042183352e-09	-1.31902212763e-09	-9.46812900844e-11
SkinColor	9.40864480903e-09	7.016207607160001e-09	8.003105088710001e-10	-6.51347841164e-09
Balding	-1.1499561377799999e-08	-2.26495187087e-09	-7.825756937909999e-09	-9.829743177249999e-09
HairColor	-1.23750833228e-09	2.30233550664e-08	-2.19310594625e-10	-5.094731667539999e-09
FVC	-3.20263272129e-09	-6.601909120139999e-09	-6.93001354382e-09	-4.2529474036500005e-11
ASD	6.25657865569e-09	-6.0040309196e-09	-5.85468763191e-08	-3.15801643781e-10
Sunburn	4.873915764819999e-09	1.1603168300899999e-09	-1.58795957277e-09	-7.066552707960001e-09
Schizophrenia	-1.3435329474700001e-08	-8.06623785416e-09	-9.42836536108e-09	2.96112026367e-10
Anorexia	-1.38048017014e-08	-2.5205891951599998e-08	-1.71306898075e-09	-1.60102388695e-08
SmokingStatus	2.1473853658099999e-10	-1.5028219110999999e-09	-1.7370149449599999e-10	2.04081091897e-09
FirstBirthAge	-1.28862102161e-09	2.8118523630399997e-09	-1.94372966571e-09	-2.3588008937399997e-09
Tanning	3.89880181736e-09	1.56782051663e-08	3.49363536839e-09	-6.53778603391e-09
NumChildrenBorn	-8.670551077539999e-10	1.17235594857e-09	2.56724615539e-09	-1.24306081207e-09
DepressiveSxs	1.07025017732e-09	5.7182516195e-09	-8.117107381900001e-10	1.54528318192e-09
BMI2	-6.26454743941e-10	2.3204778552099996e-10	-7.4324031640100005e-09	-9.98673864635e-09
Neuroticism	2.38206460281e-10	-4.451355669609999e-09	6.92731580767e-10	-2.46873629084e-09
MenarcheAge	5.88462930351e-10	-8.031358577810001e-10	-1.32239367177e-08	2.55145439802e-09
Heel_T_Score	-3.96299376728e-10	-1.50973948075e-08	1.14690425817e-08	-1.4116982682e-08
Eczema	3.9239268035900003e-10	2.0559605249599997e-10	-5.062827502e-09	3.0205737385499997e-09
SystolicBP	-6.72643252071e-09	-3.19548716138e-09	-3.4746907751599996e-10	1.9828910136e-10
AutoimmuneDz	3.88110170329e-10	-1.0800211498299998e-09	1.0667145741000001e-11	4.13211998119e-10
MenopauseAge	1.0092980694499999e-08	-1.1236427169799999e-08	-2.7983846064100002e-09	1.2639560597600002e-08
WaistHipRatio	-4.13756319775e-09	-8.53727744916e-09	-4.957978706530001e-09	-2.67323915442e-09
RBCCount	6.63378540559e-09	-9.885053325990001e-09	-2.17751441245e-08	-9.96683708548e-09
EosinophilCount	-4.67745313758e-09	-2.32193040551e-10	-4.97236656648e-09	6.18978458327e-09
Resp_ENT_Dz	-3.5587646032899997e-09	-9.56060341425e-10	-1.63678107276e-09	9.52023189659e-11
RA	-1.3194920407299999e-08	5.7626511081e-09	-7.97698945298e-09	3.95141939073e-09
PlateletCount	-2.30059307285e-09	1.1181478911499999e-08	-3.45844886593e-09	-3.08498693495e-09
HDL	2.78592059124e-09	1.01240269362e-08	-2.9486777800999998e-09	-1.26259577071e-08
UC	1.9840031004299997e-08	-5.89122416415e-08	3.90929334295e-08	-3.05872210151e-08
Hypothyroidism	3.79761744733e-11	3.2270224896800003e-10	1.84223049377e-09	4.23916485804e-09
WBCCount	6.7448886981e-09	-1.21616346883e-08	-1.55607504276e-10	6.5440556955399994e-09
LDL	1.47273740437e-08	1.38668312012e-08	2.06221352159e-08	-5.47788208895e-09
CrohnsDz	2.84918972872e-08	2.2832755246400003e-08	-1.22197259661e-08	-3.38253185434e-08
Height2	-8.53174238284e-09	-1.09075802375e-08	-1.95573338512e-08	-9.99067099188e-10
DermDz	2.49669166449e-10	-3.45673339352e-10	-1.85111660585e-10	-9.28325388527e-10
FEV1_FVC_Ratio	-1.03175010973e-08	-6.1086699103699995e-09	3.0374582321899997e-09	1.05716181466e-09
RDW	-3.1994353487e-09	4.1036221232299995e-09	-4.81957184353e-10	-4.18313192621e-09
HighCholesterol	3.29895051035e-09	5.30839816435e-09	2.8617253178800002e-09	-2.57504667355e-09
