0	boundaries_100kbBookend_germLayerStability_1.bed	boundaries_100kbBookend_germLayerStability_2.bed	boundaries_100kbBookend_germLayerStability_3.bed
MorningPerson	0.09503443606987864	0.7195455923569549	0.0008837011437896921
YearsOfEd2	0.6141018287140843	0.03985056474499712	0.02997287230550976
T2D2	0.20857553028530812	0.10132011104681243	0.6463464508779844
SkinColor	0.458418535806653	0.6123793428994939	0.9969789350189284
Balding	0.0013583119834176887	0.33367177244907065	0.5813380312920331
HairColor	0.7292396966926394	0.12164502681610186	0.5209612735295256
FVC	0.4198705750084819	0.7095955189413161	0.20175020506902516
ASD	0.26551118288672826	0.662323403967372	0.20196628509692466
Sunburn	0.14980148151381792	0.39189862016650495	0.5863086830861975
Schizophrenia	0.17809867654685935	0.595347656886755	0.4725740221674509
Anorexia	0.6670639936507065	0.7867580407578973	0.2059085241711588
SmokingStatus	0.7595864354115321	0.3763011076986509	0.03362544502981858
FirstBirthAge	0.3659176891680505	0.10890896436749076	0.3239209926656059
Tanning	0.38075849290438774	0.6468769775506806	0.654192219617625
NumChildrenBorn	0.8559960865775699	0.6900931861400706	0.3952532252047671
DepressiveSxs	0.5262128368380538	0.4731583599824802	0.2163875633992476
BMI2	0.5364159067458577	0.5077176348788512	0.4751685508707533
Neuroticism	0.3930198635610405	0.0870400991237977	0.08089368045917596
MenarcheAge	0.24118845801939204	0.4046813676088522	0.20576449343781092
Heel_T_Score	0.38541996965444	0.7052067747795248	0.1385076432123986
Eczema	0.4361492420914855	0.872742849107977	0.01511096960979296
SystolicBP	0.0014039559938365585	0.3959857977695612	0.0006315973611680719
AutoimmuneDz	0.4932650881739702	0.3552609829301747	0.03672309893385568
MenopauseAge	0.3920010093179185	0.6255391701091111	4.9644155948025975e-06
WaistHipRatio	0.4211846521719543	0.5278491017169314	0.2888412341843057
RBCCount	0.105673926878558	0.1656437132992037	0.00021283502002380537
EosinophilCount	0.22377899575668728	0.7287539850124749	0.0012526402784011651
Resp_ENT_Dz	0.9641327893034192	0.8216799709781003	0.11625941914613085
RA	0.2507956509766255	0.3023368368701467	0.06388182707789365
PlateletCount	0.24362605637804086	0.03081193813127552	1.9038808528742768e-06
HDL	0.7414891418769421	0.9802530231431495	0.015444372728733568
UC	0.438881812192932	0.0877264771439081	0.0069669101078231035
Hypothyroidism	0.522415896949653	0.5591514883615922	0.0025255113843712434
WBCCount	0.3571635194484455	0.13307276594681713	2.042984441640074e-08
LDL	0.5665848978691335	0.016361765340142668	6.550766746130878e-07
CrohnsDz	0.459064075196872	0.0548291607473642	0.04327705107324607
Height2	0.11683830999731412	0.3866785784378927	3.218785903225288e-06
DermDz	0.20886099605769606	0.2982641509840465	0.3906958157790795
FEV1_FVC_Ratio	0.2249308976697172	0.8303417466842816	0.021901451716002662
RDW	0.4164693785279385	0.10285635282572722	2.6383177262090826e-07
HighCholesterol	0.6492330102725905	0.0246079857782435	0.008813441536868713
