0	boundaries_100kbBookend_germLayerStability_1.bed	boundaries_100kbBookend_germLayerStability_2.bed	boundaries_100kbBookend_germLayerStability_3.bed
MorningPerson	0.0668352902934	0.0783302698956	0.041179265136300006
YearsOfEd2	0.062119736441	0.0648680837234	0.0401792695305
T2D2	0.0963052109564	0.15949300135	0.0810033996991
SkinColor	0.40483035372500004	0.29399677449	0.183465288577
Balding	0.10510948594000001	0.191072815121	0.0962334952231
HairColor	0.197777425225	0.22308504404100002	0.170301805361
FVC	0.0640942719916	0.0664800336272	0.0435696427052
ASD	0.18674240681600002	0.24006499937399997	0.134371885392
Sunburn	0.280595233893	0.216476451357	0.142196480912
Schizophrenia	0.0629507572408	0.09582258790710001	0.0523778764848
Anorexia	0.163514336423	0.220986401473	0.12136962571900001
SmokingStatus	0.0627945507858	0.07706170050460001	0.0460936355452
FirstBirthAge	0.10128886058	0.120040542209	0.0743761622997
Tanning	0.33725024100199996	0.303573293924	0.19288390392000002
NumChildrenBorn	0.198327460114	0.235706090614	0.135945625711
DepressiveSxs	0.18442577247000003	0.249657844572	0.136468755639
BMI2	0.0530067516894	0.06375489472	0.0402016490865
Neuroticism	0.10368339549599999	0.132308168527	0.0642708498082
MenarcheAge	0.0706147289178	0.100619716201	0.0639368067551
Heel_T_Score	0.10151491095000001	0.125511511949	0.0823231132316
Eczema	0.10854783530300001	0.113846892913	0.0786404857504
SystolicBP	0.0565547415424	0.10139711742900001	0.0459363575746
AutoimmuneDz	0.281101089595	0.384001740987	0.21945429571400002
MenopauseAge	0.12577387752	0.213573529783	0.14833849849199998
WaistHipRatio	0.080694419491	0.131604295353	0.06569444301300001
RBCCount	0.0763264714233	0.12299833262399999	0.0660491173989
EosinophilCount	0.111069099162	0.136101458555	0.0813849576349
Resp_ENT_Dz	0.120336217396	0.12142985558800001	0.0768048440184
RA	0.191244909898	0.254396540601	0.162526757357
PlateletCount	0.0929498698094	0.122560929452	0.0789098524813
HDL	0.151266476729	0.19778864481800001	0.11323843029899999
UC	0.241016649125	0.318187895508	0.155314205161
Hypothyroidism	0.140144485273	0.190331701813	0.133596832534
WBCCount	0.0755817444015	0.09972145777139999	0.060037880738500006
LDL	0.197567474837	0.37996542592699994	0.156229511136
CrohnsDz	0.172462201078	0.23932182033000005	0.137971071331
Height2	0.0621408032914	0.08446782638869998	0.0533209567962
DermDz	0.274284662672	0.38282944043000006	0.19389774307500002
FEV1_FVC_Ratio	0.08040699240930001	0.08958346465110001	0.0562360142015
RDW	0.11017272567	0.224253895861	0.08585318518380002
HighCholesterol	0.17589765153099998	0.42905485242299995	0.09296745136060001
