0	boundaries_100kbBookend_germLayerStability_1.bed	boundaries_100kbBookend_germLayerStability_2.bed	boundaries_100kbBookend_germLayerStability_3.bed
MorningPerson	-1.75568494032e-09	8.926871021749999e-10	-3.74546979633e-09
YearsOfEd2	1.65182997066e-09	-2.99869833392e-09	-2.22825325518e-09
T2D2	-7.094527902160001e-10	1.7193429708500002e-09	-1.0073409236400001e-09
SkinColor	5.72716604488e-09	-5.47078107276e-09	-4.50974284708e-09
Balding	-1.1446716827099999e-08	-7.66732205424e-09	-4.70317704732e-09
HairColor	-5.276226894349999e-10	-1.57310434412e-08	-4.14710863546e-09
FVC	-2.4481789838400004e-10	-2.77732013369e-09	-2.84175539235e-09
ASD	-1.98661381004e-08	1.18228289608e-08	-1.94268781845e-08
Sunburn	6.62124113537e-09	-4.01387737172e-09	-4.2164033009099994e-09
Schizophrenia	-4.6331073895000004e-09	2.4600807710700003e-09	-7.92772970802e-09
Anorexia	-1.67182043795e-09	-8.354477045080001e-10	-7.434072797020001e-09
SmokingStatus	9.586114404879999e-11	-3.4231691913e-10	-8.13162387191e-10
FirstBirthAge	-8.659899427899999e-10	-2.1544221622299997e-09	-8.31145233335e-10
Tanning	5.16423299794e-09	-4.3067014922700006e-09	-5.27698604616e-09
NumChildrenBorn	-5.84065938851e-11	-2.34816283277e-10	-1.79039214298e-10
DepressiveSxs	1.2587649611700001e-09	2.5224117642e-09	-3.52086059339e-10
BMI2	8.8017949099e-11	-3.44336485708e-09	-4.957604490739999e-09
Neuroticism	-1.31365021011e-09	4.97527132752e-09	-1.08813337868e-09
MenarcheAge	-2.71938550001e-09	-5.17403945069e-09	6.39429227183e-10
Heel_T_Score	-1.23708299992e-09	-1.34893436447e-09	-2.89807550307e-09
Eczema	2.26850624894e-09	-2.04105838618e-09	-2.9475517767e-10
SystolicBP	-6.47582829195e-09	2.4507177220299997e-10	-2.39315974591e-10
AutoimmuneDz	4.28633268317e-10	-8.08666202877e-10	2.98159925942e-10
MenopauseAge	-1.13455432042e-09	-6.3492253016999994e-09	5.45947913905e-09
WaistHipRatio	-2.23185379587e-10	-1.06603097209e-10	-4.30252976091e-09
RBCCount	-3.7050733778800003e-09	-1.2495937160599998e-09	-8.76764563835e-09
EosinophilCount	8.98191415848e-09	-8.98324081214e-09	-4.71483678067e-09
Resp_ENT_Dz	6.876376933189999e-10	-9.674867163450001e-10	-1.48230232649e-09
RA	1.07601568784e-08	-1.4525434548299998e-08	-1.5731559643799999e-09
PlateletCount	-3.46686731077e-09	2.3867934392299997e-09	-5.44354945117e-09
HDL	2.15040862841e-09	-4.6278290941000005e-09	-2.1458888491300003e-09
UC	-7.67577279757e-09	1.60466384521e-08	2.1443326579399998e-09
Hypothyroidism	-1.68884606931e-10	-1.5561255621e-10	2.20802116688e-09
WBCCount	-7.488016801810001e-10	-7.96769425853e-10	1.43898751912e-09
LDL	-1.34231800603e-09	1.1395356681299999e-08	4.7665081562299994e-09
CrohnsDz	-7.40526339431e-09	2.9377132889099996e-08	-4.70984524324e-09
Height2	-5.73838193844e-09	-8.11727958574e-09	-9.68087371959e-09
DermDz	8.651963798779999e-10	4.3908631069800006e-10	-6.93988411664e-10
FEV1_FVC_Ratio	-2.84739631679e-09	-4.73772185555e-09	-1.8012684997299998e-09
RDW	-1.45818702513e-09	2.8372321400199997e-09	-5.37791825282e-09
HighCholesterol	-3.42090491881e-10	7.3961000565300005e-09	-1.0377448543e-09
